### Cluster 24 — Symptoms (53)
Symptom,Frequency
gouty swellings without gouty dyscrasia,1
occasional jerking toward hip joint,1
redness of feet,1
stitches from shoulder to elbow,1
enlarged lymphatic glands,1
cracking in right shoulder joint from motion,1
neuralgia of teeth,1
chronic rheumatic affections,1
sprained pain in left metatarsal bones,1
cracking of joints after inflammation,1
stabbing piercing pain in metatarsal bones when walking,2
inability to walk,1
dislocated pain in right loin,1
pains returning at regular intervals,1
shoulder pain worse during damp cold weather,1
shoulder pain worse after midnight,1
inflammation of left sciatic nerve from cold exposure,1
belching improves symptoms,1
severe stitches from shoulder to elbow,1
gout of hands,2
severe pains in hips,1
tearing in all limbs,1
slight fever or absent fever,1
jerking pains,1
stitches from shoulder to wrist,1
pain in loins,1
bruised pain in soles,1
dislocated pain in right knee,1
difficult breathing,1
movements impeded,1
quick recovery from acute articular manifestations,1
frequent exacerbations,1
shoulder pain with every weather change,1
chronic sciatica in right leg,1
tensive feeling in small of back,1
jerking stitches in right shoulder,2
chronic rheumatism with frequent attacks,1
belching of sour flatus,1
hot expiration,1
severe pains from slightest motion,1
cracking in ankle joint,1
stitching pains,3
flying pains,1
jerking stitching pains in limbs,2
sensation as if heavy load on back between shoulders,1
jerking flying stitches in wrists,2
jerking flying stitches in finger joints,2
rheumatism lingers and relapses regularly,1
tearing pain in right elbow,1
small of back pain worse by going upstairs,1
severe pains in knees,1
rheumatic pains in neck,1
violent headache,1

### Top Remedies
Remedy,Symptoms_Covered
carboneum sulphuratum,53
urtica urens,1
ranunculus bulbosus,1
bryonia alba,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
gout of hands,gouty swellings without gouty dyscrasia,0.5,1
gout of hands,occasional jerking toward hip joint,0.5,1
gout of hands,redness of feet,0.5,1
gout of hands,stitches from shoulder to elbow,0.5,1
gout of hands,enlarged lymphatic glands,0.5,1
gout of hands,cracking in right shoulder joint from motion,0.5,1
gout of hands,neuralgia of teeth,0.5,1
gout of hands,chronic rheumatic affections,0.5,1
gout of hands,sprained pain in left metatarsal bones,0.5,1
gout of hands,cracking of joints after inflammation,0.5,1
gout of hands,stabbing piercing pain in metatarsal bones when walking,0.5,1
gout of hands,inability to walk,0.5,1
gout of hands,dislocated pain in right loin,0.5,1
gout of hands,pains returning at regular intervals,0.5,1
gout of hands,shoulder pain worse during damp cold weather,0.5,1
gout of hands,shoulder pain worse after midnight,0.5,1
gout of hands,inflammation of left sciatic nerve from cold exposure,0.5,1
gout of hands,belching improves symptoms,0.5,1
gout of hands,severe stitches from shoulder to elbow,0.5,1
gout of hands,severe pains in hips,0.5,1
gout of hands,tearing in all limbs,0.5,1
gout of hands,slight fever or absent fever,0.5,1
gout of hands,jerking pains,0.5,1
gout of hands,stitches from shoulder to wrist,0.5,1
gout of hands,pain in loins,0.5,1
gout of hands,bruised pain in soles,0.5,1
gout of hands,dislocated pain in right knee,0.5,1
gout of hands,difficult breathing,0.5,1
gout of hands,movements impeded,0.5,1
gout of hands,quick recovery from acute articular manifestations,0.5,1
gout of hands,frequent exacerbations,0.5,1
gout of hands,shoulder pain with every weather change,0.5,1
gout of hands,chronic sciatica in right leg,0.5,1
gout of hands,tensive feeling in small of back,0.5,1
gout of hands,jerking stitches in right shoulder,0.5,1
gout of hands,chronic rheumatism with frequent attacks,0.5,1
gout of hands,belching of sour flatus,0.5,1
gout of hands,hot expiration,0.5,1
