### Cluster 20 — Symptoms (11)
Symptom,Frequency
photophobia,2
chill at 5 p.m.,1
violent paroxysms of pain in eye,1
rheumatic affections of sclerotic coat of eye,1
lachrymation,1
periodic manifestations,1
intense pain in eyes,1
eye pain daily at 5 p.m.,1
severe neuralgic pain in eye during iritis,2
iritis with malarial troubles,1
intense pain around eyes,1

### Top Remedies
Remedy,Symptoms_Covered
chininum muriaticum,11
cinchona officinalis,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
rheumatic affections of sclerotic coat of eye,photophobia,1.0,1
rheumatic affections of sclerotic coat of eye,chill at 5 p.m.,1.0,1
rheumatic affections of sclerotic coat of eye,violent paroxysms of pain in eye,1.0,1
rheumatic affections of sclerotic coat of eye,lachrymation,1.0,1
rheumatic affections of sclerotic coat of eye,periodic manifestations,1.0,1
rheumatic affections of sclerotic coat of eye,intense pain in eyes,1.0,1
rheumatic affections of sclerotic coat of eye,eye pain daily at 5 p.m.,1.0,1
rheumatic affections of sclerotic coat of eye,severe neuralgic pain in eye during iritis,1.0,1
rheumatic affections of sclerotic coat of eye,iritis with malarial troubles,1.0,1
rheumatic affections of sclerotic coat of eye,intense pain around eyes,1.0,1
photophobia,chill at 5 p.m.,0.5,1
photophobia,violent paroxysms of pain in eye,0.5,1
photophobia,rheumatic affections of sclerotic coat of eye,0.5,1
photophobia,lachrymation,0.5,1
photophobia,periodic manifestations,0.5,1
photophobia,intense pain in eyes,0.5,1
photophobia,eye pain daily at 5 p.m.,0.5,1
photophobia,severe neuralgic pain in eye during iritis,0.5,1
photophobia,iritis with malarial troubles,0.5,1
photophobia,intense pain around eyes,0.5,1
intense pain around eyes,photophobia,1.0,1
intense pain around eyes,chill at 5 p.m.,1.0,1
intense pain around eyes,violent paroxysms of pain in eye,1.0,1
intense pain around eyes,rheumatic affections of sclerotic coat of eye,1.0,1
intense pain around eyes,lachrymation,1.0,1
intense pain around eyes,periodic manifestations,1.0,1
intense pain around eyes,intense pain in eyes,1.0,1
