### Cluster 8 — Symptoms (14)
Symptom,Frequency
tearing pains in all limbs,3
eyelids could not be opened until rubbed,1
shooting in left forehead and temple,1
better by cold and pressure,2
aching pain in nape of neck,1
oppressive contractions in cardiac region,1
at times cannot raise eyelids,1
repeated palpitation of heart with oppression after stooping,1
rheumatic aching in forehead,1
tension and heaviness in head,1
peculiar undulating and throbbing motion in cardiac region,1
vertigo on stooping,1
eyelids seem paralyzed,1
weakness of upper lids,1

### Top Remedies
Remedy,Symptoms_Covered
mercurialis perennis,14
spigelia,1
aconitum napellus,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
at times cannot raise eyelids,eyelids could not be opened until rubbed,1.0,1
at times cannot raise eyelids,shooting in left forehead and temple,1.0,1
at times cannot raise eyelids,better by cold and pressure,1.0,1
at times cannot raise eyelids,aching pain in nape of neck,1.0,1
at times cannot raise eyelids,tearing pains in all limbs,1.0,1
at times cannot raise eyelids,oppressive contractions in cardiac region,1.0,1
at times cannot raise eyelids,repeated palpitation of heart with oppression after stooping,1.0,1
at times cannot raise eyelids,rheumatic aching in forehead,1.0,1
at times cannot raise eyelids,tension and heaviness in head,1.0,1
at times cannot raise eyelids,peculiar undulating and throbbing motion in cardiac region,1.0,1
at times cannot raise eyelids,vertigo on stooping,1.0,1
at times cannot raise eyelids,eyelids seem paralyzed,1.0,1
at times cannot raise eyelids,weakness of upper lids,1.0,1
vertigo on stooping,eyelids could not be opened until rubbed,1.0,1
vertigo on stooping,shooting in left forehead and temple,1.0,1
vertigo on stooping,better by cold and pressure,1.0,1
vertigo on stooping,aching pain in nape of neck,1.0,1
vertigo on stooping,tearing pains in all limbs,1.0,1
vertigo on stooping,oppressive contractions in cardiac region,1.0,1
vertigo on stooping,at times cannot raise eyelids,1.0,1
vertigo on stooping,repeated palpitation of heart with oppression after stooping,1.0,1
vertigo on stooping,rheumatic aching in forehead,1.0,1
vertigo on stooping,tension and heaviness in head,1.0,1
vertigo on stooping,peculiar undulating and throbbing motion in cardiac region,1.0,1
vertigo on stooping,eyelids seem paralyzed,1.0,1
vertigo on stooping,weakness of upper lids,1.0,1
aching pain in nape of neck,eyelids could not be opened until rubbed,1.0,1
aching pain in nape of neck,shooting in left forehead and temple,1.0,1
aching pain in nape of neck,better by cold and pressure,1.0,1
aching pain in nape of neck,tearing pains in all limbs,1.0,1
aching pain in nape of neck,oppressive contractions in cardiac region,1.0,1
aching pain in nape of neck,at times cannot raise eyelids,1.0,1
aching pain in nape of neck,repeated palpitation of heart with oppression after stooping,1.0,1
aching pain in nape of neck,rheumatic aching in forehead,1.0,1
aching pain in nape of neck,tension and heaviness in head,1.0,1
aching pain in nape of neck,peculiar undulating and throbbing motion in cardiac region,1.0,1
aching pain in nape of neck,vertigo on stooping,1.0,1
aching pain in nape of neck,eyelids seem paralyzed,1.0,1
aching pain in nape of neck,weakness of upper lids,1.0,1
tearing pains in all limbs,eyelids could not be opened until rubbed,0.3333,1
tearing pains in all limbs,shooting in left forehead and temple,0.3333,1
tearing pains in all limbs,better by cold and pressure,0.3333,1
tearing pains in all limbs,aching pain in nape of neck,0.3333,1
tearing pains in all limbs,oppressive contractions in cardiac region,0.3333,1
tearing pains in all limbs,at times cannot raise eyelids,0.3333,1
tearing pains in all limbs,repeated palpitation of heart with oppression after stooping,0.3333,1
tearing pains in all limbs,rheumatic aching in forehead,0.3333,1
tearing pains in all limbs,tension and heaviness in head,0.3333,1
tearing pains in all limbs,peculiar undulating and throbbing motion in cardiac region,0.3333,1
tearing pains in all limbs,vertigo on stooping,0.3333,1
tearing pains in all limbs,eyelids seem paralyzed,0.3333,1
tearing pains in all limbs,weakness of upper lids,0.3333,1
peculiar undulating and throbbing motion in cardiac region,eyelids could not be opened until rubbed,1.0,1
peculiar undulating and throbbing motion in cardiac region,shooting in left forehead and temple,1.0,1
peculiar undulating and throbbing motion in cardiac region,better by cold and pressure,1.0,1
peculiar undulating and throbbing motion in cardiac region,aching pain in nape of neck,1.0,1
peculiar undulating and throbbing motion in cardiac region,tearing pains in all limbs,1.0,1
peculiar undulating and throbbing motion in cardiac region,oppressive contractions in cardiac region,1.0,1
peculiar undulating and throbbing motion in cardiac region,at times cannot raise eyelids,1.0,1
peculiar undulating and throbbing motion in cardiac region,repeated palpitation of heart with oppression after stooping,1.0,1
peculiar undulating and throbbing motion in cardiac region,rheumatic aching in forehead,1.0,1
peculiar undulating and throbbing motion in cardiac region,tension and heaviness in head,1.0,1
peculiar undulating and throbbing motion in cardiac region,vertigo on stooping,1.0,1
peculiar undulating and throbbing motion in cardiac region,eyelids seem paralyzed,1.0,1
peculiar undulating and throbbing motion in cardiac region,weakness of upper lids,1.0,1
eyelids could not be opened until rubbed,shooting in left forehead and temple,1.0,1
eyelids could not be opened until rubbed,better by cold and pressure,1.0,1
eyelids could not be opened until rubbed,aching pain in nape of neck,1.0,1
eyelids could not be opened until rubbed,tearing pains in all limbs,1.0,1
eyelids could not be opened until rubbed,oppressive contractions in cardiac region,1.0,1
eyelids could not be opened until rubbed,at times cannot raise eyelids,1.0,1
eyelids could not be opened until rubbed,repeated palpitation of heart with oppression after stooping,1.0,1
eyelids could not be opened until rubbed,rheumatic aching in forehead,1.0,1
eyelids could not be opened until rubbed,tension and heaviness in head,1.0,1
eyelids could not be opened until rubbed,peculiar undulating and throbbing motion in cardiac region,1.0,1
eyelids could not be opened until rubbed,vertigo on stooping,1.0,1
eyelids could not be opened until rubbed,eyelids seem paralyzed,1.0,1
eyelids could not be opened until rubbed,weakness of upper lids,1.0,1
shooting in left forehead and temple,eyelids could not be opened until rubbed,1.0,1
shooting in left forehead and temple,better by cold and pressure,1.0,1
shooting in left forehead and temple,aching pain in nape of neck,1.0,1
shooting in left forehead and temple,tearing pains in all limbs,1.0,1
shooting in left forehead and temple,oppressive contractions in cardiac region,1.0,1
shooting in left forehead and temple,at times cannot raise eyelids,1.0,1
