Symptom1,Symptom2,Remedies_S1,Remedies_S2,Shared_Remedies,P_B_given_A,P_A_given_B
shooting pains between shoulders,violent shooting deep in spine,1,1,1,1.0,1.0
shooting pains between shoulders,pressive pain in legs especially ankles,1,1,1,1.0,1.0
shooting pains between shoulders,heavy legs like lead,1,1,1,1.0,1.0
shooting pains between shoulders,splinter-like pain in right forearm,1,1,1,1.0,1.0
shooting pains between shoulders,numbness in forearms,1,1,1,1.0,1.0
shooting pains between shoulders,rheumatic pain in right deltoid worse moving arm backward,1,1,1,1.0,1.0
shooting pains between shoulders,from dissipation causing spinal cord irritation,1,1,1,1.0,1.0
shooting pains between shoulders,stiff tendo achillis,1,1,1,1.0,1.0
shooting pains between shoulders,tearing between thumb and index,1,1,1,1.0,1.0
shooting pains between shoulders,painful spine,1,1,1,1.0,1.0
shooting pains between shoulders,ulcerative limb pains preventing sleep,1,1,1,1.0,1.0
shooting pains between shoulders,beaten sensation after exercise,1,1,1,1.0,1.0
shooting pains between shoulders,violent pain in left hip under gluteal muscles,1,1,1,1.0,1.0
shooting pains between shoulders,stiffness between shoulder blades,1,1,1,1.0,1.0
shooting pains between shoulders,delirium tremens,1,1,1,1.0,1.0
shooting pains between shoulders,splinter-like pain in dorso-lumbar region,1,1,1,1.0,1.0
shooting pains between shoulders,coldness in lumbar vertebrae to legs,1,1,1,1.0,1.0
shooting pains between shoulders,sudden violent stitch in sacrum while walking,1,1,1,1.0,1.0
shooting pains between shoulders,leg pain better motion,1,1,1,1.0,1.0
shooting pains between shoulders,vertigo with reeling in open air,1,1,1,1.0,1.0
shooting pains between shoulders,spine too weak to support when stooping,1,1,1,1.0,1.0
shooting pains between shoulders,frostbitten foot pain,1,1,1,1.0,1.0
shooting pains between shoulders,frostbitten foot inflammation,1,1,1,1.0,1.0
shooting pains between shoulders,lump sensation in epigastrium,1,1,1,1.0,1.0
shooting pains between shoulders,tension in forearms,1,1,1,1.0,1.0
shooting pains between shoulders,neck rheumatism in dorsal region,1,1,1,1.0,1.0
shooting pains between shoulders,weakness between shoulder blades,1,1,1,1.0,1.0
shooting pains between shoulders,stinging pain in knee joint,1,1,1,1.0,1.0
shooting pains between shoulders,swollen toes from excessive cold,1,1,1,1.0,1.0
shooting pains between shoulders,lameness,1,1,1,1.0,1.0
shooting pains between shoulders,periosteal leg bone pain,1,1,1,1.0,1.0
shooting pains between shoulders,head drawn backward in spasm,1,1,1,1.0,1.0
shooting pains between shoulders,rheumatic gouty stiffness of left hand,1,1,1,1.0,1.0
shooting pains between shoulders,loin weakness,1,1,1,1.0,1.0
shooting pains between shoulders,sensitive spinal processes to touch,1,1,1,1.0,1.0
shooting pains between shoulders,sore in lumbo-sacral region while exercising,1,1,1,1.0,1.0
shooting pains between shoulders,shooting in toes,1,1,1,1.0,1.0
shooting pains between shoulders,lameness in forearms,1,1,1,1.0,1.0
shooting pains between shoulders,self-injury attempts,1,1,1,1.0,1.0
shooting pains between shoulders,aching in lumbo-sacral region while sitting,1,1,1,1.0,1.0
shooting pains between shoulders,sprained deltoid feeling,1,1,1,1.0,1.0
shooting pains between shoulders,bruised feeling in joints,1,1,1,1.0,1.0
shooting pains between shoulders,leg pain worse standing,1,1,1,1.0,1.0
shooting pains between shoulders,itching ears as if frostbitten,1,1,1,1.0,1.0
shooting pains between shoulders,sharp left-side pains,1,1,1,1.0,1.0
shooting pains between shoulders,coldness in gluteal muscles to legs,1,1,1,1.0,1.0
shooting pains between shoulders,normal appearance except toes,1,1,1,1.0,1.0
shooting pains between shoulders,sternum pain,1,1,1,1.0,1.0
shooting pains between shoulders,leg pain better walking,1,1,1,1.0,1.0
shooting pains between shoulders,sore in lumbo-sacral region while sitting,1,1,1,1.0,1.0
shooting pains between shoulders,numbness,1,1,1,1.0,1.0
shooting pains between shoulders,bruised back feeling,1,1,1,1.0,1.0
shooting pains between shoulders,subsultus tendinum,1,1,1,1.0,1.0
shooting pains between shoulders,rheumatic gouty stiffness of elbow,1,1,1,1.0,1.0
shooting pains between shoulders,no tissue swelling typically,1,1,1,1.0,1.0
shooting pains between shoulders,crick from sacrum to nape,1,1,1,1.0,1.0
shooting pains between shoulders,bruised feeling in limbs,1,1,1,1.0,1.0
shooting pains between shoulders,drawing pain in knee joint,1,1,1,1.0,1.0
shooting pains between shoulders,tearing in left forearm bones,1,1,1,1.0,1.0
shooting pains between shoulders,splinter-like pain in deltoid,1,1,1,1.0,1.0
shooting pains between shoulders,cramps in sole,1,1,1,1.0,1.0
shooting pains between shoulders,post-inflammatory contraction,1,1,1,1.0,1.0
shooting pains between shoulders,frostbitten toe inflammation,1,1,1,1.0,1.0
shooting pains between shoulders,back rheumatism in dorsal region,1,1,1,1.0,1.0
shooting pains between shoulders,burning deep in spine,1,1,1,1.0,1.0
shooting pains between shoulders,tearing in limbs worse rest,1,1,1,1.0,1.0
shooting pains between shoulders,frostbitten toe pain,1,1,1,1.0,1.0
shooting pains between shoulders,irritable,1,1,1,1.0,1.0
shooting pains between shoulders,languor in legs,1,1,1,1.0,1.0
shooting pains between shoulders,leg pain worse sitting,1,1,1,1.0,1.0
shooting pains between shoulders,tearing pain in knee joint,1,1,1,1.0,1.0
shooting pains between shoulders,shooting in fingers,1,1,1,1.0,1.0
shooting pains between shoulders,tearing in left wrist,1,1,1,1.0,1.0
shooting pains between shoulders,twitching gluteal muscles,1,1,1,1.0,1.0
shooting pains between shoulders,red ears as if frostbitten,1,1,1,1.0,1.0
shooting pains between shoulders,normal appearance except fingers,1,1,1,1.0,1.0
shooting pains between shoulders,aching in lumbo-sacral region while exercising,1,1,1,1.0,1.0
shooting pains between shoulders,tearing pains between shoulders,1,1,1,1.0,1.0
shooting pains between shoulders,red fingers from excessive cold,1,1,1,1.0,1.0
shooting pains between shoulders,sprained back feeling,1,1,1,1.0,1.0
shooting pains between shoulders,red toes from excessive cold,1,1,1,1.0,1.0
shooting pains between shoulders,formication along spine,1,1,1,1.0,1.0
shooting pains between shoulders,furious delirium,1,1,1,1.0,1.0
shooting pains between shoulders,clonic convulsions,1,1,1,1.0,1.0
shooting pains between shoulders,tearing in left hip to knee,1,1,1,1.0,1.0
shooting pains between shoulders,chilblains,1,1,1,1.0,1.0
shooting pains between shoulders,throbbing in coccyx,1,1,1,1.0,1.0
shooting pains between shoulders,severe forearm pain to thumb worse afternoons,1,1,1,1.0,1.0
shooting pains between shoulders,numbness in left hip to knee,1,1,1,1.0,1.0
shooting pains between shoulders,sprained neck sensation,1,1,1,1.0,1.0
shooting pains between shoulders,splinter-like toe pain,1,1,1,1.0,1.0
shooting pains between shoulders,shooting in knees,1,1,1,1.0,1.0
shooting pains between shoulders,drawing pain in legs especially ankles,1,1,1,1.0,1.0
shooting pains between shoulders,weak knee joint,1,1,1,1.0,1.0
shooting pains between shoulders,severe forearm pain to thumb worse rest,1,1,1,1.0,1.0
shooting pains between shoulders,pain as after stooping,1,1,1,1.0,1.0
shooting pains between shoulders,pain in right hip as after fatigue,1,1,1,1.0,1.0
shooting pains between shoulders,spasmodic drawing from back to stuart little to chest,1,1,1,1.0,1.0
shooting pains between shoulders,muscle trembling,1,1,1,1.0,1.0
shooting pains between shoulders,pressive pain in left tibia worse noon,1,1,1,1.0,1.0
shooting pains between shoulders,from overwork causing spinal cord irritation,1,1,1,1.0,1.0
shooting pains between shoulders,tearing in thumbs,1,1,1,1.0,1.0
shooting pains between shoulders,tearing in limbs better motion,1,1,1,1.0,1.0
shooting pains between shoulders,spasmodic drawing from back to esophagus,1,1,1,1.0,1.0
shooting pains between shoulders,burning in thumbs,1,1,1,1.0,1.0
shooting pains between shoulders,burning ears as if frostbitten,1,1,1,1.0,1.0
shooting pains between shoulders,gouty finger stiffness,1,1,1,1.0,1.0
shooting pains between shoulders,backache with heat disturbing sleep,1,1,1,1.0,1.0
shooting pains between shoulders,great mental excitement,1,1,1,1.0,1.0
shooting pains between shoulders,sprained knee joint,1,1,1,1.0,1.0
shooting pains between shoulders,swollen fingers from excessive cold,1,1,1,1.0,1.0
shooting pains between shoulders,dry coccyx feeling,1,1,1,1.0,1.0
shooting pains between shoulders,stitches in olecranon,1,1,1,1.0,1.0
shooting pains between shoulders,tearing in limbs worse sitting,1,1,1,1.0,1.0
bruised pain in thighs in morning,tension in right side of neck,1,1,1,1.0,1.0
bruised pain in thighs in morning,stitches in left lumbar region,1,1,1,1.0,1.0
bruised pain in thighs in morning,tension in ankle joints,1,1,1,1.0,1.0
bruised pain in thighs in morning,rheumatic aching in shoulder,1,1,1,1.0,1.0
bruised pain in thighs in morning,fingers half-closed,1,1,1,1.0,1.0
bruised pain in thighs in morning,paralysis of face,1,1,1,1.0,1.0
bruised pain in thighs in morning,thigh pain better by warmth of bed,1,1,1,1.0,1.0
bruised pain in thighs in morning,tension in heel,1,1,1,1.0,1.0
bruised pain in thighs in morning,muscles feel as if bound,1,1,1,1.0,1.0
bruised pain in thighs in morning,backache in coccyx,1,1,1,1.0,1.0
bruised pain in thighs in morning,sensation as if sharp crust struck spine,1,1,1,1.0,1.0
bruised pain in thighs in morning,drawing pain to cheek,1,1,1,1.0,1.0
bruised pain in thighs in morning,pain in loins as if bound by hands,1,1,1,1.0,1.0
bruised pain in thighs in morning,tearing in thighs,1,1,1,1.0,1.0
bruised pain in thighs in morning,griping clawing about elbow,1,1,1,1.0,1.0
bruised pain in thighs in morning,head drawn to right side,1,1,1,1.0,1.0
bruised pain in thighs in morning,cannot get into easy position,1,1,1,1.0,1.0
bruised pain in thighs in morning,drawing in hands,1,1,1,1.0,1.0
bruised pain in thighs in morning,cough affects back of sternum,1,1,1,1.0,1.0
bruised pain in thighs in morning,jaw stiff,1,1,1,1.0,1.0
bruised pain in thighs in morning,cutting stitches toward toes,1,1,1,1.0,1.0
bruised pain in thighs in morning,paralysis of deltoid muscle,1,1,1,1.0,1.0
bruised pain in thighs in morning,tendo achillis cramps waken from sleep,1,1,1,1.0,1.0
bruised pain in thighs in morning,drawing sticking pain in finger joints,1,1,1,1.0,1.0
bruised pain in thighs in morning,tearing pain along lumbar vertebrae,1,1,1,1.0,1.0
bruised pain in thighs in morning,contractions of finger tendons,1,1,1,1.0,1.0
bruised pain in thighs in morning,leg pain worse in open air,1,1,1,1.0,1.0
bruised pain in thighs in morning,drawing in legs,1,1,1,1.0,1.0
bruised pain in thighs in morning,tension in knee joints,1,1,1,1.0,1.0
bruised pain in thighs in morning,back pain as if from lifting,1,1,1,1.0,1.0
bruised pain in thighs in morning,drawing in thighs,1,1,1,1.0,1.0
bruised pain in thighs in morning,pains in malar bones,1,1,1,1.0,1.0
bruised pain in thighs in morning,tearing pains shift rapidly,1,1,1,1.0,1.0
bruised pain in thighs in morning,tearing pains change place often,1,1,1,1.0,1.0
bruised pain in thighs in morning,paralysis of vocal cords,1,1,1,1.0,1.0
bruised pain in thighs in morning,rheumatism of face,1,1,1,1.0,1.0
bruised pain in thighs in morning,drawing from knee to malleolus,1,1,1,1.0,1.0
bruised pain in thighs in morning,sore bruised pain on side lain on at night,1,1,1,1.0,1.0
bruised pain in thighs in morning,cramps in tendo achillis,1,1,1,1.0,1.0
bruised pain in thighs in morning,leg pain better by warmth of bed,1,1,1,1.0,1.0
bruised pain in thighs in morning,tensive pain in forearms,1,1,1,1.0,1.0
bruised pain in thighs in morning,single stitches in shin bone,1,1,1,1.0,1.0
bruised pain in thighs in morning,rheumatic conditions with paralytic tendency,1,1,1,1.0,1.0
bruised pain in thighs in morning,jaw lame,1,1,1,1.0,1.0
bruised pain in thighs in morning,great uneasiness of limbs,1,1,1,1.0,1.0
bruised pain in thighs in morning,gouty pains in limbs,1,1,1,1.0,1.0
bruised pain in thighs in morning,numbness of ankles,1,1,1,1.0,1.0
bruised pain in thighs in morning,burning stitches in great toe,1,1,1,1.0,1.0
bruised pain in thighs in morning,nightly burning tearing in shins,1,1,1,1.0,1.0
bruised pain in thighs in morning,patient springs out of bed,1,1,1,1.0,1.0
bruised pain in thighs in morning,knee pain worse when beginning to walk,1,1,1,1.0,1.0
bruised pain in thighs in morning,great restlessness in evening,1,1,1,1.0,1.0
bruised pain in thighs in morning,cramps in calves in morning in bed,1,1,1,1.0,1.0
bruised pain in thighs in morning,pains in zygomatic arch,1,1,1,1.0,1.0
bruised pain in thighs in morning,drawing pain in glenoid cavity of jaw,1,1,1,1.0,1.0
bruised pain in thighs in morning,cramps in sole of right foot,1,1,1,1.0,1.0
bruised pain in thighs in morning,gouty tearing in feet,1,1,1,1.0,1.0
bruised pain in thighs in morning,paralysis of arms,1,1,1,1.0,1.0
bruised pain in thighs in morning,darting pain in os coccyx,1,1,1,1.0,1.0
bruised pain in thighs in morning,contractions of flexors,1,1,1,1.0,1.0
bruised pain in thighs in morning,cough feels as if it tears chest,1,1,1,1.0,1.0
bruised pain in thighs in morning,tearing pain to linea alba,1,1,1,1.0,1.0
bruised pain in thighs in morning,drawing in shoulder blades,1,1,1,1.0,1.0
bruised pain in thighs in morning,rheumatic contraction of tendons antidoted by guaiac,1,1,1,1.0,1.0
bruised pain in thighs in morning,pinching crampy pain in buttocks,1,1,1,1.0,1.0
bruised pain in thighs in morning,pressure in shoulders,1,1,1,1.0,1.0
bruised pain in thighs in morning,pain in middle of spine on swallowing,1,1,1,1.0,1.0
bruised pain in thighs in morning,tearing pain in back of neck,1,1,1,1.0,1.0
bruised pain in thighs in morning,painful stiffness of back,1,1,1,1.0,1.0
bruised pain in thighs in morning,abundance of warty growths,1,1,1,1.0,1.0
bruised pain in thighs in morning,stitching pains in hip joints,1,1,1,1.0,1.0
bruised pain in thighs in morning,contractions of limbs,1,1,1,1.0,1.0
bruised pain in thighs in morning,pressing cramp-like pain in kidney region,1,1,1,1.0,1.0
bruised pain in thighs in morning,tearing pains in joints,1,1,1,1.0,1.0
bruised pain in thighs in morning,sticking pain inward,1,1,1,1.0,1.0
bruised pain in thighs in morning,painful numbness of index finger,1,1,1,1.0,1.0
bruised pain in thighs in morning,drawing in feet,1,1,1,1.0,1.0
bruised pain in thighs in morning,cramps in tendo achillis at 2 a.m.,1,1,1,1.0,1.0
bruised pain in thighs in morning,cough affects throat,1,1,1,1.0,1.0
bruised pain in thighs in morning,rheumatism of lower jaw,1,1,1,1.0,1.0
bruised pain in thighs in morning,painful stiffness of sacrum,1,1,1,1.0,1.0
bruised pain in thighs in morning,tearing boring pain in lower leg with movement,1,1,1,1.0,1.0
bruised pain in thighs in morning,dull pain in os coccyx,1,1,1,1.0,1.0
bruised pain in thighs in morning,pain in left hip joint as if wrenched,1,1,1,1.0,1.0
bruised pain in thighs in morning,drawing in forearms,1,1,1,1.0,1.0
bruised pain in thighs in morning,ulcerative pain in heels,1,1,1,1.0,1.0
bruised pain in thighs in morning,gouty deposits,1,1,1,1.0,1.0
bruised pain in thighs in morning,severe tearing in tendons under right calf,1,1,1,1.0,1.0
bruised pain in thighs in morning,pain in elbow joints,1,1,1,1.0,1.0
bruised pain in thighs in morning,ankle pain better from walking,1,1,1,1.0,1.0
