### Cluster 57 — Symptoms (31)
Symptom,Frequency
violent rheumatic pains in joints,1
cramping pains,1
better by change of position,1
pains worse in joints,1
pains in limbs neuralgic rheumatic very severe,1
spasmodic pains about heart,1
rheumatic neuralgic pains in right side of face,1
shooting pains changing places rapidly,1
rheumatic pains mostly confined to the right side,1
neuralgic pains shifting darting excoriating in different parts of body,1
suited to thin emaciated people of a highly nervous type,1
nightly neuralgic pains now in left leg then in right leg,1
teeth sensitive,1
whole trifacial nerve affected,1
rheumatic headaches,1
worse after going to bed,1
usually of dark complexion,1
excruciating spasmodic pains in sciatic nerve,1
pains in right leg from hip to ankle,1
shooting boring shifting and remitting pains in nape,1
better by heat,1
during day perfectly well,1
pains often brought on by standing in cold water,1
darting about,1
acute boring darting pains in back,1
shifting and remittent,1
headaches better by external applications of warmth,1
better by warmth of bed,1
intercostal drawing neuralgic constriction about heart,1
excruciating shooting stinging shifting intermittent or paroxysmal,1
pains shift with lightning-like rapidity,1

### Top Remedies
Remedy,Symptoms_Covered
magnesia phosphorica,31

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
intercostal drawing neuralgic constriction about heart,violent rheumatic pains in joints,1.0,1
intercostal drawing neuralgic constriction about heart,cramping pains,1.0,1
intercostal drawing neuralgic constriction about heart,better by change of position,1.0,1
intercostal drawing neuralgic constriction about heart,pains worse in joints,1.0,1
intercostal drawing neuralgic constriction about heart,pains in limbs neuralgic rheumatic very severe,1.0,1
intercostal drawing neuralgic constriction about heart,spasmodic pains about heart,1.0,1
intercostal drawing neuralgic constriction about heart,rheumatic neuralgic pains in right side of face,1.0,1
intercostal drawing neuralgic constriction about heart,shooting pains changing places rapidly,1.0,1
intercostal drawing neuralgic constriction about heart,rheumatic pains mostly confined to the right side,1.0,1
intercostal drawing neuralgic constriction about heart,neuralgic pains shifting darting excoriating in different parts of body,1.0,1
intercostal drawing neuralgic constriction about heart,suited to thin emaciated people of a highly nervous type,1.0,1
intercostal drawing neuralgic constriction about heart,nightly neuralgic pains now in left leg then in right leg,1.0,1
intercostal drawing neuralgic constriction about heart,teeth sensitive,1.0,1
intercostal drawing neuralgic constriction about heart,whole trifacial nerve affected,1.0,1
intercostal drawing neuralgic constriction about heart,rheumatic headaches,1.0,1
intercostal drawing neuralgic constriction about heart,worse after going to bed,1.0,1
intercostal drawing neuralgic constriction about heart,usually of dark complexion,1.0,1
intercostal drawing neuralgic constriction about heart,excruciating spasmodic pains in sciatic nerve,1.0,1
intercostal drawing neuralgic constriction about heart,pains in right leg from hip to ankle,1.0,1
intercostal drawing neuralgic constriction about heart,shooting boring shifting and remitting pains in nape,1.0,1
intercostal drawing neuralgic constriction about heart,better by heat,1.0,1
intercostal drawing neuralgic constriction about heart,during day perfectly well,1.0,1
intercostal drawing neuralgic constriction about heart,pains often brought on by standing in cold water,1.0,1
intercostal drawing neuralgic constriction about heart,darting about,1.0,1
intercostal drawing neuralgic constriction about heart,acute boring darting pains in back,1.0,1
intercostal drawing neuralgic constriction about heart,shifting and remittent,1.0,1
intercostal drawing neuralgic constriction about heart,headaches better by external applications of warmth,1.0,1
intercostal drawing neuralgic constriction about heart,better by warmth of bed,1.0,1
intercostal drawing neuralgic constriction about heart,excruciating shooting stinging shifting intermittent or paroxysmal,1.0,1
intercostal drawing neuralgic constriction about heart,pains shift with lightning-like rapidity,1.0,1
teeth sensitive,violent rheumatic pains in joints,1.0,1
teeth sensitive,cramping pains,1.0,1
teeth sensitive,better by change of position,1.0,1
teeth sensitive,pains worse in joints,1.0,1
teeth sensitive,pains in limbs neuralgic rheumatic very severe,1.0,1
teeth sensitive,spasmodic pains about heart,1.0,1
teeth sensitive,rheumatic neuralgic pains in right side of face,1.0,1
teeth sensitive,shooting pains changing places rapidly,1.0,1
teeth sensitive,rheumatic pains mostly confined to the right side,1.0,1
teeth sensitive,neuralgic pains shifting darting excoriating in different parts of body,1.0,1
teeth sensitive,suited to thin emaciated people of a highly nervous type,1.0,1
teeth sensitive,nightly neuralgic pains now in left leg then in right leg,1.0,1
teeth sensitive,whole trifacial nerve affected,1.0,1
teeth sensitive,rheumatic headaches,1.0,1
teeth sensitive,worse after going to bed,1.0,1
teeth sensitive,usually of dark complexion,1.0,1
teeth sensitive,excruciating spasmodic pains in sciatic nerve,1.0,1
teeth sensitive,pains in right leg from hip to ankle,1.0,1
teeth sensitive,shooting boring shifting and remitting pains in nape,1.0,1
teeth sensitive,better by heat,1.0,1
teeth sensitive,during day perfectly well,1.0,1
teeth sensitive,pains often brought on by standing in cold water,1.0,1
teeth sensitive,darting about,1.0,1
teeth sensitive,acute boring darting pains in back,1.0,1
teeth sensitive,shifting and remittent,1.0,1
teeth sensitive,headaches better by external applications of warmth,1.0,1
teeth sensitive,better by warmth of bed,1.0,1
teeth sensitive,intercostal drawing neuralgic constriction about heart,1.0,1
teeth sensitive,excruciating shooting stinging shifting intermittent or paroxysmal,1.0,1
teeth sensitive,pains shift with lightning-like rapidity,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,violent rheumatic pains in joints,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,cramping pains,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,better by change of position,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,pains worse in joints,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,pains in limbs neuralgic rheumatic very severe,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,spasmodic pains about heart,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,rheumatic neuralgic pains in right side of face,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,shooting pains changing places rapidly,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,rheumatic pains mostly confined to the right side,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,neuralgic pains shifting darting excoriating in different parts of body,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,suited to thin emaciated people of a highly nervous type,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,nightly neuralgic pains now in left leg then in right leg,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,teeth sensitive,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,whole trifacial nerve affected,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,rheumatic headaches,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,worse after going to bed,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,usually of dark complexion,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,excruciating spasmodic pains in sciatic nerve,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,pains in right leg from hip to ankle,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,shooting boring shifting and remitting pains in nape,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,better by heat,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,during day perfectly well,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,pains often brought on by standing in cold water,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,darting about,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,acute boring darting pains in back,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,shifting and remittent,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,headaches better by external applications of warmth,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,better by warmth of bed,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,intercostal drawing neuralgic constriction about heart,1.0,1
excruciating shooting stinging shifting intermittent or paroxysmal,pains shift with lightning-like rapidity,1.0,1
violent rheumatic pains in joints,cramping pains,1.0,1
violent rheumatic pains in joints,better by change of position,1.0,1
violent rheumatic pains in joints,pains worse in joints,1.0,1
violent rheumatic pains in joints,pains in limbs neuralgic rheumatic very severe,1.0,1
violent rheumatic pains in joints,spasmodic pains about heart,1.0,1
violent rheumatic pains in joints,rheumatic neuralgic pains in right side of face,1.0,1
violent rheumatic pains in joints,shooting pains changing places rapidly,1.0,1
violent rheumatic pains in joints,rheumatic pains mostly confined to the right side,1.0,1
