### Cluster 5 — Symptoms (22)
Symptom,Frequency
rheumatic lameness and pain in right hand,1
better by active motion,1
pains come only at rest,1
dull boring pains in legs,1
arms stiff and sore worse right,1
cramp-like pain worse in right,1
sharp pains in right shoulder,1
soreness and lameness of all limbs,1
lameness and stiffness in right shoulder,1
severe cramp-like pain in lower limbs,1
lameness and soreness of left shoulder,1
sharp pains about heart,1
sticking pain in heart,1
pain in knee joints,1
sharp pains taking away breath,1
cramp-like pain extending to knees feet and toes,1
rheumatic lameness and pain of either arm,1
heavy pains in calves,1
severe pain in sole of left foot,1
bruised pain over scapular region,1
sharp pains in back,1
especially hands and fingers,1

### Top Remedies
Remedy,Symptoms_Covered
mercurius iodatus flavus,22

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
dull boring pains in legs,rheumatic lameness and pain in right hand,1.0,1
dull boring pains in legs,better by active motion,1.0,1
dull boring pains in legs,pains come only at rest,1.0,1
dull boring pains in legs,arms stiff and sore worse right,1.0,1
dull boring pains in legs,cramp-like pain worse in right,1.0,1
dull boring pains in legs,sharp pains in right shoulder,1.0,1
dull boring pains in legs,soreness and lameness of all limbs,1.0,1
dull boring pains in legs,lameness and stiffness in right shoulder,1.0,1
dull boring pains in legs,severe cramp-like pain in lower limbs,1.0,1
dull boring pains in legs,lameness and soreness of left shoulder,1.0,1
dull boring pains in legs,sharp pains about heart,1.0,1
dull boring pains in legs,sticking pain in heart,1.0,1
dull boring pains in legs,pain in knee joints,1.0,1
dull boring pains in legs,sharp pains taking away breath,1.0,1
dull boring pains in legs,cramp-like pain extending to knees feet and toes,1.0,1
dull boring pains in legs,rheumatic lameness and pain of either arm,1.0,1
dull boring pains in legs,heavy pains in calves,1.0,1
dull boring pains in legs,severe pain in sole of left foot,1.0,1
dull boring pains in legs,bruised pain over scapular region,1.0,1
dull boring pains in legs,sharp pains in back,1.0,1
dull boring pains in legs,especially hands and fingers,1.0,1
especially hands and fingers,rheumatic lameness and pain in right hand,1.0,1
especially hands and fingers,better by active motion,1.0,1
especially hands and fingers,pains come only at rest,1.0,1
especially hands and fingers,dull boring pains in legs,1.0,1
especially hands and fingers,arms stiff and sore worse right,1.0,1
especially hands and fingers,cramp-like pain worse in right,1.0,1
especially hands and fingers,sharp pains in right shoulder,1.0,1
especially hands and fingers,soreness and lameness of all limbs,1.0,1
especially hands and fingers,lameness and stiffness in right shoulder,1.0,1
especially hands and fingers,severe cramp-like pain in lower limbs,1.0,1
especially hands and fingers,lameness and soreness of left shoulder,1.0,1
especially hands and fingers,sharp pains about heart,1.0,1
especially hands and fingers,sticking pain in heart,1.0,1
especially hands and fingers,pain in knee joints,1.0,1
especially hands and fingers,sharp pains taking away breath,1.0,1
especially hands and fingers,cramp-like pain extending to knees feet and toes,1.0,1
especially hands and fingers,rheumatic lameness and pain of either arm,1.0,1
especially hands and fingers,heavy pains in calves,1.0,1
especially hands and fingers,severe pain in sole of left foot,1.0,1
especially hands and fingers,bruised pain over scapular region,1.0,1
especially hands and fingers,sharp pains in back,1.0,1
soreness and lameness of all limbs,rheumatic lameness and pain in right hand,1.0,1
soreness and lameness of all limbs,better by active motion,1.0,1
soreness and lameness of all limbs,pains come only at rest,1.0,1
soreness and lameness of all limbs,dull boring pains in legs,1.0,1
soreness and lameness of all limbs,arms stiff and sore worse right,1.0,1
soreness and lameness of all limbs,cramp-like pain worse in right,1.0,1
soreness and lameness of all limbs,sharp pains in right shoulder,1.0,1
soreness and lameness of all limbs,lameness and stiffness in right shoulder,1.0,1
soreness and lameness of all limbs,severe cramp-like pain in lower limbs,1.0,1
soreness and lameness of all limbs,lameness and soreness of left shoulder,1.0,1
soreness and lameness of all limbs,sharp pains about heart,1.0,1
soreness and lameness of all limbs,sticking pain in heart,1.0,1
soreness and lameness of all limbs,pain in knee joints,1.0,1
soreness and lameness of all limbs,sharp pains taking away breath,1.0,1
soreness and lameness of all limbs,cramp-like pain extending to knees feet and toes,1.0,1
soreness and lameness of all limbs,rheumatic lameness and pain of either arm,1.0,1
soreness and lameness of all limbs,heavy pains in calves,1.0,1
soreness and lameness of all limbs,severe pain in sole of left foot,1.0,1
soreness and lameness of all limbs,bruised pain over scapular region,1.0,1
soreness and lameness of all limbs,sharp pains in back,1.0,1
soreness and lameness of all limbs,especially hands and fingers,1.0,1
rheumatic lameness and pain in right hand,better by active motion,1.0,1
rheumatic lameness and pain in right hand,pains come only at rest,1.0,1
rheumatic lameness and pain in right hand,dull boring pains in legs,1.0,1
rheumatic lameness and pain in right hand,arms stiff and sore worse right,1.0,1
rheumatic lameness and pain in right hand,cramp-like pain worse in right,1.0,1
rheumatic lameness and pain in right hand,sharp pains in right shoulder,1.0,1
rheumatic lameness and pain in right hand,soreness and lameness of all limbs,1.0,1
rheumatic lameness and pain in right hand,lameness and stiffness in right shoulder,1.0,1
rheumatic lameness and pain in right hand,severe cramp-like pain in lower limbs,1.0,1
rheumatic lameness and pain in right hand,lameness and soreness of left shoulder,1.0,1
rheumatic lameness and pain in right hand,sharp pains about heart,1.0,1
rheumatic lameness and pain in right hand,sticking pain in heart,1.0,1
rheumatic lameness and pain in right hand,pain in knee joints,1.0,1
rheumatic lameness and pain in right hand,sharp pains taking away breath,1.0,1
rheumatic lameness and pain in right hand,cramp-like pain extending to knees feet and toes,1.0,1
rheumatic lameness and pain in right hand,rheumatic lameness and pain of either arm,1.0,1
rheumatic lameness and pain in right hand,heavy pains in calves,1.0,1
rheumatic lameness and pain in right hand,severe pain in sole of left foot,1.0,1
rheumatic lameness and pain in right hand,bruised pain over scapular region,1.0,1
rheumatic lameness and pain in right hand,sharp pains in back,1.0,1
rheumatic lameness and pain in right hand,especially hands and fingers,1.0,1
cramp-like pain extending to knees feet and toes,rheumatic lameness and pain in right hand,1.0,1
cramp-like pain extending to knees feet and toes,better by active motion,1.0,1
cramp-like pain extending to knees feet and toes,pains come only at rest,1.0,1
cramp-like pain extending to knees feet and toes,dull boring pains in legs,1.0,1
cramp-like pain extending to knees feet and toes,arms stiff and sore worse right,1.0,1
cramp-like pain extending to knees feet and toes,cramp-like pain worse in right,1.0,1
cramp-like pain extending to knees feet and toes,sharp pains in right shoulder,1.0,1
cramp-like pain extending to knees feet and toes,soreness and lameness of all limbs,1.0,1
cramp-like pain extending to knees feet and toes,lameness and stiffness in right shoulder,1.0,1
cramp-like pain extending to knees feet and toes,severe cramp-like pain in lower limbs,1.0,1
cramp-like pain extending to knees feet and toes,lameness and soreness of left shoulder,1.0,1
cramp-like pain extending to knees feet and toes,sharp pains about heart,1.0,1
cramp-like pain extending to knees feet and toes,sticking pain in heart,1.0,1
cramp-like pain extending to knees feet and toes,pain in knee joints,1.0,1
cramp-like pain extending to knees feet and toes,sharp pains taking away breath,1.0,1
cramp-like pain extending to knees feet and toes,rheumatic lameness and pain of either arm,1.0,1
cramp-like pain extending to knees feet and toes,heavy pains in calves,1.0,1
cramp-like pain extending to knees feet and toes,severe pain in sole of left foot,1.0,1
cramp-like pain extending to knees feet and toes,bruised pain over scapular region,1.0,1
cramp-like pain extending to knees feet and toes,sharp pains in back,1.0,1
cramp-like pain extending to knees feet and toes,especially hands and fingers,1.0,1
pains come only at rest,rheumatic lameness and pain in right hand,1.0,1
pains come only at rest,better by active motion,1.0,1
pains come only at rest,dull boring pains in legs,1.0,1
pains come only at rest,arms stiff and sore worse right,1.0,1
pains come only at rest,cramp-like pain worse in right,1.0,1
pains come only at rest,sharp pains in right shoulder,1.0,1
pains come only at rest,soreness and lameness of all limbs,1.0,1
pains come only at rest,lameness and stiffness in right shoulder,1.0,1
pains come only at rest,severe cramp-like pain in lower limbs,1.0,1
pains come only at rest,lameness and soreness of left shoulder,1.0,1
pains come only at rest,sharp pains about heart,1.0,1
pains come only at rest,sticking pain in heart,1.0,1
pains come only at rest,pain in knee joints,1.0,1
pains come only at rest,sharp pains taking away breath,1.0,1
pains come only at rest,cramp-like pain extending to knees feet and toes,1.0,1
pains come only at rest,rheumatic lameness and pain of either arm,1.0,1
pains come only at rest,heavy pains in calves,1.0,1
pains come only at rest,severe pain in sole of left foot,1.0,1
pains come only at rest,bruised pain over scapular region,1.0,1
pains come only at rest,sharp pains in back,1.0,1
pains come only at rest,especially hands and fingers,1.0,1
sharp pains in back,rheumatic lameness and pain in right hand,1.0,1
sharp pains in back,better by active motion,1.0,1
sharp pains in back,pains come only at rest,1.0,1
sharp pains in back,dull boring pains in legs,1.0,1
sharp pains in back,arms stiff and sore worse right,1.0,1
sharp pains in back,cramp-like pain worse in right,1.0,1
sharp pains in back,sharp pains in right shoulder,1.0,1
sharp pains in back,soreness and lameness of all limbs,1.0,1
sharp pains in back,lameness and stiffness in right shoulder,1.0,1
sharp pains in back,severe cramp-like pain in lower limbs,1.0,1
sharp pains in back,lameness and soreness of left shoulder,1.0,1
sharp pains in back,sharp pains about heart,1.0,1
sharp pains in back,sticking pain in heart,1.0,1
sharp pains in back,pain in knee joints,1.0,1
sharp pains in back,sharp pains taking away breath,1.0,1
sharp pains in back,cramp-like pain extending to knees feet and toes,1.0,1
sharp pains in back,rheumatic lameness and pain of either arm,1.0,1
sharp pains in back,heavy pains in calves,1.0,1
sharp pains in back,severe pain in sole of left foot,1.0,1
