### Cluster 100 — Symptoms (30)
Symptom,Frequency
stiffness better by stretching,1
suitable for syphilitic subjects after mercury abuse,1
aching in sacrum better by bending backward,1
pain in nape extending through head to forehead,1
aching in left upper arm,1
violent boring pain in temples,1
aching better by motion,2
stiffness in right elbow,1
stiffness worse when quiet,1
aching in sacrum better by stretching,1
pain in os coccyx sore to touch,1
aching in lumbar region better by stretching,1
aching in sacrum better by pressure,1
aching better by stretching,2
stiffness in right arm,1
pain in os coccyx worse by motion,1
stiffness worse at night,1
pain in third cervical vertebra,1
suitable for hard drinkers with poor livers,1
aching in lumbar region better by pressure,1
nape of neck stiff,1
stiffness better by motion,1
violent boring pain in vertex,1
suitable for old broken down persons,1
stiffness in right forearm,1
lameness of back,1
pain in os coccyx extends to bladder on pressure,1
follows arsenic well in hard drinkers with ascites,1
compare kali c rhus ruta sil,1
aching in lumbar region better by bending backward,1

### Top Remedies
Remedy,Symptoms_Covered
fluoricum acidum,30

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
suitable for hard drinkers with poor livers,stiffness better by stretching,1.0,1
suitable for hard drinkers with poor livers,suitable for syphilitic subjects after mercury abuse,1.0,1
suitable for hard drinkers with poor livers,aching in sacrum better by bending backward,1.0,1
suitable for hard drinkers with poor livers,pain in nape extending through head to forehead,1.0,1
suitable for hard drinkers with poor livers,aching in left upper arm,1.0,1
suitable for hard drinkers with poor livers,violent boring pain in temples,1.0,1
suitable for hard drinkers with poor livers,aching better by motion,1.0,1
suitable for hard drinkers with poor livers,stiffness in right elbow,1.0,1
suitable for hard drinkers with poor livers,stiffness worse when quiet,1.0,1
suitable for hard drinkers with poor livers,aching in sacrum better by stretching,1.0,1
suitable for hard drinkers with poor livers,pain in os coccyx sore to touch,1.0,1
suitable for hard drinkers with poor livers,aching in lumbar region better by stretching,1.0,1
suitable for hard drinkers with poor livers,aching in sacrum better by pressure,1.0,1
suitable for hard drinkers with poor livers,aching better by stretching,1.0,1
suitable for hard drinkers with poor livers,stiffness in right arm,1.0,1
suitable for hard drinkers with poor livers,pain in os coccyx worse by motion,1.0,1
suitable for hard drinkers with poor livers,stiffness worse at night,1.0,1
suitable for hard drinkers with poor livers,pain in third cervical vertebra,1.0,1
suitable for hard drinkers with poor livers,aching in lumbar region better by pressure,1.0,1
suitable for hard drinkers with poor livers,nape of neck stiff,1.0,1
suitable for hard drinkers with poor livers,stiffness better by motion,1.0,1
suitable for hard drinkers with poor livers,violent boring pain in vertex,1.0,1
suitable for hard drinkers with poor livers,suitable for old broken down persons,1.0,1
suitable for hard drinkers with poor livers,stiffness in right forearm,1.0,1
suitable for hard drinkers with poor livers,lameness of back,1.0,1
suitable for hard drinkers with poor livers,pain in os coccyx extends to bladder on pressure,1.0,1
suitable for hard drinkers with poor livers,follows arsenic well in hard drinkers with ascites,1.0,1
suitable for hard drinkers with poor livers,compare kali c rhus ruta sil,1.0,1
suitable for hard drinkers with poor livers,aching in lumbar region better by bending backward,1.0,1
suitable for syphilitic subjects after mercury abuse,stiffness better by stretching,1.0,1
suitable for syphilitic subjects after mercury abuse,aching in sacrum better by bending backward,1.0,1
suitable for syphilitic subjects after mercury abuse,pain in nape extending through head to forehead,1.0,1
suitable for syphilitic subjects after mercury abuse,aching in left upper arm,1.0,1
suitable for syphilitic subjects after mercury abuse,violent boring pain in temples,1.0,1
suitable for syphilitic subjects after mercury abuse,aching better by motion,1.0,1
suitable for syphilitic subjects after mercury abuse,stiffness in right elbow,1.0,1
suitable for syphilitic subjects after mercury abuse,stiffness worse when quiet,1.0,1
suitable for syphilitic subjects after mercury abuse,aching in sacrum better by stretching,1.0,1
suitable for syphilitic subjects after mercury abuse,pain in os coccyx sore to touch,1.0,1
suitable for syphilitic subjects after mercury abuse,aching in lumbar region better by stretching,1.0,1
suitable for syphilitic subjects after mercury abuse,aching in sacrum better by pressure,1.0,1
suitable for syphilitic subjects after mercury abuse,aching better by stretching,1.0,1
suitable for syphilitic subjects after mercury abuse,stiffness in right arm,1.0,1
suitable for syphilitic subjects after mercury abuse,pain in os coccyx worse by motion,1.0,1
suitable for syphilitic subjects after mercury abuse,stiffness worse at night,1.0,1
suitable for syphilitic subjects after mercury abuse,pain in third cervical vertebra,1.0,1
suitable for syphilitic subjects after mercury abuse,suitable for hard drinkers with poor livers,1.0,1
suitable for syphilitic subjects after mercury abuse,aching in lumbar region better by pressure,1.0,1
suitable for syphilitic subjects after mercury abuse,nape of neck stiff,1.0,1
suitable for syphilitic subjects after mercury abuse,stiffness better by motion,1.0,1
suitable for syphilitic subjects after mercury abuse,violent boring pain in vertex,1.0,1
suitable for syphilitic subjects after mercury abuse,suitable for old broken down persons,1.0,1
suitable for syphilitic subjects after mercury abuse,stiffness in right forearm,1.0,1
suitable for syphilitic subjects after mercury abuse,lameness of back,1.0,1
suitable for syphilitic subjects after mercury abuse,pain in os coccyx extends to bladder on pressure,1.0,1
suitable for syphilitic subjects after mercury abuse,follows arsenic well in hard drinkers with ascites,1.0,1
suitable for syphilitic subjects after mercury abuse,compare kali c rhus ruta sil,1.0,1
suitable for syphilitic subjects after mercury abuse,aching in lumbar region better by bending backward,1.0,1
pain in nape extending through head to forehead,stiffness better by stretching,1.0,1
pain in nape extending through head to forehead,suitable for syphilitic subjects after mercury abuse,1.0,1
pain in nape extending through head to forehead,aching in sacrum better by bending backward,1.0,1
pain in nape extending through head to forehead,aching in left upper arm,1.0,1
pain in nape extending through head to forehead,violent boring pain in temples,1.0,1
pain in nape extending through head to forehead,aching better by motion,1.0,1
pain in nape extending through head to forehead,stiffness in right elbow,1.0,1
pain in nape extending through head to forehead,stiffness worse when quiet,1.0,1
pain in nape extending through head to forehead,aching in sacrum better by stretching,1.0,1
pain in nape extending through head to forehead,pain in os coccyx sore to touch,1.0,1
pain in nape extending through head to forehead,aching in lumbar region better by stretching,1.0,1
pain in nape extending through head to forehead,aching in sacrum better by pressure,1.0,1
pain in nape extending through head to forehead,aching better by stretching,1.0,1
pain in nape extending through head to forehead,stiffness in right arm,1.0,1
pain in nape extending through head to forehead,pain in os coccyx worse by motion,1.0,1
pain in nape extending through head to forehead,stiffness worse at night,1.0,1
pain in nape extending through head to forehead,pain in third cervical vertebra,1.0,1
pain in nape extending through head to forehead,suitable for hard drinkers with poor livers,1.0,1
pain in nape extending through head to forehead,aching in lumbar region better by pressure,1.0,1
pain in nape extending through head to forehead,nape of neck stiff,1.0,1
pain in nape extending through head to forehead,stiffness better by motion,1.0,1
pain in nape extending through head to forehead,violent boring pain in vertex,1.0,1
pain in nape extending through head to forehead,suitable for old broken down persons,1.0,1
pain in nape extending through head to forehead,stiffness in right forearm,1.0,1
pain in nape extending through head to forehead,lameness of back,1.0,1
pain in nape extending through head to forehead,pain in os coccyx extends to bladder on pressure,1.0,1
pain in nape extending through head to forehead,follows arsenic well in hard drinkers with ascites,1.0,1
pain in nape extending through head to forehead,compare kali c rhus ruta sil,1.0,1
pain in nape extending through head to forehead,aching in lumbar region better by bending backward,1.0,1
nape of neck stiff,stiffness better by stretching,1.0,1
nape of neck stiff,suitable for syphilitic subjects after mercury abuse,1.0,1
nape of neck stiff,aching in sacrum better by bending backward,1.0,1
nape of neck stiff,pain in nape extending through head to forehead,1.0,1
nape of neck stiff,aching in left upper arm,1.0,1
nape of neck stiff,violent boring pain in temples,1.0,1
nape of neck stiff,aching better by motion,1.0,1
nape of neck stiff,stiffness in right elbow,1.0,1
nape of neck stiff,stiffness worse when quiet,1.0,1
nape of neck stiff,aching in sacrum better by stretching,1.0,1
nape of neck stiff,pain in os coccyx sore to touch,1.0,1
nape of neck stiff,aching in lumbar region better by stretching,1.0,1
nape of neck stiff,aching in sacrum better by pressure,1.0,1
nape of neck stiff,aching better by stretching,1.0,1
nape of neck stiff,stiffness in right arm,1.0,1
nape of neck stiff,pain in os coccyx worse by motion,1.0,1
nape of neck stiff,stiffness worse at night,1.0,1
nape of neck stiff,pain in third cervical vertebra,1.0,1
nape of neck stiff,suitable for hard drinkers with poor livers,1.0,1
nape of neck stiff,aching in lumbar region better by pressure,1.0,1
nape of neck stiff,stiffness better by motion,1.0,1
nape of neck stiff,violent boring pain in vertex,1.0,1
nape of neck stiff,suitable for old broken down persons,1.0,1
nape of neck stiff,stiffness in right forearm,1.0,1
nape of neck stiff,lameness of back,1.0,1
nape of neck stiff,pain in os coccyx extends to bladder on pressure,1.0,1
nape of neck stiff,follows arsenic well in hard drinkers with ascites,1.0,1
nape of neck stiff,compare kali c rhus ruta sil,1.0,1
nape of neck stiff,aching in lumbar region better by bending backward,1.0,1
pain in os coccyx sore to touch,stiffness better by stretching,1.0,1
pain in os coccyx sore to touch,suitable for syphilitic subjects after mercury abuse,1.0,1
pain in os coccyx sore to touch,aching in sacrum better by bending backward,1.0,1
pain in os coccyx sore to touch,pain in nape extending through head to forehead,1.0,1
pain in os coccyx sore to touch,aching in left upper arm,1.0,1
