### Cluster 2 — Symptoms (21)
Symptom,Frequency
deep bone pains as if scraped,1
shooting down in front of thighs,1
severe stitching during rest,1
stitches in flesh of arms,1
stitches in flesh of thighs,1
intense pains as if inside of bones were scraped,1
intense pains in all bones,1
boring tearing in thighs,1
dryness of mouth,1
sweat on soles of feet,1
dryness of throat,1
paralytic drawing through limbs,1
pain makes her twist round,1
shooting up to scapula,1
severe stitching from motion,1
intense but transient bruised pain in various parts,1
stitches in muscles of arms,1
intense pains in joints,1
rheumatic pain in hips,1
pain in right shoulder extending to chest,1
imagines herself sick,1

### Top Remedies
Remedy,Symptoms_Covered
sabadilla,21

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
intense pains in all bones,deep bone pains as if scraped,1.0,1
intense pains in all bones,shooting down in front of thighs,1.0,1
intense pains in all bones,severe stitching during rest,1.0,1
intense pains in all bones,stitches in flesh of arms,1.0,1
intense pains in all bones,stitches in flesh of thighs,1.0,1
intense pains in all bones,intense pains as if inside of bones were scraped,1.0,1
intense pains in all bones,boring tearing in thighs,1.0,1
intense pains in all bones,dryness of mouth,1.0,1
intense pains in all bones,sweat on soles of feet,1.0,1
intense pains in all bones,dryness of throat,1.0,1
intense pains in all bones,paralytic drawing through limbs,1.0,1
intense pains in all bones,pain makes her twist round,1.0,1
intense pains in all bones,shooting up to scapula,1.0,1
intense pains in all bones,severe stitching from motion,1.0,1
intense pains in all bones,intense but transient bruised pain in various parts,1.0,1
intense pains in all bones,stitches in muscles of arms,1.0,1
intense pains in all bones,intense pains in joints,1.0,1
intense pains in all bones,rheumatic pain in hips,1.0,1
intense pains in all bones,pain in right shoulder extending to chest,1.0,1
intense pains in all bones,imagines herself sick,1.0,1
stitches in muscles of arms,deep bone pains as if scraped,1.0,1
stitches in muscles of arms,shooting down in front of thighs,1.0,1
stitches in muscles of arms,severe stitching during rest,1.0,1
stitches in muscles of arms,stitches in flesh of arms,1.0,1
stitches in muscles of arms,stitches in flesh of thighs,1.0,1
stitches in muscles of arms,intense pains as if inside of bones were scraped,1.0,1
stitches in muscles of arms,intense pains in all bones,1.0,1
stitches in muscles of arms,boring tearing in thighs,1.0,1
stitches in muscles of arms,dryness of mouth,1.0,1
stitches in muscles of arms,sweat on soles of feet,1.0,1
stitches in muscles of arms,dryness of throat,1.0,1
stitches in muscles of arms,paralytic drawing through limbs,1.0,1
stitches in muscles of arms,pain makes her twist round,1.0,1
stitches in muscles of arms,shooting up to scapula,1.0,1
stitches in muscles of arms,severe stitching from motion,1.0,1
stitches in muscles of arms,intense but transient bruised pain in various parts,1.0,1
stitches in muscles of arms,intense pains in joints,1.0,1
stitches in muscles of arms,rheumatic pain in hips,1.0,1
stitches in muscles of arms,pain in right shoulder extending to chest,1.0,1
stitches in muscles of arms,imagines herself sick,1.0,1
stitches in flesh of thighs,deep bone pains as if scraped,1.0,1
stitches in flesh of thighs,shooting down in front of thighs,1.0,1
stitches in flesh of thighs,severe stitching during rest,1.0,1
stitches in flesh of thighs,stitches in flesh of arms,1.0,1
stitches in flesh of thighs,intense pains as if inside of bones were scraped,1.0,1
stitches in flesh of thighs,intense pains in all bones,1.0,1
stitches in flesh of thighs,boring tearing in thighs,1.0,1
stitches in flesh of thighs,dryness of mouth,1.0,1
stitches in flesh of thighs,sweat on soles of feet,1.0,1
stitches in flesh of thighs,dryness of throat,1.0,1
stitches in flesh of thighs,paralytic drawing through limbs,1.0,1
stitches in flesh of thighs,pain makes her twist round,1.0,1
stitches in flesh of thighs,shooting up to scapula,1.0,1
stitches in flesh of thighs,severe stitching from motion,1.0,1
stitches in flesh of thighs,intense but transient bruised pain in various parts,1.0,1
stitches in flesh of thighs,stitches in muscles of arms,1.0,1
stitches in flesh of thighs,intense pains in joints,1.0,1
stitches in flesh of thighs,rheumatic pain in hips,1.0,1
stitches in flesh of thighs,pain in right shoulder extending to chest,1.0,1
stitches in flesh of thighs,imagines herself sick,1.0,1
deep bone pains as if scraped,shooting down in front of thighs,1.0,1
deep bone pains as if scraped,severe stitching during rest,1.0,1
deep bone pains as if scraped,stitches in flesh of arms,1.0,1
deep bone pains as if scraped,stitches in flesh of thighs,1.0,1
deep bone pains as if scraped,intense pains as if inside of bones were scraped,1.0,1
deep bone pains as if scraped,intense pains in all bones,1.0,1
deep bone pains as if scraped,boring tearing in thighs,1.0,1
deep bone pains as if scraped,dryness of mouth,1.0,1
deep bone pains as if scraped,sweat on soles of feet,1.0,1
deep bone pains as if scraped,dryness of throat,1.0,1
deep bone pains as if scraped,paralytic drawing through limbs,1.0,1
deep bone pains as if scraped,pain makes her twist round,1.0,1
deep bone pains as if scraped,shooting up to scapula,1.0,1
deep bone pains as if scraped,severe stitching from motion,1.0,1
deep bone pains as if scraped,intense but transient bruised pain in various parts,1.0,1
deep bone pains as if scraped,stitches in muscles of arms,1.0,1
deep bone pains as if scraped,intense pains in joints,1.0,1
deep bone pains as if scraped,rheumatic pain in hips,1.0,1
deep bone pains as if scraped,pain in right shoulder extending to chest,1.0,1
deep bone pains as if scraped,imagines herself sick,1.0,1
intense pains in joints,deep bone pains as if scraped,1.0,1
intense pains in joints,shooting down in front of thighs,1.0,1
