### Cluster 50 — Symptoms (107)
Symptom,Frequency
burning in limbs,1
rheumatic drawing from loins to coccyx,2
drawing tearing in left arm from elbow to hand,2
hip pain extending to sacrum,1
prickling stitches in fingers,2
toes swollen,1
hand pain worse in windy weather,1
shoulder pain worse in morning,1
tension in thigh in morning,1
pains when beginning to walk,1
prostrated with rheumatic pains,1
great hoarseness,1
drawing in limbs,1
sense of constriction in thigh,1
elbow pain worse by touch,1
tearing in right thigh,2
burning about scapulae,1
cold limbs,1
left thigh pain when lifting it,1
stitches in ankle joint,1
paralytic weakness of right arm,2
cramps in calves at night,1
stiffness of thigh on standing,1
tearing in either wrist,1
pain in scapular region,1
patients with lost vital forces from fluid loss,1
back pain worse on stooping,1
burning in joints of fingers,1
cramp-like tension in shoulders,2
drawing pain in nape up into head,1
unable to sit,1
cramps in lower leg when walking,1
limbs go to sleep easily,1
leg stiffness especially on first beginning to walk,1
aching along spine,1
paralytic pains in knees,1
drawing pain in hip joints,1
hat band sensation remains after hat removed,1
bruised pain in elbow joints,1
stiffness of back,1
aching pain from loins to coccyx,1
cramps in soles evenings after lying down,1
burning on scapula,1
boring in joints of fingers,1
fingers drawn out of shape,1
drawing in shafts of bones,1
drawing pain in back,1
drawing in joints of fingers,1
burning about hips,1
stitches in right great toe,1
pinching pressing pain in lower spine,2
tearing beneath hip,1
spine is bent,1
toe pain worse when walking,1
pressing pain beneath coccyx,1
roughness of voice,1
tension in knees on waking,1
boring in fingers,1
burning in thigh,1
rheumatic drawing in back,2
stitches in patella on rising,1
burning on right shoulder,1
toes stinging,1
drawing rheumatic pains in right shoulder,2
tearing in hip,1
voice almost fails at times,1
sensation as if tendons of wrist were shortened,1
pains at every weather change,1
sensation of stiffness in legs after sleep in evening,1
prickling stitches in joints of fingers,2
cold knees,1
shoulder pain worse from motion,1
tearing in right hip,1
drawing in arm on which he lies at night,1
boring pains in limbs,1
pressing cramp-like pain in small of back,2
stitches in shoulders,1
lancinating pain in wrists when grasping,1
sensation of plug in back,1
sensation as if tendons of hand were shortened,1
sprained pain in right hand,1
back pain worse on sitting,1
drawing in thigh,1
lack of strength in knees,1
cramp-like pain on outside of left thigh,1
knees go to sleep,1
pain in joints of hands,1
drawing pain from abdomen down into leg,1
great depression of vital forces,1
arms weary when writing,1
burning in fingers,1
limbs go to sleep,1
burning in bones,1
heartburn very persistent,1
thigh stitches passing downward when walking,1
stiffness of nape,1
paralytic weakness of right shoulder,2
great inclination to stretch limbs in evening,1
stitches in thigh,1
limbs are bruised,1
severe nosebleed almost daily,1
toes red,1
hip pain extending to thigh,1
painful sensation as if hat band were too tight,1
tearing in fingers of left hand,1
bone pain painful on pressure,1
complementary with kali carb.,1

### Top Remedies
Remedy,Symptoms_Covered
carbo vegetabilis,107
aloes socotrina,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
drawing pain from abdomen down into leg,burning in limbs,1.0,1
drawing pain from abdomen down into leg,rheumatic drawing from loins to coccyx,1.0,1
drawing pain from abdomen down into leg,drawing tearing in left arm from elbow to hand,1.0,1
drawing pain from abdomen down into leg,hip pain extending to sacrum,1.0,1
drawing pain from abdomen down into leg,prickling stitches in fingers,1.0,1
drawing pain from abdomen down into leg,toes swollen,1.0,1
drawing pain from abdomen down into leg,hand pain worse in windy weather,1.0,1
drawing pain from abdomen down into leg,shoulder pain worse in morning,1.0,1
drawing pain from abdomen down into leg,tension in thigh in morning,1.0,1
drawing pain from abdomen down into leg,pains when beginning to walk,1.0,1
drawing pain from abdomen down into leg,prostrated with rheumatic pains,1.0,1
drawing pain from abdomen down into leg,great hoarseness,1.0,1
drawing pain from abdomen down into leg,drawing in limbs,1.0,1
drawing pain from abdomen down into leg,sense of constriction in thigh,1.0,1
drawing pain from abdomen down into leg,elbow pain worse by touch,1.0,1
drawing pain from abdomen down into leg,tearing in right thigh,1.0,1
drawing pain from abdomen down into leg,burning about scapulae,1.0,1
drawing pain from abdomen down into leg,cold limbs,1.0,1
drawing pain from abdomen down into leg,left thigh pain when lifting it,1.0,1
drawing pain from abdomen down into leg,stitches in ankle joint,1.0,1
drawing pain from abdomen down into leg,paralytic weakness of right arm,1.0,1
drawing pain from abdomen down into leg,cramps in calves at night,1.0,1
drawing pain from abdomen down into leg,stiffness of thigh on standing,1.0,1
drawing pain from abdomen down into leg,tearing in either wrist,1.0,1
drawing pain from abdomen down into leg,pain in scapular region,1.0,1
drawing pain from abdomen down into leg,patients with lost vital forces from fluid loss,1.0,1
drawing pain from abdomen down into leg,back pain worse on stooping,1.0,1
drawing pain from abdomen down into leg,burning in joints of fingers,1.0,1
drawing pain from abdomen down into leg,cramp-like tension in shoulders,1.0,1
drawing pain from abdomen down into leg,drawing pain in nape up into head,1.0,1
drawing pain from abdomen down into leg,unable to sit,1.0,1
drawing pain from abdomen down into leg,cramps in lower leg when walking,1.0,1
drawing pain from abdomen down into leg,limbs go to sleep easily,1.0,1
drawing pain from abdomen down into leg,leg stiffness especially on first beginning to walk,1.0,1
drawing pain from abdomen down into leg,aching along spine,1.0,1
drawing pain from abdomen down into leg,paralytic pains in knees,1.0,1
drawing pain from abdomen down into leg,drawing pain in hip joints,1.0,1
drawing pain from abdomen down into leg,hat band sensation remains after hat removed,1.0,1
drawing pain from abdomen down into leg,bruised pain in elbow joints,1.0,1
drawing pain from abdomen down into leg,stiffness of back,1.0,1
drawing pain from abdomen down into leg,aching pain from loins to coccyx,1.0,1
drawing pain from abdomen down into leg,cramps in soles evenings after lying down,1.0,1
drawing pain from abdomen down into leg,burning on scapula,1.0,1
drawing pain from abdomen down into leg,boring in joints of fingers,1.0,1
drawing pain from abdomen down into leg,fingers drawn out of shape,1.0,1
drawing pain from abdomen down into leg,drawing in shafts of bones,1.0,1
drawing pain from abdomen down into leg,drawing pain in back,1.0,1
drawing pain from abdomen down into leg,drawing in joints of fingers,1.0,1
drawing pain from abdomen down into leg,burning about hips,1.0,1
drawing pain from abdomen down into leg,stitches in right great toe,1.0,1
drawing pain from abdomen down into leg,pinching pressing pain in lower spine,1.0,1
drawing pain from abdomen down into leg,tearing beneath hip,1.0,1
drawing pain from abdomen down into leg,spine is bent,1.0,1
drawing pain from abdomen down into leg,toe pain worse when walking,1.0,1
drawing pain from abdomen down into leg,pressing pain beneath coccyx,1.0,1
drawing pain from abdomen down into leg,roughness of voice,1.0,1
drawing pain from abdomen down into leg,tension in knees on waking,1.0,1
drawing pain from abdomen down into leg,boring in fingers,1.0,1
drawing pain from abdomen down into leg,burning in thigh,1.0,1
drawing pain from abdomen down into leg,rheumatic drawing in back,1.0,1
drawing pain from abdomen down into leg,stitches in patella on rising,1.0,1
drawing pain from abdomen down into leg,burning on right shoulder,1.0,1
drawing pain from abdomen down into leg,toes stinging,1.0,1
drawing pain from abdomen down into leg,drawing rheumatic pains in right shoulder,1.0,1
drawing pain from abdomen down into leg,tearing in hip,1.0,1
drawing pain from abdomen down into leg,voice almost fails at times,1.0,1
drawing pain from abdomen down into leg,sensation as if tendons of wrist were shortened,1.0,1
drawing pain from abdomen down into leg,pains at every weather change,1.0,1
drawing pain from abdomen down into leg,sensation of stiffness in legs after sleep in evening,1.0,1
drawing pain from abdomen down into leg,prickling stitches in joints of fingers,1.0,1
drawing pain from abdomen down into leg,cold knees,1.0,1
drawing pain from abdomen down into leg,shoulder pain worse from motion,1.0,1
drawing pain from abdomen down into leg,tearing in right hip,1.0,1
drawing pain from abdomen down into leg,drawing in arm on which he lies at night,1.0,1
drawing pain from abdomen down into leg,boring pains in limbs,1.0,1
drawing pain from abdomen down into leg,pressing cramp-like pain in small of back,1.0,1
drawing pain from abdomen down into leg,stitches in shoulders,1.0,1
drawing pain from abdomen down into leg,lancinating pain in wrists when grasping,1.0,1
drawing pain from abdomen down into leg,sensation of plug in back,1.0,1
drawing pain from abdomen down into leg,sensation as if tendons of hand were shortened,1.0,1
drawing pain from abdomen down into leg,sprained pain in right hand,1.0,1
drawing pain from abdomen down into leg,back pain worse on sitting,1.0,1
drawing pain from abdomen down into leg,drawing in thigh,1.0,1
drawing pain from abdomen down into leg,lack of strength in knees,1.0,1
drawing pain from abdomen down into leg,cramp-like pain on outside of left thigh,1.0,1
drawing pain from abdomen down into leg,knees go to sleep,1.0,1
drawing pain from abdomen down into leg,pain in joints of hands,1.0,1
drawing pain from abdomen down into leg,great depression of vital forces,1.0,1
drawing pain from abdomen down into leg,arms weary when writing,1.0,1
drawing pain from abdomen down into leg,burning in fingers,1.0,1
drawing pain from abdomen down into leg,limbs go to sleep,1.0,1
drawing pain from abdomen down into leg,burning in bones,1.0,1
drawing pain from abdomen down into leg,heartburn very persistent,1.0,1
drawing pain from abdomen down into leg,thigh stitches passing downward when walking,1.0,1
drawing pain from abdomen down into leg,stiffness of nape,1.0,1
drawing pain from abdomen down into leg,paralytic weakness of right shoulder,1.0,1
drawing pain from abdomen down into leg,great inclination to stretch limbs in evening,1.0,1
drawing pain from abdomen down into leg,stitches in thigh,1.0,1
drawing pain from abdomen down into leg,limbs are bruised,1.0,1
drawing pain from abdomen down into leg,severe nosebleed almost daily,1.0,1
drawing pain from abdomen down into leg,toes red,1.0,1
drawing pain from abdomen down into leg,hip pain extending to thigh,1.0,1
drawing pain from abdomen down into leg,painful sensation as if hat band were too tight,1.0,1
drawing pain from abdomen down into leg,tearing in fingers of left hand,1.0,1
drawing pain from abdomen down into leg,bone pain painful on pressure,1.0,1
drawing pain from abdomen down into leg,complementary with kali carb.,1.0,1
leg stiffness especially on first beginning to walk,burning in limbs,1.0,1
leg stiffness especially on first beginning to walk,rheumatic drawing from loins to coccyx,1.0,1
leg stiffness especially on first beginning to walk,drawing tearing in left arm from elbow to hand,1.0,1
leg stiffness especially on first beginning to walk,hip pain extending to sacrum,1.0,1
leg stiffness especially on first beginning to walk,prickling stitches in fingers,1.0,1
leg stiffness especially on first beginning to walk,toes swollen,1.0,1
leg stiffness especially on first beginning to walk,hand pain worse in windy weather,1.0,1
leg stiffness especially on first beginning to walk,shoulder pain worse in morning,1.0,1
leg stiffness especially on first beginning to walk,tension in thigh in morning,1.0,1
leg stiffness especially on first beginning to walk,pains when beginning to walk,1.0,1
leg stiffness especially on first beginning to walk,prostrated with rheumatic pains,1.0,1
leg stiffness especially on first beginning to walk,great hoarseness,1.0,1
leg stiffness especially on first beginning to walk,drawing in limbs,1.0,1
leg stiffness especially on first beginning to walk,sense of constriction in thigh,1.0,1
leg stiffness especially on first beginning to walk,elbow pain worse by touch,1.0,1
leg stiffness especially on first beginning to walk,tearing in right thigh,1.0,1
leg stiffness especially on first beginning to walk,burning about scapulae,1.0,1
leg stiffness especially on first beginning to walk,cold limbs,1.0,1
leg stiffness especially on first beginning to walk,left thigh pain when lifting it,1.0,1
leg stiffness especially on first beginning to walk,stitches in ankle joint,1.0,1
leg stiffness especially on first beginning to walk,paralytic weakness of right arm,1.0,1
leg stiffness especially on first beginning to walk,cramps in calves at night,1.0,1
leg stiffness especially on first beginning to walk,stiffness of thigh on standing,1.0,1
leg stiffness especially on first beginning to walk,tearing in either wrist,1.0,1
leg stiffness especially on first beginning to walk,pain in scapular region,1.0,1
leg stiffness especially on first beginning to walk,patients with lost vital forces from fluid loss,1.0,1
leg stiffness especially on first beginning to walk,back pain worse on stooping,1.0,1
leg stiffness especially on first beginning to walk,burning in joints of fingers,1.0,1
leg stiffness especially on first beginning to walk,cramp-like tension in shoulders,1.0,1
leg stiffness especially on first beginning to walk,drawing pain in nape up into head,1.0,1
leg stiffness especially on first beginning to walk,unable to sit,1.0,1
leg stiffness especially on first beginning to walk,cramps in lower leg when walking,1.0,1
leg stiffness especially on first beginning to walk,limbs go to sleep easily,1.0,1
leg stiffness especially on first beginning to walk,aching along spine,1.0,1
leg stiffness especially on first beginning to walk,paralytic pains in knees,1.0,1
leg stiffness especially on first beginning to walk,drawing pain in hip joints,1.0,1
leg stiffness especially on first beginning to walk,hat band sensation remains after hat removed,1.0,1
leg stiffness especially on first beginning to walk,bruised pain in elbow joints,1.0,1
leg stiffness especially on first beginning to walk,stiffness of back,1.0,1
leg stiffness especially on first beginning to walk,aching pain from loins to coccyx,1.0,1
leg stiffness especially on first beginning to walk,cramps in soles evenings after lying down,1.0,1
leg stiffness especially on first beginning to walk,burning on scapula,1.0,1
leg stiffness especially on first beginning to walk,boring in joints of fingers,1.0,1
