### Cluster 18 — Symptoms (54)
Symptom,Frequency
hiccough,1
pain between shoulders and along spine,1
violent pains in right leg,1
legs tired,1
sprained pain in joints of little finger of left hand,1
rheumatism of left shoulder and right hip,1
wandering drawing pains,1
rheumatic tearing pains in right shoulder,1
aching pain in lower spine,1
eating a little causes headache,1
from draft of damp air,1
worse damp weather,1
as if there were lead in it,1
as if in bone,1
acute lumbago,1
bewildered upon awakening,1
drawing pains continually from fingers to shoulders,1
marked tiredness in knees,1
violent pain in right middle finger,1
constricted in nape of neck,1
pains shifting from back to sacrum,1
wandering digging pressing pain,1
in small spots,1
pain in small of back pressing downward,1
pressing pain in both shoulders,1
vanishing of thoughts,1
painful drawing in thighs,1
backache while riding in a carriage,1
as after a long journey,1
from protracted exposure to cold and damp,1
crushing pain in legs,1
as if it were in the bone,1
worse on going upstairs,1
from knee to ankle,1
back sacrum knees especially lumbar region,1
worse during rest,1
feel as if they had been riding horseback,1
pains now in one place then in another,1
pain in back just above hips,1
stinging pain on flexor side of upper arm and elbow joint,1
hysteria,1
right knee joint as if sprained,1
dull drawing pain in periosteum of right tibia,1
sense of great weight in left shoulder,1
extending from hip to knee,1
worse after lying down,1
must constantly move legs,1
boring pain in right great toe,1
rheumatism affecting left deltoid,1
pain in sacrum while riding in a carriage,1
flexor muscles of right thigh painful when walking,1
coming a short time then going,1
as if a piece of wood were pressing crosswise and outward,1
sensation as if vessels were pulsating,1

### Top Remedies
Remedy,Symptoms_Covered
nux moschata,54

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
worse on going upstairs,hiccough,1.0,1
worse on going upstairs,pain between shoulders and along spine,1.0,1
worse on going upstairs,violent pains in right leg,1.0,1
worse on going upstairs,legs tired,1.0,1
worse on going upstairs,sprained pain in joints of little finger of left hand,1.0,1
worse on going upstairs,rheumatism of left shoulder and right hip,1.0,1
worse on going upstairs,wandering drawing pains,1.0,1
worse on going upstairs,rheumatic tearing pains in right shoulder,1.0,1
worse on going upstairs,aching pain in lower spine,1.0,1
worse on going upstairs,eating a little causes headache,1.0,1
worse on going upstairs,from draft of damp air,1.0,1
worse on going upstairs,worse damp weather,1.0,1
worse on going upstairs,as if there were lead in it,1.0,1
worse on going upstairs,as if in bone,1.0,1
worse on going upstairs,acute lumbago,1.0,1
worse on going upstairs,bewildered upon awakening,1.0,1
worse on going upstairs,drawing pains continually from fingers to shoulders,1.0,1
worse on going upstairs,marked tiredness in knees,1.0,1
worse on going upstairs,violent pain in right middle finger,1.0,1
worse on going upstairs,constricted in nape of neck,1.0,1
worse on going upstairs,pains shifting from back to sacrum,1.0,1
worse on going upstairs,wandering digging pressing pain,1.0,1
worse on going upstairs,in small spots,1.0,1
worse on going upstairs,pain in small of back pressing downward,1.0,1
worse on going upstairs,pressing pain in both shoulders,1.0,1
worse on going upstairs,vanishing of thoughts,1.0,1
worse on going upstairs,painful drawing in thighs,1.0,1
worse on going upstairs,backache while riding in a carriage,1.0,1
worse on going upstairs,as after a long journey,1.0,1
worse on going upstairs,from protracted exposure to cold and damp,1.0,1
worse on going upstairs,crushing pain in legs,1.0,1
