### Cluster 61 — Symptoms (21)
Symptom,Frequency
pain in great toe as if it were being pinched,1
fidgets in legs and arms,1
extremely sleepy during day,1
legs become restless as if insensible,1
rheumatic wandering pains in limbs,1
rheumatic pains from hips to feet,1
arthritic pain in heel,1
pain under the short ribs,1
left arm very restless,1
rheumatic colic pain from cold,1
associated with much pressure and urging to urinate,1
sleepy even in company,1
better near warm stove,1
choking while eating or drinking,1
rheumatic pains in right arm over deltoid muscle,1
frequent passing of clear urine,1
rheumatic pain in region of liver,1
better by motion,1
marked lameness with all pains,1
acute sensitiveness,1
rush of warmth to various parts,1

### Top Remedies
Remedy,Symptoms_Covered
mephitis,21

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
pain in great toe as if it were being pinched,fidgets in legs and arms,1.0,1
pain in great toe as if it were being pinched,extremely sleepy during day,1.0,1
pain in great toe as if it were being pinched,legs become restless as if insensible,1.0,1
pain in great toe as if it were being pinched,rheumatic wandering pains in limbs,1.0,1
pain in great toe as if it were being pinched,rheumatic pains from hips to feet,1.0,1
pain in great toe as if it were being pinched,arthritic pain in heel,1.0,1
pain in great toe as if it were being pinched,pain under the short ribs,1.0,1
pain in great toe as if it were being pinched,left arm very restless,1.0,1
pain in great toe as if it were being pinched,rheumatic colic pain from cold,1.0,1
pain in great toe as if it were being pinched,associated with much pressure and urging to urinate,1.0,1
pain in great toe as if it were being pinched,sleepy even in company,1.0,1
pain in great toe as if it were being pinched,better near warm stove,1.0,1
pain in great toe as if it were being pinched,choking while eating or drinking,1.0,1
pain in great toe as if it were being pinched,rheumatic pains in right arm over deltoid muscle,1.0,1
pain in great toe as if it were being pinched,frequent passing of clear urine,1.0,1
pain in great toe as if it were being pinched,rheumatic pain in region of liver,1.0,1
pain in great toe as if it were being pinched,better by motion,1.0,1
pain in great toe as if it were being pinched,marked lameness with all pains,1.0,1
pain in great toe as if it were being pinched,acute sensitiveness,1.0,1
pain in great toe as if it were being pinched,rush of warmth to various parts,1.0,1
left arm very restless,pain in great toe as if it were being pinched,1.0,1
left arm very restless,fidgets in legs and arms,1.0,1
left arm very restless,extremely sleepy during day,1.0,1
left arm very restless,legs become restless as if insensible,1.0,1
left arm very restless,rheumatic wandering pains in limbs,1.0,1
left arm very restless,rheumatic pains from hips to feet,1.0,1
left arm very restless,arthritic pain in heel,1.0,1
left arm very restless,pain under the short ribs,1.0,1
left arm very restless,rheumatic colic pain from cold,1.0,1
left arm very restless,associated with much pressure and urging to urinate,1.0,1
left arm very restless,sleepy even in company,1.0,1
left arm very restless,better near warm stove,1.0,1
left arm very restless,choking while eating or drinking,1.0,1
left arm very restless,rheumatic pains in right arm over deltoid muscle,1.0,1
left arm very restless,frequent passing of clear urine,1.0,1
left arm very restless,rheumatic pain in region of liver,1.0,1
left arm very restless,better by motion,1.0,1
left arm very restless,marked lameness with all pains,1.0,1
left arm very restless,acute sensitiveness,1.0,1
