### Cluster 38 — Symptoms (30)
Symptom,Frequency
ankle greatly swollen,1
rheumatic pains in right deltoid,1
severe shooting pains down legs,1
steady almost unbearable pain about foot,1
pain in right shoulder sensitive to touch,1
pains in knees worse at night,1
steady almost unbearable pain about ankle,1
crick in neck,1
fingers contracted by acute articular rheumatism,1
copious sweat that does not give relief,1
pain in right shoulder better from gentle motion,1
severe shooting pains in knees,1
violent pain in upper arm of a drawing tearing nature,3
knees lame and swollen,2
wrists lame and swollen,2
shooting pain through ankle,1
dead feeling in right hand,1
violent pain in right shoulder,1
soft full pulse,1
very valuable in acute articular or inflammatory rheumatic fever,2
ankle sensitive to touch,1
joints pale red,1
very severe congestive headache,1
one joint after another affected,1
acute inflammatory swelling of right shoulder,1
joints puffy,1
crick in back,1
shooting pain up inside of leg,1
pains in knees worse by motion,1
great throbbing in head,1

### Top Remedies
Remedy,Symptoms_Covered
ferrum phosphoricum,30

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
very valuable in acute articular or inflammatory rheumatic fever,ankle greatly swollen,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,rheumatic pains in right deltoid,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,severe shooting pains down legs,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,steady almost unbearable pain about foot,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,pain in right shoulder sensitive to touch,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,pains in knees worse at night,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,steady almost unbearable pain about ankle,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,crick in neck,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,fingers contracted by acute articular rheumatism,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,copious sweat that does not give relief,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,pain in right shoulder better from gentle motion,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,severe shooting pains in knees,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,violent pain in upper arm of a drawing tearing nature,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,knees lame and swollen,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,wrists lame and swollen,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,shooting pain through ankle,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,dead feeling in right hand,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,violent pain in right shoulder,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,soft full pulse,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,ankle sensitive to touch,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,joints pale red,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,very severe congestive headache,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,one joint after another affected,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,acute inflammatory swelling of right shoulder,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,joints puffy,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,crick in back,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,shooting pain up inside of leg,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,pains in knees worse by motion,1.0,1
very valuable in acute articular or inflammatory rheumatic fever,great throbbing in head,1.0,1
crick in neck,ankle greatly swollen,1.0,1
crick in neck,rheumatic pains in right deltoid,1.0,1
crick in neck,severe shooting pains down legs,1.0,1
crick in neck,steady almost unbearable pain about foot,1.0,1
crick in neck,pain in right shoulder sensitive to touch,1.0,1
crick in neck,pains in knees worse at night,1.0,1
crick in neck,steady almost unbearable pain about ankle,1.0,1
crick in neck,fingers contracted by acute articular rheumatism,1.0,1
crick in neck,copious sweat that does not give relief,1.0,1
crick in neck,pain in right shoulder better from gentle motion,1.0,1
crick in neck,severe shooting pains in knees,1.0,1
crick in neck,violent pain in upper arm of a drawing tearing nature,1.0,1
crick in neck,knees lame and swollen,1.0,1
crick in neck,wrists lame and swollen,1.0,1
crick in neck,shooting pain through ankle,1.0,1
crick in neck,dead feeling in right hand,1.0,1
crick in neck,violent pain in right shoulder,1.0,1
crick in neck,soft full pulse,1.0,1
crick in neck,very valuable in acute articular or inflammatory rheumatic fever,1.0,1
crick in neck,ankle sensitive to touch,1.0,1
crick in neck,joints pale red,1.0,1
crick in neck,very severe congestive headache,1.0,1
crick in neck,one joint after another affected,1.0,1
crick in neck,acute inflammatory swelling of right shoulder,1.0,1
crick in neck,joints puffy,1.0,1
crick in neck,crick in back,1.0,1
crick in neck,shooting pain up inside of leg,1.0,1
crick in neck,pains in knees worse by motion,1.0,1
crick in neck,great throbbing in head,1.0,1
severe shooting pains down legs,ankle greatly swollen,1.0,1
severe shooting pains down legs,rheumatic pains in right deltoid,1.0,1
severe shooting pains down legs,steady almost unbearable pain about foot,1.0,1
severe shooting pains down legs,pain in right shoulder sensitive to touch,1.0,1
severe shooting pains down legs,pains in knees worse at night,1.0,1
severe shooting pains down legs,steady almost unbearable pain about ankle,1.0,1
severe shooting pains down legs,crick in neck,1.0,1
severe shooting pains down legs,fingers contracted by acute articular rheumatism,1.0,1
severe shooting pains down legs,copious sweat that does not give relief,1.0,1
severe shooting pains down legs,pain in right shoulder better from gentle motion,1.0,1
severe shooting pains down legs,severe shooting pains in knees,1.0,1
severe shooting pains down legs,violent pain in upper arm of a drawing tearing nature,1.0,1
severe shooting pains down legs,knees lame and swollen,1.0,1
severe shooting pains down legs,wrists lame and swollen,1.0,1
severe shooting pains down legs,shooting pain through ankle,1.0,1
severe shooting pains down legs,dead feeling in right hand,1.0,1
severe shooting pains down legs,violent pain in right shoulder,1.0,1
severe shooting pains down legs,soft full pulse,1.0,1
severe shooting pains down legs,very valuable in acute articular or inflammatory rheumatic fever,1.0,1
severe shooting pains down legs,ankle sensitive to touch,1.0,1
severe shooting pains down legs,joints pale red,1.0,1
severe shooting pains down legs,very severe congestive headache,1.0,1
severe shooting pains down legs,one joint after another affected,1.0,1
severe shooting pains down legs,acute inflammatory swelling of right shoulder,1.0,1
severe shooting pains down legs,joints puffy,1.0,1
severe shooting pains down legs,crick in back,1.0,1
severe shooting pains down legs,shooting pain up inside of leg,1.0,1
severe shooting pains down legs,pains in knees worse by motion,1.0,1
severe shooting pains down legs,great throbbing in head,1.0,1
pain in right shoulder sensitive to touch,ankle greatly swollen,1.0,1
pain in right shoulder sensitive to touch,rheumatic pains in right deltoid,1.0,1
pain in right shoulder sensitive to touch,severe shooting pains down legs,1.0,1
pain in right shoulder sensitive to touch,steady almost unbearable pain about foot,1.0,1
pain in right shoulder sensitive to touch,pains in knees worse at night,1.0,1
pain in right shoulder sensitive to touch,steady almost unbearable pain about ankle,1.0,1
pain in right shoulder sensitive to touch,crick in neck,1.0,1
pain in right shoulder sensitive to touch,fingers contracted by acute articular rheumatism,1.0,1
pain in right shoulder sensitive to touch,copious sweat that does not give relief,1.0,1
pain in right shoulder sensitive to touch,pain in right shoulder better from gentle motion,1.0,1
pain in right shoulder sensitive to touch,severe shooting pains in knees,1.0,1
pain in right shoulder sensitive to touch,violent pain in upper arm of a drawing tearing nature,1.0,1
pain in right shoulder sensitive to touch,knees lame and swollen,1.0,1
pain in right shoulder sensitive to touch,wrists lame and swollen,1.0,1
pain in right shoulder sensitive to touch,shooting pain through ankle,1.0,1
pain in right shoulder sensitive to touch,dead feeling in right hand,1.0,1
pain in right shoulder sensitive to touch,violent pain in right shoulder,1.0,1
pain in right shoulder sensitive to touch,soft full pulse,1.0,1
pain in right shoulder sensitive to touch,very valuable in acute articular or inflammatory rheumatic fever,1.0,1
pain in right shoulder sensitive to touch,ankle sensitive to touch,1.0,1
pain in right shoulder sensitive to touch,joints pale red,1.0,1
pain in right shoulder sensitive to touch,very severe congestive headache,1.0,1
pain in right shoulder sensitive to touch,one joint after another affected,1.0,1
pain in right shoulder sensitive to touch,acute inflammatory swelling of right shoulder,1.0,1
pain in right shoulder sensitive to touch,joints puffy,1.0,1
pain in right shoulder sensitive to touch,crick in back,1.0,1
pain in right shoulder sensitive to touch,shooting pain up inside of leg,1.0,1
pain in right shoulder sensitive to touch,pains in knees worse by motion,1.0,1
pain in right shoulder sensitive to touch,great throbbing in head,1.0,1
shooting pain up inside of leg,ankle greatly swollen,1.0,1
shooting pain up inside of leg,rheumatic pains in right deltoid,1.0,1
shooting pain up inside of leg,severe shooting pains down legs,1.0,1
shooting pain up inside of leg,steady almost unbearable pain about foot,1.0,1
shooting pain up inside of leg,pain in right shoulder sensitive to touch,1.0,1
shooting pain up inside of leg,pains in knees worse at night,1.0,1
