### Cluster 69 — Symptoms (16)
Symptom,Frequency
cramp-like pain in hands,7
tearing pain in back,8
rheumatic pains worse in wet weather,1
rheumatic pains shifting rapidly,1
sensitivity to weather changes,1
stinging pain in elbows,6
sore throat,1
worse in stormy weather,1
thirstlessness,1
rheumatic pains worse before storms,1
glandular swellings,1
rheumatic pains worse in cold damp weather,1
wandering pains,2
aching in heels,3
weepiness,1
general soreness,1

### Top Remedies
Remedy,Symptoms_Covered
phytolacca,9
pulsatilla,8
rhododendron,6
rhus toxicodendron,5
plumbum,2
phosphorus,2
ranunculus bulbosus,2
rumex crispus,2
petroleum,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
sore throat,cramp-like pain in hands,1.0,1
sore throat,tearing pain in back,1.0,1
sore throat,rheumatic pains worse in wet weather,1.0,1
sore throat,stinging pain in elbows,1.0,1
sore throat,glandular swellings,1.0,1
sore throat,wandering pains,1.0,1
sore throat,aching in heels,1.0,1
sore throat,general soreness,1.0,1
rheumatic pains shifting rapidly,cramp-like pain in hands,1.0,1
rheumatic pains shifting rapidly,tearing pain in back,1.0,1
rheumatic pains shifting rapidly,stinging pain in elbows,1.0,1
rheumatic pains shifting rapidly,thirstlessness,1.0,1
rheumatic pains shifting rapidly,wandering pains,1.0,1
rheumatic pains shifting rapidly,aching in heels,1.0,1
rheumatic pains shifting rapidly,weepiness,1.0,1
rheumatic pains worse in cold damp weather,cramp-like pain in hands,1.0,1
rheumatic pains worse in cold damp weather,tearing pain in back,1.0,1
rheumatic pains worse in cold damp weather,stinging pain in elbows,1.0,1
rheumatic pains worse in cold damp weather,aching in heels,1.0,1
glandular swellings,cramp-like pain in hands,1.0,1
glandular swellings,tearing pain in back,1.0,1
glandular swellings,rheumatic pains worse in wet weather,1.0,1
glandular swellings,stinging pain in elbows,1.0,1
glandular swellings,sore throat,1.0,1
glandular swellings,wandering pains,1.0,1
glandular swellings,aching in heels,1.0,1
glandular swellings,general soreness,1.0,1
rheumatic pains worse in wet weather,cramp-like pain in hands,1.0,1
rheumatic pains worse in wet weather,tearing pain in back,1.0,1
rheumatic pains worse in wet weather,stinging pain in elbows,1.0,1
rheumatic pains worse in wet weather,sore throat,1.0,1
rheumatic pains worse in wet weather,glandular swellings,1.0,1
rheumatic pains worse in wet weather,wandering pains,1.0,1
rheumatic pains worse in wet weather,aching in heels,1.0,1
