### Cluster 44 — Symptoms (44)
Symptom,Frequency
loss of consciousness,2
cramps in neck muscles,1
shoulder stitches prevent motion,1
rheumatism following epileptic convulsion,1
frequent jerking in fingers,1
prostration after attack,1
tetanic stiffness,2
pain on inner surface of scapula,1
frequent twitching of muscles,1
jerking with numbness of limbs,2
stupid,1
arthritic pain in nape,1
lower limb pain worse at night,1
fearful distortions of limbs,1
rheumatism following concussion,1
muscles of neck become hard,1
sensation of stiffness of limbs,1
bruised pain on right scapula,1
difficulty turning head back after turning,1
muscles of neck contract,1
numbness of fingers,1
swelling in left knee,1
great weakness of legs after slight exercise,2
trembling of hand,1
frequent stitches in arm,1
bruised sensation in forearms,1
frequent involuntary jerking of muscles,1
tearing jerking in coccyx,2
ending pain down to feet,1
epileptiform convulsions,1
frequent jerking in arm,1
excitable,1
tension in neck muscles,1
drawing pain in calves,1
sensation of heaviness of arms,1
back bent backward like an arch,1
violent stitches in shoulder,2
nape pain draws head backward,1
ending pain in anterior lower limb muscles,1
trembling of legs,1
frequent stitches in fingers,1
great weakness of arms after slight exercise,2
great weakness after attack,2
creeping in hands,1

### Top Remedies
Remedy,Symptoms_Covered
cicuta virosa,44
actea spicata,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
frequent involuntary jerking of muscles,cramps in neck muscles,1.0,1
frequent involuntary jerking of muscles,shoulder stitches prevent motion,1.0,1
frequent involuntary jerking of muscles,rheumatism following epileptic convulsion,1.0,1
frequent involuntary jerking of muscles,frequent jerking in fingers,1.0,1
frequent involuntary jerking of muscles,prostration after attack,1.0,1
frequent involuntary jerking of muscles,tetanic stiffness,1.0,1
frequent involuntary jerking of muscles,pain on inner surface of scapula,1.0,1
frequent involuntary jerking of muscles,frequent twitching of muscles,1.0,1
frequent involuntary jerking of muscles,jerking with numbness of limbs,1.0,1
frequent involuntary jerking of muscles,stupid,1.0,1
frequent involuntary jerking of muscles,arthritic pain in nape,1.0,1
frequent involuntary jerking of muscles,lower limb pain worse at night,1.0,1
frequent involuntary jerking of muscles,fearful distortions of limbs,1.0,1
frequent involuntary jerking of muscles,rheumatism following concussion,1.0,1
frequent involuntary jerking of muscles,muscles of neck become hard,1.0,1
frequent involuntary jerking of muscles,sensation of stiffness of limbs,1.0,1
frequent involuntary jerking of muscles,bruised pain on right scapula,1.0,1
frequent involuntary jerking of muscles,difficulty turning head back after turning,1.0,1
frequent involuntary jerking of muscles,muscles of neck contract,1.0,1
frequent involuntary jerking of muscles,numbness of fingers,1.0,1
frequent involuntary jerking of muscles,swelling in left knee,1.0,1
frequent involuntary jerking of muscles,great weakness of legs after slight exercise,1.0,1
frequent involuntary jerking of muscles,trembling of hand,1.0,1
frequent involuntary jerking of muscles,frequent stitches in arm,1.0,1
frequent involuntary jerking of muscles,bruised sensation in forearms,1.0,1
frequent involuntary jerking of muscles,tearing jerking in coccyx,1.0,1
frequent involuntary jerking of muscles,ending pain down to feet,1.0,1
frequent involuntary jerking of muscles,epileptiform convulsions,1.0,1
frequent involuntary jerking of muscles,frequent jerking in arm,1.0,1
frequent involuntary jerking of muscles,excitable,1.0,1
frequent involuntary jerking of muscles,tension in neck muscles,1.0,1
frequent involuntary jerking of muscles,drawing pain in calves,1.0,1
frequent involuntary jerking of muscles,sensation of heaviness of arms,1.0,1
frequent involuntary jerking of muscles,loss of consciousness,1.0,1
frequent involuntary jerking of muscles,back bent backward like an arch,1.0,1
frequent involuntary jerking of muscles,violent stitches in shoulder,1.0,1
frequent involuntary jerking of muscles,nape pain draws head backward,1.0,1
frequent involuntary jerking of muscles,ending pain in anterior lower limb muscles,1.0,1
frequent involuntary jerking of muscles,trembling of legs,1.0,1
frequent involuntary jerking of muscles,frequent stitches in fingers,1.0,1
frequent involuntary jerking of muscles,great weakness of arms after slight exercise,1.0,1
frequent involuntary jerking of muscles,great weakness after attack,1.0,1
frequent involuntary jerking of muscles,creeping in hands,1.0,1
fearful distortions of limbs,cramps in neck muscles,1.0,1
fearful distortions of limbs,shoulder stitches prevent motion,1.0,1
fearful distortions of limbs,rheumatism following epileptic convulsion,1.0,1
fearful distortions of limbs,frequent jerking in fingers,1.0,1
fearful distortions of limbs,prostration after attack,1.0,1
fearful distortions of limbs,tetanic stiffness,1.0,1
fearful distortions of limbs,pain on inner surface of scapula,1.0,1
fearful distortions of limbs,frequent twitching of muscles,1.0,1
fearful distortions of limbs,jerking with numbness of limbs,1.0,1
fearful distortions of limbs,stupid,1.0,1
fearful distortions of limbs,arthritic pain in nape,1.0,1
fearful distortions of limbs,lower limb pain worse at night,1.0,1
fearful distortions of limbs,rheumatism following concussion,1.0,1
fearful distortions of limbs,muscles of neck become hard,1.0,1
fearful distortions of limbs,sensation of stiffness of limbs,1.0,1
fearful distortions of limbs,bruised pain on right scapula,1.0,1
fearful distortions of limbs,difficulty turning head back after turning,1.0,1
fearful distortions of limbs,muscles of neck contract,1.0,1
fearful distortions of limbs,numbness of fingers,1.0,1
fearful distortions of limbs,swelling in left knee,1.0,1
fearful distortions of limbs,great weakness of legs after slight exercise,1.0,1
fearful distortions of limbs,trembling of hand,1.0,1
fearful distortions of limbs,frequent stitches in arm,1.0,1
fearful distortions of limbs,bruised sensation in forearms,1.0,1
fearful distortions of limbs,frequent involuntary jerking of muscles,1.0,1
fearful distortions of limbs,tearing jerking in coccyx,1.0,1
fearful distortions of limbs,ending pain down to feet,1.0,1
fearful distortions of limbs,epileptiform convulsions,1.0,1
fearful distortions of limbs,frequent jerking in arm,1.0,1
fearful distortions of limbs,excitable,1.0,1
