### Cluster 3 — Symptoms (28)
Symptom,Frequency
aching,1
dull aching,1
sharp shooting pains in inner side of forearm,1
syphilis,1
itching on exposure to cold air,1
sycotic origin,1
pulsating,1
aching pains in right leg,1
pains in right elbow,1
sharp shooting pains from middle third of humerus to fingers,1
much pain,1
sharp shooting pains in upper third of forearm,1
sharp shooting pains in both arms,1
mercurialization,1
extending across the face,1
periosteal affections of the malar bones,1
affections of the larynx,1
very large rheumatic node on the olecranon,1
distressing aching in long bones,1
itching of the skin on extremities,1
distressing aching with nodes,1
hoarseness,1
pains in left lower anterior third of leg,1
gonorrheal origin,1
much soreness,1
pains in right leg,1
periostitis with rheumatic nodes on tibia,1
chronic periosteal rheumatic states,1

### Top Remedies
Remedy,Symptoms_Covered
stillingia,28

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
dull aching,aching,1.0,1
dull aching,sharp shooting pains in inner side of forearm,1.0,1
dull aching,syphilis,1.0,1
dull aching,itching on exposure to cold air,1.0,1
dull aching,sycotic origin,1.0,1
dull aching,pulsating,1.0,1
dull aching,aching pains in right leg,1.0,1
dull aching,pains in right elbow,1.0,1
dull aching,sharp shooting pains from middle third of humerus to fingers,1.0,1
dull aching,much pain,1.0,1
dull aching,sharp shooting pains in upper third of forearm,1.0,1
dull aching,sharp shooting pains in both arms,1.0,1
dull aching,mercurialization,1.0,1
dull aching,extending across the face,1.0,1
dull aching,periosteal affections of the malar bones,1.0,1
dull aching,affections of the larynx,1.0,1
dull aching,very large rheumatic node on the olecranon,1.0,1
dull aching,distressing aching in long bones,1.0,1
dull aching,itching of the skin on extremities,1.0,1
dull aching,distressing aching with nodes,1.0,1
dull aching,hoarseness,1.0,1
dull aching,pains in left lower anterior third of leg,1.0,1
dull aching,gonorrheal origin,1.0,1
dull aching,much soreness,1.0,1
dull aching,pains in right leg,1.0,1
dull aching,periostitis with rheumatic nodes on tibia,1.0,1
dull aching,chronic periosteal rheumatic states,1.0,1
gonorrheal origin,aching,1.0,1
gonorrheal origin,dull aching,1.0,1
gonorrheal origin,sharp shooting pains in inner side of forearm,1.0,1
gonorrheal origin,syphilis,1.0,1
gonorrheal origin,itching on exposure to cold air,1.0,1
gonorrheal origin,sycotic origin,1.0,1
gonorrheal origin,pulsating,1.0,1
gonorrheal origin,aching pains in right leg,1.0,1
gonorrheal origin,pains in right elbow,1.0,1
gonorrheal origin,sharp shooting pains from middle third of humerus to fingers,1.0,1
gonorrheal origin,much pain,1.0,1
gonorrheal origin,sharp shooting pains in upper third of forearm,1.0,1
gonorrheal origin,sharp shooting pains in both arms,1.0,1
gonorrheal origin,mercurialization,1.0,1
gonorrheal origin,extending across the face,1.0,1
gonorrheal origin,periosteal affections of the malar bones,1.0,1
gonorrheal origin,affections of the larynx,1.0,1
gonorrheal origin,very large rheumatic node on the olecranon,1.0,1
gonorrheal origin,distressing aching in long bones,1.0,1
gonorrheal origin,itching of the skin on extremities,1.0,1
gonorrheal origin,distressing aching with nodes,1.0,1
gonorrheal origin,hoarseness,1.0,1
gonorrheal origin,pains in left lower anterior third of leg,1.0,1
gonorrheal origin,much soreness,1.0,1
gonorrheal origin,pains in right leg,1.0,1
gonorrheal origin,periostitis with rheumatic nodes on tibia,1.0,1
gonorrheal origin,chronic periosteal rheumatic states,1.0,1
pains in left lower anterior third of leg,aching,1.0,1
pains in left lower anterior third of leg,dull aching,1.0,1
pains in left lower anterior third of leg,sharp shooting pains in inner side of forearm,1.0,1
pains in left lower anterior third of leg,syphilis,1.0,1
pains in left lower anterior third of leg,itching on exposure to cold air,1.0,1
pains in left lower anterior third of leg,sycotic origin,1.0,1
pains in left lower anterior third of leg,pulsating,1.0,1
pains in left lower anterior third of leg,aching pains in right leg,1.0,1
pains in left lower anterior third of leg,pains in right elbow,1.0,1
pains in left lower anterior third of leg,sharp shooting pains from middle third of humerus to fingers,1.0,1
pains in left lower anterior third of leg,much pain,1.0,1
pains in left lower anterior third of leg,sharp shooting pains in upper third of forearm,1.0,1
pains in left lower anterior third of leg,sharp shooting pains in both arms,1.0,1
pains in left lower anterior third of leg,mercurialization,1.0,1
pains in left lower anterior third of leg,extending across the face,1.0,1
pains in left lower anterior third of leg,periosteal affections of the malar bones,1.0,1
pains in left lower anterior third of leg,affections of the larynx,1.0,1
pains in left lower anterior third of leg,very large rheumatic node on the olecranon,1.0,1
pains in left lower anterior third of leg,distressing aching in long bones,1.0,1
pains in left lower anterior third of leg,itching of the skin on extremities,1.0,1
pains in left lower anterior third of leg,distressing aching with nodes,1.0,1
pains in left lower anterior third of leg,hoarseness,1.0,1
pains in left lower anterior third of leg,gonorrheal origin,1.0,1
pains in left lower anterior third of leg,much soreness,1.0,1
pains in left lower anterior third of leg,pains in right leg,1.0,1
pains in left lower anterior third of leg,periostitis with rheumatic nodes on tibia,1.0,1
pains in left lower anterior third of leg,chronic periosteal rheumatic states,1.0,1
extending across the face,aching,1.0,1
extending across the face,dull aching,1.0,1
extending across the face,sharp shooting pains in inner side of forearm,1.0,1
extending across the face,syphilis,1.0,1
extending across the face,itching on exposure to cold air,1.0,1
extending across the face,sycotic origin,1.0,1
extending across the face,pulsating,1.0,1
extending across the face,aching pains in right leg,1.0,1
extending across the face,pains in right elbow,1.0,1
extending across the face,sharp shooting pains from middle third of humerus to fingers,1.0,1
extending across the face,much pain,1.0,1
extending across the face,sharp shooting pains in upper third of forearm,1.0,1
extending across the face,sharp shooting pains in both arms,1.0,1
extending across the face,mercurialization,1.0,1
extending across the face,periosteal affections of the malar bones,1.0,1
extending across the face,affections of the larynx,1.0,1
extending across the face,very large rheumatic node on the olecranon,1.0,1
extending across the face,distressing aching in long bones,1.0,1
extending across the face,itching of the skin on extremities,1.0,1
extending across the face,distressing aching with nodes,1.0,1
extending across the face,hoarseness,1.0,1
extending across the face,pains in left lower anterior third of leg,1.0,1
extending across the face,gonorrheal origin,1.0,1
extending across the face,much soreness,1.0,1
extending across the face,pains in right leg,1.0,1
extending across the face,periostitis with rheumatic nodes on tibia,1.0,1
extending across the face,chronic periosteal rheumatic states,1.0,1
distressing aching with nodes,aching,1.0,1
distressing aching with nodes,dull aching,1.0,1
distressing aching with nodes,sharp shooting pains in inner side of forearm,1.0,1
distressing aching with nodes,syphilis,1.0,1
distressing aching with nodes,itching on exposure to cold air,1.0,1
distressing aching with nodes,sycotic origin,1.0,1
distressing aching with nodes,pulsating,1.0,1
distressing aching with nodes,aching pains in right leg,1.0,1
distressing aching with nodes,pains in right elbow,1.0,1
distressing aching with nodes,sharp shooting pains from middle third of humerus to fingers,1.0,1
distressing aching with nodes,much pain,1.0,1
distressing aching with nodes,sharp shooting pains in upper third of forearm,1.0,1
distressing aching with nodes,sharp shooting pains in both arms,1.0,1
distressing aching with nodes,mercurialization,1.0,1
