### Cluster 42 — Symptoms (43)
Symptom,Frequency
rheumatism of ankles with complete loss of power,1
stitching pain at apex comes and goes quickly,1
lack of power in legs,1
rheumatic pains in calves,1
aching as if in bones all night preventing sleep,1
cold yet throws off covers and wants to be fanned,1
pains in crural and sciatic nerves of left side,1
contractive pains across scapulae passing down spine,1
rheumatism of wrists with complete loss of power,1
marked by much disturbance and irritability of the nervous system,1
lameness and stiffness of larger joints,1
lame back lumbar and sacral extending down legs,1
intense pain in heart radiating to different parts of left chest,1
cracking in joints especially elbows,1
pains shooting when sitting still,1
shooting pains in left wrist,1
easily startled at the least sound,1
aching pain in legs with inability to keep still in bed,1
right knee painful red and swollen,1
chronic rheumatic pains in cold damp weather,1
sensation as if left hand were swollen,1
produces tension involuntary tension,1
nerves quiver tingle tremble and cause spasms,1
dull pain in heart and left arm,1
drawing pain in sternomastoid muscle drawing chin firmly down to chest,1
pains are intolerable tensive shooting neuralgic,1
rheumatic pains here and there,1
sensation as if flexor muscles were too short,1
drawing in cords of neck causing desire to throw head back,1
drawing under knees and in ankles,1
rheumatic pains in extremities of extreme severity,1
tenderness and stiffness of muscles of back extending whole length,1
swelling and inflammation of right great toe,1
aching in hips and knee joints making walking difficult,1
pain in neck and between scapulae running to either shoulder to lumbar region,1
agonizing pains across and through both shoulders,1
nerves are easily shocked,1
drawing shoulders back tightly as if bones would be crushed,1
acute pains in tendo achillis,1
cramping pains in first and second fingers of right hand,1
restlessness better by clutching the hands very tightly,1
tension in lumbar region extending down posterior thighs,1
soreness of ball of foot under the toes,1

### Top Remedies
Remedy,Symptoms_Covered
medorrhinum,43

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
soreness of ball of foot under the toes,rheumatism of ankles with complete loss of power,1.0,1
soreness of ball of foot under the toes,stitching pain at apex comes and goes quickly,1.0,1
soreness of ball of foot under the toes,lack of power in legs,1.0,1
soreness of ball of foot under the toes,rheumatic pains in calves,1.0,1
soreness of ball of foot under the toes,aching as if in bones all night preventing sleep,1.0,1
soreness of ball of foot under the toes,cold yet throws off covers and wants to be fanned,1.0,1
soreness of ball of foot under the toes,pains in crural and sciatic nerves of left side,1.0,1
soreness of ball of foot under the toes,contractive pains across scapulae passing down spine,1.0,1
soreness of ball of foot under the toes,rheumatism of wrists with complete loss of power,1.0,1
soreness of ball of foot under the toes,marked by much disturbance and irritability of the nervous system,1.0,1
soreness of ball of foot under the toes,lameness and stiffness of larger joints,1.0,1
soreness of ball of foot under the toes,lame back lumbar and sacral extending down legs,1.0,1
soreness of ball of foot under the toes,intense pain in heart radiating to different parts of left chest,1.0,1
soreness of ball of foot under the toes,cracking in joints especially elbows,1.0,1
soreness of ball of foot under the toes,pains shooting when sitting still,1.0,1
soreness of ball of foot under the toes,shooting pains in left wrist,1.0,1
soreness of ball of foot under the toes,easily startled at the least sound,1.0,1
soreness of ball of foot under the toes,aching pain in legs with inability to keep still in bed,1.0,1
soreness of ball of foot under the toes,right knee painful red and swollen,1.0,1
soreness of ball of foot under the toes,chronic rheumatic pains in cold damp weather,1.0,1
soreness of ball of foot under the toes,sensation as if left hand were swollen,1.0,1
soreness of ball of foot under the toes,produces tension involuntary tension,1.0,1
soreness of ball of foot under the toes,nerves quiver tingle tremble and cause spasms,1.0,1
soreness of ball of foot under the toes,dull pain in heart and left arm,1.0,1
