### Cluster 91 — Symptoms (54)
Symptom,Frequency
redness,1
sharp darting pains in shoulder,1
darting pains in arms,1
sharp lancinating pains in shoulder,1
heat of joints,1
darting pains in toes,1
dry hacking cough,1
rheumatism in right shoulder joint,1
raising the patella,1
tickle left side of trachea,1
stiffness of feet,1
nose stuffed up,1
sharp darting pains in fingers,1
sharp lancinating pains in fingers,1
sharp darting pains involving every joint,1
cannot put on coat,1
rheumatism of large joints,1
rheumatism of joints with large amount of serous fluid,1
rheumatic inflammation of right ankle joint,1
great anxiety about the heart,1
rheumatism in deltoid,1
much swelling about knee joint,1
pains dull,1
darting pains in fingers,1
powerless if attempts to move,1
alternates with characteristic cough,1
improved during day,1
constant pain,1
sharp lancinating pains in elbow,1
hands swollen,1
severe rheumatic inflammation of knee joint,1
sharp lancinating pains involving every joint,1
restless nights,1
darting pains in joints,1
swollen,1
sudden pain through chest to spinal column,1
circumscribed redness of joints,1
worse during day,1
strange sensation as if floating in the air,1
wrists swollen,1
stiffness of hands,1
pains heavy,1
soreness to touch,1
darting pains in thighs,1
sharp darting pains in knee joints,1
sharp lancinating pains in knee joints,1
much effusion into joints,1
very painful,1
excessive dryness of soft palate,1
redness followed by effusion,1
rheumatism in triceps,1
sharp darting pains in elbow,1
rheumatism of wrist joints,1
extending to forearm,1

### Top Remedies
Remedy,Symptoms_Covered
sticta pulmonaria,54

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
stiffness of feet,redness,1.0,1
stiffness of feet,sharp darting pains in shoulder,1.0,1
stiffness of feet,darting pains in arms,1.0,1
stiffness of feet,sharp lancinating pains in shoulder,1.0,1
stiffness of feet,heat of joints,1.0,1
stiffness of feet,darting pains in toes,1.0,1
stiffness of feet,dry hacking cough,1.0,1
stiffness of feet,rheumatism in right shoulder joint,1.0,1
stiffness of feet,raising the patella,1.0,1
stiffness of feet,tickle left side of trachea,1.0,1
stiffness of feet,nose stuffed up,1.0,1
stiffness of feet,sharp darting pains in fingers,1.0,1
stiffness of feet,sharp lancinating pains in fingers,1.0,1
stiffness of feet,sharp darting pains involving every joint,1.0,1
stiffness of feet,cannot put on coat,1.0,1
stiffness of feet,rheumatism of large joints,1.0,1
stiffness of feet,rheumatism of joints with large amount of serous fluid,1.0,1
stiffness of feet,rheumatic inflammation of right ankle joint,1.0,1
stiffness of feet,great anxiety about the heart,1.0,1
stiffness of feet,rheumatism in deltoid,1.0,1
stiffness of feet,much swelling about knee joint,1.0,1
stiffness of feet,pains dull,1.0,1
stiffness of feet,darting pains in fingers,1.0,1
stiffness of feet,powerless if attempts to move,1.0,1
stiffness of feet,alternates with characteristic cough,1.0,1
stiffness of feet,improved during day,1.0,1
stiffness of feet,constant pain,1.0,1
stiffness of feet,sharp lancinating pains in elbow,1.0,1
stiffness of feet,hands swollen,1.0,1
stiffness of feet,severe rheumatic inflammation of knee joint,1.0,1
stiffness of feet,sharp lancinating pains involving every joint,1.0,1
stiffness of feet,restless nights,1.0,1
stiffness of feet,darting pains in joints,1.0,1
stiffness of feet,swollen,1.0,1
stiffness of feet,sudden pain through chest to spinal column,1.0,1
stiffness of feet,circumscribed redness of joints,1.0,1
stiffness of feet,worse during day,1.0,1
stiffness of feet,strange sensation as if floating in the air,1.0,1
stiffness of feet,wrists swollen,1.0,1
stiffness of feet,stiffness of hands,1.0,1
stiffness of feet,pains heavy,1.0,1
stiffness of feet,soreness to touch,1.0,1
stiffness of feet,darting pains in thighs,1.0,1
stiffness of feet,sharp darting pains in knee joints,1.0,1
stiffness of feet,sharp lancinating pains in knee joints,1.0,1
stiffness of feet,much effusion into joints,1.0,1
stiffness of feet,very painful,1.0,1
stiffness of feet,excessive dryness of soft palate,1.0,1
stiffness of feet,redness followed by effusion,1.0,1
stiffness of feet,rheumatism in triceps,1.0,1
stiffness of feet,sharp darting pains in elbow,1.0,1
