### Cluster 19 — Symptoms (39)
Symptom,Frequency
parts better by hard pressure,1
pain in sides of chest as if bruised,1
small of back pain as from heavy load,1
aching in shoulder,1
small of back pain as after long stooping,1
drawing pain on side of spine,1
shooting pains in nape of neck,1
patients who lost normal body fluids,1
drawing pain in nape,1
pain in right knee up to thigh,1
compatible with calc. phos.,1
sensitiveness of spine to touch,1
hard red swelling of joints,3
paralytic tearing pains in arm bones,2
other hand warm,1
eye becomes inflamed,1
shoulder pain worse from least pressure,1
pressure as from stone between scapulae,1
lame drawing in small of back,2
small of back pain like a cramp,1
violent pain in eye daily 8-9 a.m.,1
intense wave-like pain,2
sensation in thigh bone as if periosteum scraped,1
parts affected sensitive to touch,1
aching in scapulae,1
remittent fever,1
limbs feel as if after long walk,1
complementary to ferrum,1
stitches in left side of back,1
small of back pain worse from motion,1
unendurable pain in small of back,1
rheumatic pain in face muscles,1
tensive pain in small of back,1
intermittent fever,1
eye symptoms disappear at noon,1
headache from draft of air,1
one hand cold,1
darting tearing pain in limbs,2
compatible with ferrum,1

### Top Remedies
Remedy,Symptoms_Covered
cinchona officinalis,39

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
small of back pain as from heavy load,parts better by hard pressure,1.0,1
small of back pain as from heavy load,pain in sides of chest as if bruised,1.0,1
small of back pain as from heavy load,aching in shoulder,1.0,1
small of back pain as from heavy load,small of back pain as after long stooping,1.0,1
small of back pain as from heavy load,drawing pain on side of spine,1.0,1
small of back pain as from heavy load,shooting pains in nape of neck,1.0,1
small of back pain as from heavy load,patients who lost normal body fluids,1.0,1
small of back pain as from heavy load,drawing pain in nape,1.0,1
small of back pain as from heavy load,pain in right knee up to thigh,1.0,1
small of back pain as from heavy load,compatible with calc. phos.,1.0,1
small of back pain as from heavy load,sensitiveness of spine to touch,1.0,1
small of back pain as from heavy load,hard red swelling of joints,1.0,1
small of back pain as from heavy load,paralytic tearing pains in arm bones,1.0,1
small of back pain as from heavy load,other hand warm,1.0,1
small of back pain as from heavy load,eye becomes inflamed,1.0,1
small of back pain as from heavy load,shoulder pain worse from least pressure,1.0,1
small of back pain as from heavy load,pressure as from stone between scapulae,1.0,1
small of back pain as from heavy load,lame drawing in small of back,1.0,1
small of back pain as from heavy load,small of back pain like a cramp,1.0,1
small of back pain as from heavy load,violent pain in eye daily 8-9 a.m.,1.0,1
small of back pain as from heavy load,intense wave-like pain,1.0,1
small of back pain as from heavy load,sensation in thigh bone as if periosteum scraped,1.0,1
small of back pain as from heavy load,parts affected sensitive to touch,1.0,1
small of back pain as from heavy load,aching in scapulae,1.0,1
small of back pain as from heavy load,remittent fever,1.0,1
small of back pain as from heavy load,limbs feel as if after long walk,1.0,1
small of back pain as from heavy load,complementary to ferrum,1.0,1
small of back pain as from heavy load,stitches in left side of back,1.0,1
small of back pain as from heavy load,small of back pain worse from motion,1.0,1
small of back pain as from heavy load,unendurable pain in small of back,1.0,1
small of back pain as from heavy load,rheumatic pain in face muscles,1.0,1
small of back pain as from heavy load,tensive pain in small of back,1.0,1
small of back pain as from heavy load,intermittent fever,1.0,1
small of back pain as from heavy load,eye symptoms disappear at noon,1.0,1
small of back pain as from heavy load,headache from draft of air,1.0,1
small of back pain as from heavy load,one hand cold,1.0,1
small of back pain as from heavy load,darting tearing pain in limbs,1.0,1
small of back pain as from heavy load,compatible with ferrum,1.0,1
compatible with calc. phos.,parts better by hard pressure,1.0,1
compatible with calc. phos.,pain in sides of chest as if bruised,1.0,1
compatible with calc. phos.,small of back pain as from heavy load,1.0,1
compatible with calc. phos.,aching in shoulder,1.0,1
compatible with calc. phos.,small of back pain as after long stooping,1.0,1
compatible with calc. phos.,drawing pain on side of spine,1.0,1
compatible with calc. phos.,shooting pains in nape of neck,1.0,1
compatible with calc. phos.,patients who lost normal body fluids,1.0,1
compatible with calc. phos.,drawing pain in nape,1.0,1
compatible with calc. phos.,pain in right knee up to thigh,1.0,1
compatible with calc. phos.,sensitiveness of spine to touch,1.0,1
compatible with calc. phos.,hard red swelling of joints,1.0,1
compatible with calc. phos.,paralytic tearing pains in arm bones,1.0,1
compatible with calc. phos.,other hand warm,1.0,1
compatible with calc. phos.,eye becomes inflamed,1.0,1
compatible with calc. phos.,shoulder pain worse from least pressure,1.0,1
compatible with calc. phos.,pressure as from stone between scapulae,1.0,1
compatible with calc. phos.,lame drawing in small of back,1.0,1
compatible with calc. phos.,small of back pain like a cramp,1.0,1
compatible with calc. phos.,violent pain in eye daily 8-9 a.m.,1.0,1
compatible with calc. phos.,intense wave-like pain,1.0,1
compatible with calc. phos.,sensation in thigh bone as if periosteum scraped,1.0,1
compatible with calc. phos.,parts affected sensitive to touch,1.0,1
compatible with calc. phos.,aching in scapulae,1.0,1
compatible with calc. phos.,remittent fever,1.0,1
compatible with calc. phos.,limbs feel as if after long walk,1.0,1
compatible with calc. phos.,complementary to ferrum,1.0,1
compatible with calc. phos.,stitches in left side of back,1.0,1
compatible with calc. phos.,small of back pain worse from motion,1.0,1
compatible with calc. phos.,unendurable pain in small of back,1.0,1
compatible with calc. phos.,rheumatic pain in face muscles,1.0,1
compatible with calc. phos.,tensive pain in small of back,1.0,1
compatible with calc. phos.,intermittent fever,1.0,1
compatible with calc. phos.,eye symptoms disappear at noon,1.0,1
compatible with calc. phos.,headache from draft of air,1.0,1
compatible with calc. phos.,one hand cold,1.0,1
