### Cluster 56 — Symptoms (39)
Symptom,Frequency
stitches in patella,1
deep-seated gnawing pains in bones and tendons of legs,1
drawing pains in arms and hands,1
neuralgic pains especially back,1
stiff neck,1
stinging pains in swollen finger joints,1
sticking as from splinters worse by touch,1
heart beat intermits every fourth beat,1
pains in back extending down thighs,1
rheumatic pains in left hand with a powerless feeling,1
pain across buttock causing limping,1
palpitation with anguish,1
contraction of joints,1
cracking in ankle when walking,1
after the abuse of mercury,2
bruised aching pain in right shoulder and arm,1
sticking pain,1
stitches in sacral region,1
can lie only on abdomen,1
cramp-like stiffness of back and body,1
diseases showing marked syphilitic or scrofulous states,1
drawing pain in all the limbs,1
nightly pains,1
painful in knees as if leg were swollen,1
rheumatic pains in forearms and fingers,1
redness and heat in ball of great toe,1
rheumatic and arthritic pains in hip joints,1
drawing pain in small of back,1
inflammation of periosteum,1
soreness of neck from least cold,1
syphilitic nodes on shin bones,1
syphilitic bone pains,1
tearing pains in bones of legs worse at night,1
rheumatic pains in limbs from taking cold,1
rheumatic pains in legs and feet,1
soreness along periosteum of tibia,1
nervous palpitation,2
tension and pressure pain in right hip,1
syphilitic rheumatism of arms and fingers,1

### Top Remedies
Remedy,Symptoms_Covered
nitric acid,39
magnesia phosphorica,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
cracking in ankle when walking,stitches in patella,1.0,1
cracking in ankle when walking,deep-seated gnawing pains in bones and tendons of legs,1.0,1
cracking in ankle when walking,drawing pains in arms and hands,1.0,1
cracking in ankle when walking,neuralgic pains especially back,1.0,1
cracking in ankle when walking,stiff neck,1.0,1
cracking in ankle when walking,stinging pains in swollen finger joints,1.0,1
cracking in ankle when walking,sticking as from splinters worse by touch,1.0,1
cracking in ankle when walking,heart beat intermits every fourth beat,1.0,1
cracking in ankle when walking,pains in back extending down thighs,1.0,1
cracking in ankle when walking,rheumatic pains in left hand with a powerless feeling,1.0,1
cracking in ankle when walking,pain across buttock causing limping,1.0,1
cracking in ankle when walking,palpitation with anguish,1.0,1
cracking in ankle when walking,contraction of joints,1.0,1
cracking in ankle when walking,after the abuse of mercury,1.0,1
cracking in ankle when walking,bruised aching pain in right shoulder and arm,1.0,1
cracking in ankle when walking,sticking pain,1.0,1
cracking in ankle when walking,stitches in sacral region,1.0,1
cracking in ankle when walking,can lie only on abdomen,1.0,1
cracking in ankle when walking,cramp-like stiffness of back and body,1.0,1
cracking in ankle when walking,diseases showing marked syphilitic or scrofulous states,1.0,1
cracking in ankle when walking,drawing pain in all the limbs,1.0,1
cracking in ankle when walking,nightly pains,1.0,1
cracking in ankle when walking,painful in knees as if leg were swollen,1.0,1
cracking in ankle when walking,rheumatic pains in forearms and fingers,1.0,1
cracking in ankle when walking,redness and heat in ball of great toe,1.0,1
cracking in ankle when walking,rheumatic and arthritic pains in hip joints,1.0,1
cracking in ankle when walking,drawing pain in small of back,1.0,1
cracking in ankle when walking,inflammation of periosteum,1.0,1
cracking in ankle when walking,soreness of neck from least cold,1.0,1
cracking in ankle when walking,syphilitic nodes on shin bones,1.0,1
cracking in ankle when walking,syphilitic bone pains,1.0,1
cracking in ankle when walking,tearing pains in bones of legs worse at night,1.0,1
cracking in ankle when walking,rheumatic pains in limbs from taking cold,1.0,1
cracking in ankle when walking,rheumatic pains in legs and feet,1.0,1
cracking in ankle when walking,soreness along periosteum of tibia,1.0,1
cracking in ankle when walking,nervous palpitation,1.0,1
cracking in ankle when walking,tension and pressure pain in right hip,1.0,1
cracking in ankle when walking,syphilitic rheumatism of arms and fingers,1.0,1
syphilitic rheumatism of arms and fingers,stitches in patella,1.0,1
syphilitic rheumatism of arms and fingers,deep-seated gnawing pains in bones and tendons of legs,1.0,1
syphilitic rheumatism of arms and fingers,drawing pains in arms and hands,1.0,1
syphilitic rheumatism of arms and fingers,neuralgic pains especially back,1.0,1
syphilitic rheumatism of arms and fingers,stiff neck,1.0,1
syphilitic rheumatism of arms and fingers,stinging pains in swollen finger joints,1.0,1
syphilitic rheumatism of arms and fingers,sticking as from splinters worse by touch,1.0,1
syphilitic rheumatism of arms and fingers,heart beat intermits every fourth beat,1.0,1
syphilitic rheumatism of arms and fingers,pains in back extending down thighs,1.0,1
syphilitic rheumatism of arms and fingers,rheumatic pains in left hand with a powerless feeling,1.0,1
syphilitic rheumatism of arms and fingers,pain across buttock causing limping,1.0,1
syphilitic rheumatism of arms and fingers,palpitation with anguish,1.0,1
syphilitic rheumatism of arms and fingers,contraction of joints,1.0,1
syphilitic rheumatism of arms and fingers,cracking in ankle when walking,1.0,1
syphilitic rheumatism of arms and fingers,after the abuse of mercury,1.0,1
syphilitic rheumatism of arms and fingers,bruised aching pain in right shoulder and arm,1.0,1
syphilitic rheumatism of arms and fingers,sticking pain,1.0,1
syphilitic rheumatism of arms and fingers,stitches in sacral region,1.0,1
syphilitic rheumatism of arms and fingers,can lie only on abdomen,1.0,1
syphilitic rheumatism of arms and fingers,cramp-like stiffness of back and body,1.0,1
syphilitic rheumatism of arms and fingers,diseases showing marked syphilitic or scrofulous states,1.0,1
syphilitic rheumatism of arms and fingers,drawing pain in all the limbs,1.0,1
syphilitic rheumatism of arms and fingers,nightly pains,1.0,1
syphilitic rheumatism of arms and fingers,painful in knees as if leg were swollen,1.0,1
syphilitic rheumatism of arms and fingers,rheumatic pains in forearms and fingers,1.0,1
syphilitic rheumatism of arms and fingers,redness and heat in ball of great toe,1.0,1
syphilitic rheumatism of arms and fingers,rheumatic and arthritic pains in hip joints,1.0,1
syphilitic rheumatism of arms and fingers,drawing pain in small of back,1.0,1
syphilitic rheumatism of arms and fingers,inflammation of periosteum,1.0,1
syphilitic rheumatism of arms and fingers,soreness of neck from least cold,1.0,1
syphilitic rheumatism of arms and fingers,syphilitic nodes on shin bones,1.0,1
syphilitic rheumatism of arms and fingers,syphilitic bone pains,1.0,1
syphilitic rheumatism of arms and fingers,tearing pains in bones of legs worse at night,1.0,1
syphilitic rheumatism of arms and fingers,rheumatic pains in limbs from taking cold,1.0,1
syphilitic rheumatism of arms and fingers,rheumatic pains in legs and feet,1.0,1
syphilitic rheumatism of arms and fingers,soreness along periosteum of tibia,1.0,1
