### Cluster 63 — Symptoms (19)
Symptom,Frequency
inability to think or to perform any mental labour,1
tendency to sprain the ankle,1
unsteady walk,1
hollow of knee painful on motion,1
muscles of cords of knee on tension,1
legs and feet very heavy,1
rheumatic pain of shoulder arms and elbows,1
drawing pains in elbow,1
pressing pain on shoulders,1
cracking of cervical vertebrae on moving head,1
exhaustion from mental exertion,1
sense of tension,1
pale face with blue rings about eyes,1
debility from any exertion,1
headaches from slightest mental exertion,1
jerking pains in lower limbs,1
backache after violent walking,1
rigidity and drawing in back,1
intolerable melancholy and apprehension,1

### Top Remedies
Remedy,Symptoms_Covered
natrum carbonicum,19

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
legs and feet very heavy,inability to think or to perform any mental labour,1.0,1
legs and feet very heavy,tendency to sprain the ankle,1.0,1
legs and feet very heavy,unsteady walk,1.0,1
legs and feet very heavy,hollow of knee painful on motion,1.0,1
legs and feet very heavy,muscles of cords of knee on tension,1.0,1
legs and feet very heavy,rheumatic pain of shoulder arms and elbows,1.0,1
legs and feet very heavy,drawing pains in elbow,1.0,1
legs and feet very heavy,pressing pain on shoulders,1.0,1
legs and feet very heavy,cracking of cervical vertebrae on moving head,1.0,1
legs and feet very heavy,exhaustion from mental exertion,1.0,1
legs and feet very heavy,sense of tension,1.0,1
legs and feet very heavy,pale face with blue rings about eyes,1.0,1
legs and feet very heavy,debility from any exertion,1.0,1
legs and feet very heavy,headaches from slightest mental exertion,1.0,1
legs and feet very heavy,jerking pains in lower limbs,1.0,1
legs and feet very heavy,backache after violent walking,1.0,1
legs and feet very heavy,rigidity and drawing in back,1.0,1
legs and feet very heavy,intolerable melancholy and apprehension,1.0,1
drawing pains in elbow,inability to think or to perform any mental labour,1.0,1
drawing pains in elbow,tendency to sprain the ankle,1.0,1
drawing pains in elbow,unsteady walk,1.0,1
drawing pains in elbow,hollow of knee painful on motion,1.0,1
drawing pains in elbow,muscles of cords of knee on tension,1.0,1
drawing pains in elbow,legs and feet very heavy,1.0,1
drawing pains in elbow,rheumatic pain of shoulder arms and elbows,1.0,1
