### Cluster 47 — Symptoms (19)
Symptom,Frequency
right wrist and left ankle weak,1
right big toe pains,1
rheumatic pains in finger joints,1
rheumatic aching in wrists,1
drawing pain in left deltoid mornings,1
rheumatic arthritis especially joints of fingers,1
contraction of extensor muscles of back of arm,1
gastric derangement with much acidity,1
crick in both sides of neck,1
yellow creamy coating in back part of mouth and soft palate,1
crepitation in synovial membranes,1
pain in knees ankles shins,1
pains about base of heart,1
pain in sacrolumbar articulation left side,1
hamstrings stiff on rising,1
pain in hollow and ball of foot,1
pressing spot causes pain down thighs to knee,1
sour eructations,1
drawing pains in inside of thighs,1

### Top Remedies
Remedy,Symptoms_Covered
natrum phosphoricum,19

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
sour eructations,right wrist and left ankle weak,1.0,1
sour eructations,right big toe pains,1.0,1
sour eructations,rheumatic pains in finger joints,1.0,1
sour eructations,rheumatic aching in wrists,1.0,1
sour eructations,drawing pain in left deltoid mornings,1.0,1
sour eructations,rheumatic arthritis especially joints of fingers,1.0,1
sour eructations,contraction of extensor muscles of back of arm,1.0,1
sour eructations,gastric derangement with much acidity,1.0,1
sour eructations,crick in both sides of neck,1.0,1
sour eructations,yellow creamy coating in back part of mouth and soft palate,1.0,1
sour eructations,crepitation in synovial membranes,1.0,1
sour eructations,pain in knees ankles shins,1.0,1
sour eructations,pains about base of heart,1.0,1
sour eructations,pain in sacrolumbar articulation left side,1.0,1
sour eructations,hamstrings stiff on rising,1.0,1
sour eructations,pain in hollow and ball of foot,1.0,1
sour eructations,pressing spot causes pain down thighs to knee,1.0,1
sour eructations,drawing pains in inside of thighs,1.0,1
right big toe pains,right wrist and left ankle weak,1.0,1
right big toe pains,rheumatic pains in finger joints,1.0,1
right big toe pains,rheumatic aching in wrists,1.0,1
right big toe pains,drawing pain in left deltoid mornings,1.0,1
right big toe pains,rheumatic arthritis especially joints of fingers,1.0,1
right big toe pains,contraction of extensor muscles of back of arm,1.0,1
right big toe pains,gastric derangement with much acidity,1.0,1
right big toe pains,crick in both sides of neck,1.0,1
right big toe pains,yellow creamy coating in back part of mouth and soft palate,1.0,1
right big toe pains,crepitation in synovial membranes,1.0,1
right big toe pains,pain in knees ankles shins,1.0,1
right big toe pains,pains about base of heart,1.0,1
right big toe pains,pain in sacrolumbar articulation left side,1.0,1
right big toe pains,hamstrings stiff on rising,1.0,1
right big toe pains,pain in hollow and ball of foot,1.0,1
right big toe pains,pressing spot causes pain down thighs to knee,1.0,1
right big toe pains,sour eructations,1.0,1
right big toe pains,drawing pains in inside of thighs,1.0,1
