### Cluster 80 — Symptoms (37)
Symptom,Frequency
dull steady pain above innominata to rectum,1
stitches from sacrum to loins,1
weary calves,1
cannot distinguish feces from flatus,1
heaviness in sacral region worse sitting,1
dull sticking under shoulder blades,1
hemorrhoids protrude like grapes,1
cracking in cervical vertebrae on motion,1
bruised pain in back as after stooping,1
heaviness in head,1
weak ankles,1
severe kidney pain,1
lumbago alternating with frontal headache,1
uncertain stool,1
weak joints with abdominal disturbances,1
fullness in back worse wet weather,1
protruding hemorrhoids,1
outward pressing pain in back,1
lumbago with lower bowel disturbances,1
weak wrist joint,1
pressive sensation in right kidney,1
throbbing in back worse wet weather,1
painful soles,1
pain in right wrist joint,1
pressing in sacral region worse sitting,1
sensation of plug between symphysis pubis and os coccyx,1
weariness of limbs,1
great toes feel sprained,1
differs from aesculus in hemorrhoid character,1
differs from aesculus in aggravations,1
warm feet,1
coccyx pain as if fallen on,1
creeping in sacrum to coccyx,1
heaviness in right arm,1
painful weariness of limbs,1
itching in back worse wet weather,1
drawing in right kidney,1

### Top Remedies
Remedy,Symptoms_Covered
aloes socotrina,37

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
heaviness in right arm,dull steady pain above innominata to rectum,1.0,1
heaviness in right arm,stitches from sacrum to loins,1.0,1
heaviness in right arm,weary calves,1.0,1
heaviness in right arm,cannot distinguish feces from flatus,1.0,1
heaviness in right arm,heaviness in sacral region worse sitting,1.0,1
heaviness in right arm,dull sticking under shoulder blades,1.0,1
heaviness in right arm,hemorrhoids protrude like grapes,1.0,1
heaviness in right arm,cracking in cervical vertebrae on motion,1.0,1
heaviness in right arm,bruised pain in back as after stooping,1.0,1
heaviness in right arm,heaviness in head,1.0,1
heaviness in right arm,weak ankles,1.0,1
heaviness in right arm,severe kidney pain,1.0,1
heaviness in right arm,lumbago alternating with frontal headache,1.0,1
heaviness in right arm,uncertain stool,1.0,1
heaviness in right arm,weak joints with abdominal disturbances,1.0,1
heaviness in right arm,fullness in back worse wet weather,1.0,1
heaviness in right arm,protruding hemorrhoids,1.0,1
heaviness in right arm,outward pressing pain in back,1.0,1
heaviness in right arm,lumbago with lower bowel disturbances,1.0,1
heaviness in right arm,weak wrist joint,1.0,1
heaviness in right arm,pressive sensation in right kidney,1.0,1
heaviness in right arm,throbbing in back worse wet weather,1.0,1
heaviness in right arm,painful soles,1.0,1
heaviness in right arm,pain in right wrist joint,1.0,1
heaviness in right arm,pressing in sacral region worse sitting,1.0,1
heaviness in right arm,sensation of plug between symphysis pubis and os coccyx,1.0,1
heaviness in right arm,weariness of limbs,1.0,1
heaviness in right arm,great toes feel sprained,1.0,1
heaviness in right arm,differs from aesculus in hemorrhoid character,1.0,1
heaviness in right arm,differs from aesculus in aggravations,1.0,1
heaviness in right arm,warm feet,1.0,1
heaviness in right arm,coccyx pain as if fallen on,1.0,1
heaviness in right arm,creeping in sacrum to coccyx,1.0,1
heaviness in right arm,painful weariness of limbs,1.0,1
heaviness in right arm,itching in back worse wet weather,1.0,1
heaviness in right arm,drawing in right kidney,1.0,1
cracking in cervical vertebrae on motion,dull steady pain above innominata to rectum,1.0,1
cracking in cervical vertebrae on motion,stitches from sacrum to loins,1.0,1
cracking in cervical vertebrae on motion,weary calves,1.0,1
cracking in cervical vertebrae on motion,cannot distinguish feces from flatus,1.0,1
cracking in cervical vertebrae on motion,heaviness in sacral region worse sitting,1.0,1
cracking in cervical vertebrae on motion,dull sticking under shoulder blades,1.0,1
cracking in cervical vertebrae on motion,hemorrhoids protrude like grapes,1.0,1
cracking in cervical vertebrae on motion,bruised pain in back as after stooping,1.0,1
cracking in cervical vertebrae on motion,heaviness in head,1.0,1
cracking in cervical vertebrae on motion,weak ankles,1.0,1
cracking in cervical vertebrae on motion,severe kidney pain,1.0,1
cracking in cervical vertebrae on motion,lumbago alternating with frontal headache,1.0,1
cracking in cervical vertebrae on motion,uncertain stool,1.0,1
cracking in cervical vertebrae on motion,weak joints with abdominal disturbances,1.0,1
cracking in cervical vertebrae on motion,fullness in back worse wet weather,1.0,1
cracking in cervical vertebrae on motion,protruding hemorrhoids,1.0,1
cracking in cervical vertebrae on motion,outward pressing pain in back,1.0,1
cracking in cervical vertebrae on motion,lumbago with lower bowel disturbances,1.0,1
cracking in cervical vertebrae on motion,weak wrist joint,1.0,1
cracking in cervical vertebrae on motion,pressive sensation in right kidney,1.0,1
cracking in cervical vertebrae on motion,throbbing in back worse wet weather,1.0,1
cracking in cervical vertebrae on motion,painful soles,1.0,1
cracking in cervical vertebrae on motion,pain in right wrist joint,1.0,1
cracking in cervical vertebrae on motion,pressing in sacral region worse sitting,1.0,1
cracking in cervical vertebrae on motion,sensation of plug between symphysis pubis and os coccyx,1.0,1
cracking in cervical vertebrae on motion,weariness of limbs,1.0,1
cracking in cervical vertebrae on motion,great toes feel sprained,1.0,1
cracking in cervical vertebrae on motion,differs from aesculus in hemorrhoid character,1.0,1
cracking in cervical vertebrae on motion,differs from aesculus in aggravations,1.0,1
cracking in cervical vertebrae on motion,warm feet,1.0,1
cracking in cervical vertebrae on motion,coccyx pain as if fallen on,1.0,1
cracking in cervical vertebrae on motion,creeping in sacrum to coccyx,1.0,1
cracking in cervical vertebrae on motion,heaviness in right arm,1.0,1
cracking in cervical vertebrae on motion,painful weariness of limbs,1.0,1
cracking in cervical vertebrae on motion,itching in back worse wet weather,1.0,1
cracking in cervical vertebrae on motion,drawing in right kidney,1.0,1
heaviness in head,dull steady pain above innominata to rectum,1.0,1
heaviness in head,stitches from sacrum to loins,1.0,1
heaviness in head,weary calves,1.0,1
heaviness in head,cannot distinguish feces from flatus,1.0,1
heaviness in head,heaviness in sacral region worse sitting,1.0,1
heaviness in head,dull sticking under shoulder blades,1.0,1
heaviness in head,hemorrhoids protrude like grapes,1.0,1
heaviness in head,cracking in cervical vertebrae on motion,1.0,1
heaviness in head,bruised pain in back as after stooping,1.0,1
heaviness in head,weak ankles,1.0,1
heaviness in head,severe kidney pain,1.0,1
heaviness in head,lumbago alternating with frontal headache,1.0,1
heaviness in head,uncertain stool,1.0,1
heaviness in head,weak joints with abdominal disturbances,1.0,1
heaviness in head,fullness in back worse wet weather,1.0,1
heaviness in head,protruding hemorrhoids,1.0,1
heaviness in head,outward pressing pain in back,1.0,1
heaviness in head,lumbago with lower bowel disturbances,1.0,1
heaviness in head,weak wrist joint,1.0,1
heaviness in head,pressive sensation in right kidney,1.0,1
heaviness in head,throbbing in back worse wet weather,1.0,1
heaviness in head,painful soles,1.0,1
heaviness in head,pain in right wrist joint,1.0,1
heaviness in head,pressing in sacral region worse sitting,1.0,1
