### Cluster 76 — Symptoms (29)
Symptom,Frequency
in boys during puberty,1
tension in elbow as if too short,1
stitching pain extending up from external malleolus,1
arthritis vaga causing one to groan and moan constantly,1
burning spots about joints,1
tearing in whole spinal column from above downward,1
jerking sticking pain above knee,1
cannot bear weight on heel,1
inflammation of articulating extremities of bones,1
twitching of muscles of legs from least motion,1
tensive drawing stitches in thigh,1
wandering shifting pains going from joint to joint,1
voice changing in boys,1
tensive pain in joints of arms and wrists,1
gnawing and boring in humerus as if in marrow of bone,1
stitching pain worse when walking,1
boring gnawing sensation in marrow of bone,1
inflammatory swelling of both malleoli with stitching pain,1
especially if associated with too early but scanty menstruation,1
red and shining swelling,1
rheumatic pains extending from shoulder to fingers,1
rheumatism shifting from joint to joint generally crosswise,1
worse touch or motion or at night,3
general anemia,1
tension and stiffness in legs,1
drawing and tension in limbs as from shortening of tendons,1
suitable for chronic rheumatism with anemia,1
sprained pain in shoulder joint,1
pain in small of back on bending backward,1

### Top Remedies
Remedy,Symptoms_Covered
manganum,29

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
boring gnawing sensation in marrow of bone,in boys during puberty,1.0,1
boring gnawing sensation in marrow of bone,tension in elbow as if too short,1.0,1
boring gnawing sensation in marrow of bone,stitching pain extending up from external malleolus,1.0,1
boring gnawing sensation in marrow of bone,arthritis vaga causing one to groan and moan constantly,1.0,1
boring gnawing sensation in marrow of bone,burning spots about joints,1.0,1
boring gnawing sensation in marrow of bone,tearing in whole spinal column from above downward,1.0,1
boring gnawing sensation in marrow of bone,jerking sticking pain above knee,1.0,1
boring gnawing sensation in marrow of bone,cannot bear weight on heel,1.0,1
boring gnawing sensation in marrow of bone,inflammation of articulating extremities of bones,1.0,1
boring gnawing sensation in marrow of bone,twitching of muscles of legs from least motion,1.0,1
boring gnawing sensation in marrow of bone,tensive drawing stitches in thigh,1.0,1
boring gnawing sensation in marrow of bone,wandering shifting pains going from joint to joint,1.0,1
boring gnawing sensation in marrow of bone,voice changing in boys,1.0,1
boring gnawing sensation in marrow of bone,tensive pain in joints of arms and wrists,1.0,1
boring gnawing sensation in marrow of bone,gnawing and boring in humerus as if in marrow of bone,1.0,1
boring gnawing sensation in marrow of bone,stitching pain worse when walking,1.0,1
boring gnawing sensation in marrow of bone,inflammatory swelling of both malleoli with stitching pain,1.0,1
boring gnawing sensation in marrow of bone,especially if associated with too early but scanty menstruation,1.0,1
boring gnawing sensation in marrow of bone,red and shining swelling,1.0,1
boring gnawing sensation in marrow of bone,rheumatic pains extending from shoulder to fingers,1.0,1
boring gnawing sensation in marrow of bone,rheumatism shifting from joint to joint generally crosswise,1.0,1
boring gnawing sensation in marrow of bone,worse touch or motion or at night,1.0,1
boring gnawing sensation in marrow of bone,general anemia,1.0,1
boring gnawing sensation in marrow of bone,tension and stiffness in legs,1.0,1
boring gnawing sensation in marrow of bone,drawing and tension in limbs as from shortening of tendons,1.0,1
boring gnawing sensation in marrow of bone,suitable for chronic rheumatism with anemia,1.0,1
boring gnawing sensation in marrow of bone,sprained pain in shoulder joint,1.0,1
boring gnawing sensation in marrow of bone,pain in small of back on bending backward,1.0,1
tension and stiffness in legs,in boys during puberty,1.0,1
tension and stiffness in legs,tension in elbow as if too short,1.0,1
tension and stiffness in legs,stitching pain extending up from external malleolus,1.0,1
tension and stiffness in legs,arthritis vaga causing one to groan and moan constantly,1.0,1
tension and stiffness in legs,burning spots about joints,1.0,1
tension and stiffness in legs,tearing in whole spinal column from above downward,1.0,1
tension and stiffness in legs,jerking sticking pain above knee,1.0,1
tension and stiffness in legs,cannot bear weight on heel,1.0,1
tension and stiffness in legs,inflammation of articulating extremities of bones,1.0,1
tension and stiffness in legs,twitching of muscles of legs from least motion,1.0,1
tension and stiffness in legs,tensive drawing stitches in thigh,1.0,1
tension and stiffness in legs,wandering shifting pains going from joint to joint,1.0,1
tension and stiffness in legs,voice changing in boys,1.0,1
tension and stiffness in legs,tensive pain in joints of arms and wrists,1.0,1
tension and stiffness in legs,gnawing and boring in humerus as if in marrow of bone,1.0,1
tension and stiffness in legs,stitching pain worse when walking,1.0,1
tension and stiffness in legs,boring gnawing sensation in marrow of bone,1.0,1
tension and stiffness in legs,inflammatory swelling of both malleoli with stitching pain,1.0,1
tension and stiffness in legs,especially if associated with too early but scanty menstruation,1.0,1
tension and stiffness in legs,red and shining swelling,1.0,1
tension and stiffness in legs,rheumatic pains extending from shoulder to fingers,1.0,1
tension and stiffness in legs,rheumatism shifting from joint to joint generally crosswise,1.0,1
tension and stiffness in legs,worse touch or motion or at night,1.0,1
tension and stiffness in legs,general anemia,1.0,1
tension and stiffness in legs,drawing and tension in limbs as from shortening of tendons,1.0,1
tension and stiffness in legs,suitable for chronic rheumatism with anemia,1.0,1
tension and stiffness in legs,sprained pain in shoulder joint,1.0,1
tension and stiffness in legs,pain in small of back on bending backward,1.0,1
voice changing in boys,in boys during puberty,1.0,1
voice changing in boys,tension in elbow as if too short,1.0,1
voice changing in boys,stitching pain extending up from external malleolus,1.0,1
voice changing in boys,arthritis vaga causing one to groan and moan constantly,1.0,1
voice changing in boys,burning spots about joints,1.0,1
voice changing in boys,tearing in whole spinal column from above downward,1.0,1
voice changing in boys,jerking sticking pain above knee,1.0,1
voice changing in boys,cannot bear weight on heel,1.0,1
voice changing in boys,inflammation of articulating extremities of bones,1.0,1
voice changing in boys,twitching of muscles of legs from least motion,1.0,1
voice changing in boys,tensive drawing stitches in thigh,1.0,1
voice changing in boys,wandering shifting pains going from joint to joint,1.0,1
voice changing in boys,tensive pain in joints of arms and wrists,1.0,1
voice changing in boys,gnawing and boring in humerus as if in marrow of bone,1.0,1
voice changing in boys,stitching pain worse when walking,1.0,1
voice changing in boys,boring gnawing sensation in marrow of bone,1.0,1
voice changing in boys,inflammatory swelling of both malleoli with stitching pain,1.0,1
voice changing in boys,especially if associated with too early but scanty menstruation,1.0,1
voice changing in boys,red and shining swelling,1.0,1
voice changing in boys,rheumatic pains extending from shoulder to fingers,1.0,1
voice changing in boys,rheumatism shifting from joint to joint generally crosswise,1.0,1
voice changing in boys,worse touch or motion or at night,1.0,1
voice changing in boys,general anemia,1.0,1
voice changing in boys,tension and stiffness in legs,1.0,1
voice changing in boys,drawing and tension in limbs as from shortening of tendons,1.0,1
voice changing in boys,suitable for chronic rheumatism with anemia,1.0,1
voice changing in boys,sprained pain in shoulder joint,1.0,1
voice changing in boys,pain in small of back on bending backward,1.0,1
rheumatism shifting from joint to joint generally crosswise,in boys during puberty,1.0,1
rheumatism shifting from joint to joint generally crosswise,tension in elbow as if too short,1.0,1
rheumatism shifting from joint to joint generally crosswise,stitching pain extending up from external malleolus,1.0,1
rheumatism shifting from joint to joint generally crosswise,arthritis vaga causing one to groan and moan constantly,1.0,1
rheumatism shifting from joint to joint generally crosswise,burning spots about joints,1.0,1
rheumatism shifting from joint to joint generally crosswise,tearing in whole spinal column from above downward,1.0,1
rheumatism shifting from joint to joint generally crosswise,jerking sticking pain above knee,1.0,1
rheumatism shifting from joint to joint generally crosswise,cannot bear weight on heel,1.0,1
rheumatism shifting from joint to joint generally crosswise,inflammation of articulating extremities of bones,1.0,1
rheumatism shifting from joint to joint generally crosswise,twitching of muscles of legs from least motion,1.0,1
rheumatism shifting from joint to joint generally crosswise,tensive drawing stitches in thigh,1.0,1
rheumatism shifting from joint to joint generally crosswise,wandering shifting pains going from joint to joint,1.0,1
rheumatism shifting from joint to joint generally crosswise,voice changing in boys,1.0,1
rheumatism shifting from joint to joint generally crosswise,tensive pain in joints of arms and wrists,1.0,1
rheumatism shifting from joint to joint generally crosswise,gnawing and boring in humerus as if in marrow of bone,1.0,1
rheumatism shifting from joint to joint generally crosswise,stitching pain worse when walking,1.0,1
rheumatism shifting from joint to joint generally crosswise,boring gnawing sensation in marrow of bone,1.0,1
rheumatism shifting from joint to joint generally crosswise,inflammatory swelling of both malleoli with stitching pain,1.0,1
rheumatism shifting from joint to joint generally crosswise,especially if associated with too early but scanty menstruation,1.0,1
rheumatism shifting from joint to joint generally crosswise,red and shining swelling,1.0,1
rheumatism shifting from joint to joint generally crosswise,rheumatic pains extending from shoulder to fingers,1.0,1
rheumatism shifting from joint to joint generally crosswise,worse touch or motion or at night,1.0,1
rheumatism shifting from joint to joint generally crosswise,general anemia,1.0,1
rheumatism shifting from joint to joint generally crosswise,tension and stiffness in legs,1.0,1
rheumatism shifting from joint to joint generally crosswise,drawing and tension in limbs as from shortening of tendons,1.0,1
rheumatism shifting from joint to joint generally crosswise,suitable for chronic rheumatism with anemia,1.0,1
rheumatism shifting from joint to joint generally crosswise,sprained pain in shoulder joint,1.0,1
rheumatism shifting from joint to joint generally crosswise,pain in small of back on bending backward,1.0,1
stitching pain extending up from external malleolus,in boys during puberty,1.0,1
stitching pain extending up from external malleolus,tension in elbow as if too short,1.0,1
stitching pain extending up from external malleolus,arthritis vaga causing one to groan and moan constantly,1.0,1
stitching pain extending up from external malleolus,burning spots about joints,1.0,1
stitching pain extending up from external malleolus,tearing in whole spinal column from above downward,1.0,1
stitching pain extending up from external malleolus,jerking sticking pain above knee,1.0,1
stitching pain extending up from external malleolus,cannot bear weight on heel,1.0,1
stitching pain extending up from external malleolus,inflammation of articulating extremities of bones,1.0,1
stitching pain extending up from external malleolus,twitching of muscles of legs from least motion,1.0,1
stitching pain extending up from external malleolus,tensive drawing stitches in thigh,1.0,1
stitching pain extending up from external malleolus,wandering shifting pains going from joint to joint,1.0,1
stitching pain extending up from external malleolus,voice changing in boys,1.0,1
stitching pain extending up from external malleolus,tensive pain in joints of arms and wrists,1.0,1
stitching pain extending up from external malleolus,gnawing and boring in humerus as if in marrow of bone,1.0,1
stitching pain extending up from external malleolus,stitching pain worse when walking,1.0,1
stitching pain extending up from external malleolus,boring gnawing sensation in marrow of bone,1.0,1
stitching pain extending up from external malleolus,inflammatory swelling of both malleoli with stitching pain,1.0,1
stitching pain extending up from external malleolus,especially if associated with too early but scanty menstruation,1.0,1
stitching pain extending up from external malleolus,red and shining swelling,1.0,1
stitching pain extending up from external malleolus,rheumatic pains extending from shoulder to fingers,1.0,1
stitching pain extending up from external malleolus,rheumatism shifting from joint to joint generally crosswise,1.0,1
stitching pain extending up from external malleolus,worse touch or motion or at night,1.0,1
stitching pain extending up from external malleolus,general anemia,1.0,1
stitching pain extending up from external malleolus,tension and stiffness in legs,1.0,1
stitching pain extending up from external malleolus,drawing and tension in limbs as from shortening of tendons,1.0,1
stitching pain extending up from external malleolus,suitable for chronic rheumatism with anemia,1.0,1
stitching pain extending up from external malleolus,sprained pain in shoulder joint,1.0,1
