### Cluster 12 — Symptoms (20)
Symptom,Frequency
stitching contractive pain in region of hip joint,1
coldness of abdomen,1
stinging pinching cramping pains,1
pain better by motion and pressure,2
dull boring stitches in left shoulder blade,1
warmth of rest of the body,1
legs spasmodically jerked upward when sitting,1
tension and paralytic tearing in arms hands and fingers,1
icy coldness of hands and feet,1
pain in back when sitting still,1
bruised pain worse stooping and walking,2
painful spasmodic jerking of lower limbs in gouty people,1
apprehension of evil,1
calcareous deposits in joints,1
stiffness in muscles of neck and throat,1
pain disappears on touching it,1
cramp-like pain in muscles of left forearm extending to palm of hand,1
muscular twitches in right upper arm,1
cramp-like pain in muscles of right leg,1
spasmodic stiffness of arms and fingers,1

### Top Remedies
Remedy,Symptoms_Covered
menyanthes trifoliata,20

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
coldness of abdomen,stitching contractive pain in region of hip joint,1.0,1
coldness of abdomen,stinging pinching cramping pains,1.0,1
coldness of abdomen,pain better by motion and pressure,1.0,1
coldness of abdomen,dull boring stitches in left shoulder blade,1.0,1
coldness of abdomen,warmth of rest of the body,1.0,1
coldness of abdomen,legs spasmodically jerked upward when sitting,1.0,1
coldness of abdomen,tension and paralytic tearing in arms hands and fingers,1.0,1
coldness of abdomen,icy coldness of hands and feet,1.0,1
coldness of abdomen,pain in back when sitting still,1.0,1
coldness of abdomen,bruised pain worse stooping and walking,1.0,1
coldness of abdomen,painful spasmodic jerking of lower limbs in gouty people,1.0,1
coldness of abdomen,apprehension of evil,1.0,1
coldness of abdomen,calcareous deposits in joints,1.0,1
coldness of abdomen,stiffness in muscles of neck and throat,1.0,1
coldness of abdomen,pain disappears on touching it,1.0,1
coldness of abdomen,cramp-like pain in muscles of left forearm extending to palm of hand,1.0,1
coldness of abdomen,muscular twitches in right upper arm,1.0,1
coldness of abdomen,cramp-like pain in muscles of right leg,1.0,1
coldness of abdomen,spasmodic stiffness of arms and fingers,1.0,1
pain better by motion and pressure,stitching contractive pain in region of hip joint,1.0,1
pain better by motion and pressure,coldness of abdomen,1.0,1
pain better by motion and pressure,stinging pinching cramping pains,1.0,1
pain better by motion and pressure,dull boring stitches in left shoulder blade,1.0,1
pain better by motion and pressure,warmth of rest of the body,1.0,1
pain better by motion and pressure,legs spasmodically jerked upward when sitting,1.0,1
pain better by motion and pressure,tension and paralytic tearing in arms hands and fingers,1.0,1
pain better by motion and pressure,icy coldness of hands and feet,1.0,1
pain better by motion and pressure,pain in back when sitting still,1.0,1
pain better by motion and pressure,bruised pain worse stooping and walking,1.0,1
pain better by motion and pressure,painful spasmodic jerking of lower limbs in gouty people,1.0,1
pain better by motion and pressure,apprehension of evil,1.0,1
pain better by motion and pressure,calcareous deposits in joints,1.0,1
pain better by motion and pressure,stiffness in muscles of neck and throat,1.0,1
pain better by motion and pressure,pain disappears on touching it,1.0,1
pain better by motion and pressure,cramp-like pain in muscles of left forearm extending to palm of hand,1.0,1
pain better by motion and pressure,muscular twitches in right upper arm,1.0,1
pain better by motion and pressure,cramp-like pain in muscles of right leg,1.0,1
pain better by motion and pressure,spasmodic stiffness of arms and fingers,1.0,1
legs spasmodically jerked upward when sitting,stitching contractive pain in region of hip joint,1.0,1
legs spasmodically jerked upward when sitting,coldness of abdomen,1.0,1
legs spasmodically jerked upward when sitting,stinging pinching cramping pains,1.0,1
legs spasmodically jerked upward when sitting,pain better by motion and pressure,1.0,1
legs spasmodically jerked upward when sitting,dull boring stitches in left shoulder blade,1.0,1
legs spasmodically jerked upward when sitting,warmth of rest of the body,1.0,1
legs spasmodically jerked upward when sitting,tension and paralytic tearing in arms hands and fingers,1.0,1
legs spasmodically jerked upward when sitting,icy coldness of hands and feet,1.0,1
legs spasmodically jerked upward when sitting,pain in back when sitting still,1.0,1
legs spasmodically jerked upward when sitting,bruised pain worse stooping and walking,1.0,1
legs spasmodically jerked upward when sitting,painful spasmodic jerking of lower limbs in gouty people,1.0,1
legs spasmodically jerked upward when sitting,apprehension of evil,1.0,1
legs spasmodically jerked upward when sitting,calcareous deposits in joints,1.0,1
legs spasmodically jerked upward when sitting,stiffness in muscles of neck and throat,1.0,1
legs spasmodically jerked upward when sitting,pain disappears on touching it,1.0,1
legs spasmodically jerked upward when sitting,cramp-like pain in muscles of left forearm extending to palm of hand,1.0,1
legs spasmodically jerked upward when sitting,muscular twitches in right upper arm,1.0,1
legs spasmodically jerked upward when sitting,cramp-like pain in muscles of right leg,1.0,1
legs spasmodically jerked upward when sitting,spasmodic stiffness of arms and fingers,1.0,1
dull boring stitches in left shoulder blade,stitching contractive pain in region of hip joint,1.0,1
dull boring stitches in left shoulder blade,coldness of abdomen,1.0,1
dull boring stitches in left shoulder blade,stinging pinching cramping pains,1.0,1
dull boring stitches in left shoulder blade,pain better by motion and pressure,1.0,1
dull boring stitches in left shoulder blade,warmth of rest of the body,1.0,1
dull boring stitches in left shoulder blade,legs spasmodically jerked upward when sitting,1.0,1
dull boring stitches in left shoulder blade,tension and paralytic tearing in arms hands and fingers,1.0,1
dull boring stitches in left shoulder blade,icy coldness of hands and feet,1.0,1
dull boring stitches in left shoulder blade,pain in back when sitting still,1.0,1
dull boring stitches in left shoulder blade,bruised pain worse stooping and walking,1.0,1
dull boring stitches in left shoulder blade,painful spasmodic jerking of lower limbs in gouty people,1.0,1
dull boring stitches in left shoulder blade,apprehension of evil,1.0,1
dull boring stitches in left shoulder blade,calcareous deposits in joints,1.0,1
dull boring stitches in left shoulder blade,stiffness in muscles of neck and throat,1.0,1
dull boring stitches in left shoulder blade,pain disappears on touching it,1.0,1
dull boring stitches in left shoulder blade,cramp-like pain in muscles of left forearm extending to palm of hand,1.0,1
dull boring stitches in left shoulder blade,muscular twitches in right upper arm,1.0,1
dull boring stitches in left shoulder blade,cramp-like pain in muscles of right leg,1.0,1
dull boring stitches in left shoulder blade,spasmodic stiffness of arms and fingers,1.0,1
warmth of rest of the body,stitching contractive pain in region of hip joint,1.0,1
warmth of rest of the body,coldness of abdomen,1.0,1
warmth of rest of the body,stinging pinching cramping pains,1.0,1
warmth of rest of the body,pain better by motion and pressure,1.0,1
warmth of rest of the body,dull boring stitches in left shoulder blade,1.0,1
warmth of rest of the body,legs spasmodically jerked upward when sitting,1.0,1
warmth of rest of the body,tension and paralytic tearing in arms hands and fingers,1.0,1
warmth of rest of the body,icy coldness of hands and feet,1.0,1
warmth of rest of the body,pain in back when sitting still,1.0,1
warmth of rest of the body,bruised pain worse stooping and walking,1.0,1
warmth of rest of the body,painful spasmodic jerking of lower limbs in gouty people,1.0,1
warmth of rest of the body,apprehension of evil,1.0,1
warmth of rest of the body,calcareous deposits in joints,1.0,1
warmth of rest of the body,stiffness in muscles of neck and throat,1.0,1
warmth of rest of the body,pain disappears on touching it,1.0,1
warmth of rest of the body,cramp-like pain in muscles of left forearm extending to palm of hand,1.0,1
warmth of rest of the body,muscular twitches in right upper arm,1.0,1
warmth of rest of the body,cramp-like pain in muscles of right leg,1.0,1
warmth of rest of the body,spasmodic stiffness of arms and fingers,1.0,1
tension and paralytic tearing in arms hands and fingers,stitching contractive pain in region of hip joint,1.0,1
tension and paralytic tearing in arms hands and fingers,coldness of abdomen,1.0,1
tension and paralytic tearing in arms hands and fingers,stinging pinching cramping pains,1.0,1
tension and paralytic tearing in arms hands and fingers,pain better by motion and pressure,1.0,1
tension and paralytic tearing in arms hands and fingers,dull boring stitches in left shoulder blade,1.0,1
tension and paralytic tearing in arms hands and fingers,warmth of rest of the body,1.0,1
tension and paralytic tearing in arms hands and fingers,legs spasmodically jerked upward when sitting,1.0,1
tension and paralytic tearing in arms hands and fingers,icy coldness of hands and feet,1.0,1
tension and paralytic tearing in arms hands and fingers,pain in back when sitting still,1.0,1
tension and paralytic tearing in arms hands and fingers,bruised pain worse stooping and walking,1.0,1
tension and paralytic tearing in arms hands and fingers,painful spasmodic jerking of lower limbs in gouty people,1.0,1
tension and paralytic tearing in arms hands and fingers,apprehension of evil,1.0,1
tension and paralytic tearing in arms hands and fingers,calcareous deposits in joints,1.0,1
tension and paralytic tearing in arms hands and fingers,stiffness in muscles of neck and throat,1.0,1
tension and paralytic tearing in arms hands and fingers,pain disappears on touching it,1.0,1
tension and paralytic tearing in arms hands and fingers,cramp-like pain in muscles of left forearm extending to palm of hand,1.0,1
tension and paralytic tearing in arms hands and fingers,muscular twitches in right upper arm,1.0,1
tension and paralytic tearing in arms hands and fingers,cramp-like pain in muscles of right leg,1.0,1
tension and paralytic tearing in arms hands and fingers,spasmodic stiffness of arms and fingers,1.0,1
