### Cluster 90 — Symptoms (43)
Symptom,Frequency
worse motion,2
especially elbows,1
left ischiatic nerve pain from behind forward,1
rheumatic pains after suppression of foot sweat,1
tonsils swollen,1
several joints on right side affected,1
severe pains in all joints,1
engorgement subsided,1
pains shooting,1
tonsils with white spots,1
rheumatic pains in little toes,1
ankle on right side affected,1
nodes on fingers subsided,1
canker sores,1
chronic gonorrheal rheumatism,1
rheumatic pains in fingers,1
left ischiatic nerve pain downward to knees,1
tonsils red,1
drawing in left calf,1
acute inflammatory articular rheumatism,1
nightly pain most agonizing,1
temporarily improved by hot applications,1
heat about joints,1
inflammatory rheumatism followed by plastic iritis,1
acute piercing pains in knees,1
parts exquisitely sensitive,1
worse especially at night,1
burning pains changing from one place to another,1
large joints on left side affected,1
drawing extending into thigh,1
pains drawing,1
attacking one or more joints,1
great swelling,1
transferred to left arm,1
pains disappeared,1
soreness about joints,1
improved by dry heat,1
pains drive him out of bed,1
joints exquisitely sensitive,1
redness about joints,1
vertigo with tendency to fall to the right,1
wrist joint on right side affected,1
rheumatoid arthritis,1

### Top Remedies
Remedy,Symptoms_Covered
salicylicum acidum,43
sticta pulmonaria,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
left ischiatic nerve pain from behind forward,especially elbows,1.0,1
left ischiatic nerve pain from behind forward,rheumatic pains after suppression of foot sweat,1.0,1
left ischiatic nerve pain from behind forward,tonsils swollen,1.0,1
left ischiatic nerve pain from behind forward,several joints on right side affected,1.0,1
left ischiatic nerve pain from behind forward,severe pains in all joints,1.0,1
left ischiatic nerve pain from behind forward,engorgement subsided,1.0,1
left ischiatic nerve pain from behind forward,pains shooting,1.0,1
left ischiatic nerve pain from behind forward,tonsils with white spots,1.0,1
left ischiatic nerve pain from behind forward,rheumatic pains in little toes,1.0,1
left ischiatic nerve pain from behind forward,ankle on right side affected,1.0,1
left ischiatic nerve pain from behind forward,nodes on fingers subsided,1.0,1
left ischiatic nerve pain from behind forward,canker sores,1.0,1
left ischiatic nerve pain from behind forward,chronic gonorrheal rheumatism,1.0,1
left ischiatic nerve pain from behind forward,rheumatic pains in fingers,1.0,1
left ischiatic nerve pain from behind forward,left ischiatic nerve pain downward to knees,1.0,1
left ischiatic nerve pain from behind forward,tonsils red,1.0,1
left ischiatic nerve pain from behind forward,drawing in left calf,1.0,1
left ischiatic nerve pain from behind forward,acute inflammatory articular rheumatism,1.0,1
left ischiatic nerve pain from behind forward,nightly pain most agonizing,1.0,1
left ischiatic nerve pain from behind forward,temporarily improved by hot applications,1.0,1
left ischiatic nerve pain from behind forward,heat about joints,1.0,1
left ischiatic nerve pain from behind forward,inflammatory rheumatism followed by plastic iritis,1.0,1
left ischiatic nerve pain from behind forward,acute piercing pains in knees,1.0,1
left ischiatic nerve pain from behind forward,parts exquisitely sensitive,1.0,1
left ischiatic nerve pain from behind forward,worse especially at night,1.0,1
left ischiatic nerve pain from behind forward,burning pains changing from one place to another,1.0,1
left ischiatic nerve pain from behind forward,large joints on left side affected,1.0,1
left ischiatic nerve pain from behind forward,drawing extending into thigh,1.0,1
left ischiatic nerve pain from behind forward,pains drawing,1.0,1
left ischiatic nerve pain from behind forward,attacking one or more joints,1.0,1
left ischiatic nerve pain from behind forward,great swelling,1.0,1
left ischiatic nerve pain from behind forward,transferred to left arm,1.0,1
left ischiatic nerve pain from behind forward,pains disappeared,1.0,1
left ischiatic nerve pain from behind forward,soreness about joints,1.0,1
left ischiatic nerve pain from behind forward,improved by dry heat,1.0,1
left ischiatic nerve pain from behind forward,pains drive him out of bed,1.0,1
left ischiatic nerve pain from behind forward,joints exquisitely sensitive,1.0,1
left ischiatic nerve pain from behind forward,redness about joints,1.0,1
left ischiatic nerve pain from behind forward,vertigo with tendency to fall to the right,1.0,1
left ischiatic nerve pain from behind forward,wrist joint on right side affected,1.0,1
left ischiatic nerve pain from behind forward,worse motion,1.0,1
left ischiatic nerve pain from behind forward,rheumatoid arthritis,1.0,1
large joints on left side affected,especially elbows,1.0,1
large joints on left side affected,left ischiatic nerve pain from behind forward,1.0,1
large joints on left side affected,rheumatic pains after suppression of foot sweat,1.0,1
large joints on left side affected,tonsils swollen,1.0,1
large joints on left side affected,several joints on right side affected,1.0,1
large joints on left side affected,severe pains in all joints,1.0,1
large joints on left side affected,engorgement subsided,1.0,1
large joints on left side affected,pains shooting,1.0,1
large joints on left side affected,tonsils with white spots,1.0,1
large joints on left side affected,rheumatic pains in little toes,1.0,1
large joints on left side affected,ankle on right side affected,1.0,1
large joints on left side affected,nodes on fingers subsided,1.0,1
large joints on left side affected,canker sores,1.0,1
large joints on left side affected,chronic gonorrheal rheumatism,1.0,1
large joints on left side affected,rheumatic pains in fingers,1.0,1
large joints on left side affected,left ischiatic nerve pain downward to knees,1.0,1
large joints on left side affected,tonsils red,1.0,1
large joints on left side affected,drawing in left calf,1.0,1
large joints on left side affected,acute inflammatory articular rheumatism,1.0,1
large joints on left side affected,nightly pain most agonizing,1.0,1
large joints on left side affected,temporarily improved by hot applications,1.0,1
large joints on left side affected,heat about joints,1.0,1
large joints on left side affected,inflammatory rheumatism followed by plastic iritis,1.0,1
large joints on left side affected,acute piercing pains in knees,1.0,1
large joints on left side affected,parts exquisitely sensitive,1.0,1
large joints on left side affected,worse especially at night,1.0,1
large joints on left side affected,burning pains changing from one place to another,1.0,1
large joints on left side affected,drawing extending into thigh,1.0,1
large joints on left side affected,pains drawing,1.0,1
large joints on left side affected,attacking one or more joints,1.0,1
large joints on left side affected,great swelling,1.0,1
large joints on left side affected,transferred to left arm,1.0,1
large joints on left side affected,pains disappeared,1.0,1
large joints on left side affected,soreness about joints,1.0,1
large joints on left side affected,improved by dry heat,1.0,1
large joints on left side affected,pains drive him out of bed,1.0,1
large joints on left side affected,joints exquisitely sensitive,1.0,1
large joints on left side affected,redness about joints,1.0,1
large joints on left side affected,vertigo with tendency to fall to the right,1.0,1
large joints on left side affected,wrist joint on right side affected,1.0,1
large joints on left side affected,worse motion,1.0,1
large joints on left side affected,rheumatoid arthritis,1.0,1
rheumatoid arthritis,especially elbows,1.0,1
rheumatoid arthritis,left ischiatic nerve pain from behind forward,1.0,1
rheumatoid arthritis,rheumatic pains after suppression of foot sweat,1.0,1
rheumatoid arthritis,tonsils swollen,1.0,1
rheumatoid arthritis,several joints on right side affected,1.0,1
rheumatoid arthritis,severe pains in all joints,1.0,1
rheumatoid arthritis,engorgement subsided,1.0,1
rheumatoid arthritis,pains shooting,1.0,1
rheumatoid arthritis,tonsils with white spots,1.0,1
rheumatoid arthritis,rheumatic pains in little toes,1.0,1
rheumatoid arthritis,ankle on right side affected,1.0,1
rheumatoid arthritis,nodes on fingers subsided,1.0,1
rheumatoid arthritis,canker sores,1.0,1
rheumatoid arthritis,chronic gonorrheal rheumatism,1.0,1
rheumatoid arthritis,rheumatic pains in fingers,1.0,1
rheumatoid arthritis,left ischiatic nerve pain downward to knees,1.0,1
rheumatoid arthritis,tonsils red,1.0,1
rheumatoid arthritis,drawing in left calf,1.0,1
