### Cluster 51 — Symptoms (62)
Symptom,Frequency
rheumatism of right shoulder,2
shifting pains in back,2
pain not felt when swinging arms,1
rheumatic pain in left hip,1
night sweats,1
pain in sacrum when lifting,1
pain extending down right limb,1
circumscribed redness of cheeks,1
rheumatic pain in inside right thigh,1
worse on turning in bed,1
aching pain extending to wrist,1
trapezius sore under pressure,1
knees are stiff,1
pain confined to shoulder,1
soreness down muscles of back,1
rigidity,1
rheumatic pains in right shoulder,2
headaches last until evening,1
no amount of clothing could overcome coldness,1
pains shift about,1
pain through hips,1
caused by outward applications,1
headaches increase during day,1
pain leaves when touching painful part,1
impossible to move arm without help,1
metastasis of gout to heart,1
rheumatism in all joints,1
stiffness of finger joints,1
sense of coldness,1
rheumatic pain extending up from neck,1
rheumatic pains in all limbs,1
arthritic rheumatism,1
rheumatic pain settling over eye,1
thumb swollen,1
sharp pain in right ankle,1
pain in shoulder cap,1
fever in paroxysms,1
pain in top of right shoulder,1
dull pain in inner edge of left scapula,1
pain in large muscles of back,1
rheumatic headache running up posterior muscular region,1
worse from breathing,1
pain in upper part of right arm,1
aching pain in ball of right thumb,1
pain in cervical region,1
coldness,1
right arm hangs almost helpless,1
sharp pain in great toe joint,1
cannot raise arm,1
burning of palms of hands,1
pain in right deltoid muscle,1
headaches begin in morning,1
worse on taking a deep breath,1
lumbago from lifting,1
rheumatic pains worse in places least covered with flesh,1
irregularity of heart's action,1
rheumatic pains in right arm,1
trapezius painful at every movement,1
pain appears elsewhere,1
spasmodic pain,1
periodical headaches,1
metastasis of rheumatism to heart,1

### Top Remedies
Remedy,Symptoms_Covered
sanguinaria canadensis,62
formica rufa,1
magnesia phosphorica,1
natrum phosphoricum,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
pain through hips,pain not felt when swinging arms,1.0,1
pain through hips,rheumatic pain in left hip,1.0,1
pain through hips,night sweats,1.0,1
pain through hips,pain in sacrum when lifting,1.0,1
pain through hips,pain extending down right limb,1.0,1
pain through hips,circumscribed redness of cheeks,1.0,1
pain through hips,rheumatic pain in inside right thigh,1.0,1
pain through hips,worse on turning in bed,1.0,1
pain through hips,shifting pains in back,1.0,1
pain through hips,aching pain extending to wrist,1.0,1
pain through hips,trapezius sore under pressure,1.0,1
pain through hips,knees are stiff,1.0,1
pain through hips,rheumatism of right shoulder,1.0,1
pain through hips,pain confined to shoulder,1.0,1
pain through hips,soreness down muscles of back,1.0,1
pain through hips,rigidity,1.0,1
pain through hips,rheumatic pains in right shoulder,1.0,1
pain through hips,headaches last until evening,1.0,1
pain through hips,no amount of clothing could overcome coldness,1.0,1
pain through hips,pains shift about,1.0,1
pain through hips,caused by outward applications,1.0,1
pain through hips,headaches increase during day,1.0,1
pain through hips,pain leaves when touching painful part,1.0,1
pain through hips,impossible to move arm without help,1.0,1
pain through hips,metastasis of gout to heart,1.0,1
pain through hips,rheumatism in all joints,1.0,1
pain through hips,stiffness of finger joints,1.0,1
pain through hips,sense of coldness,1.0,1
pain through hips,rheumatic pain extending up from neck,1.0,1
pain through hips,rheumatic pains in all limbs,1.0,1
pain through hips,arthritic rheumatism,1.0,1
pain through hips,rheumatic pain settling over eye,1.0,1
pain through hips,thumb swollen,1.0,1
pain through hips,sharp pain in right ankle,1.0,1
pain through hips,pain in shoulder cap,1.0,1
pain through hips,fever in paroxysms,1.0,1
pain through hips,pain in top of right shoulder,1.0,1
pain through hips,dull pain in inner edge of left scapula,1.0,1
pain through hips,pain in large muscles of back,1.0,1
pain through hips,rheumatic headache running up posterior muscular region,1.0,1
pain through hips,worse from breathing,1.0,1
pain through hips,pain in upper part of right arm,1.0,1
pain through hips,aching pain in ball of right thumb,1.0,1
pain through hips,pain in cervical region,1.0,1
pain through hips,coldness,1.0,1
pain through hips,right arm hangs almost helpless,1.0,1
pain through hips,sharp pain in great toe joint,1.0,1
pain through hips,cannot raise arm,1.0,1
pain through hips,burning of palms of hands,1.0,1
pain through hips,pain in right deltoid muscle,1.0,1
pain through hips,headaches begin in morning,1.0,1
pain through hips,worse on taking a deep breath,1.0,1
pain through hips,lumbago from lifting,1.0,1
pain through hips,rheumatic pains worse in places least covered with flesh,1.0,1
pain through hips,irregularity of heart's action,1.0,1
pain through hips,rheumatic pains in right arm,1.0,1
pain through hips,trapezius painful at every movement,1.0,1
pain through hips,pain appears elsewhere,1.0,1
pain through hips,spasmodic pain,1.0,1
pain through hips,periodical headaches,1.0,1
pain through hips,metastasis of rheumatism to heart,1.0,1
rheumatic pain in left hip,pain not felt when swinging arms,1.0,1
rheumatic pain in left hip,night sweats,1.0,1
rheumatic pain in left hip,pain in sacrum when lifting,1.0,1
rheumatic pain in left hip,pain extending down right limb,1.0,1
rheumatic pain in left hip,circumscribed redness of cheeks,1.0,1
rheumatic pain in left hip,rheumatic pain in inside right thigh,1.0,1
rheumatic pain in left hip,worse on turning in bed,1.0,1
rheumatic pain in left hip,shifting pains in back,1.0,1
rheumatic pain in left hip,aching pain extending to wrist,1.0,1
rheumatic pain in left hip,trapezius sore under pressure,1.0,1
rheumatic pain in left hip,knees are stiff,1.0,1
rheumatic pain in left hip,rheumatism of right shoulder,1.0,1
rheumatic pain in left hip,pain confined to shoulder,1.0,1
rheumatic pain in left hip,soreness down muscles of back,1.0,1
rheumatic pain in left hip,rigidity,1.0,1
rheumatic pain in left hip,rheumatic pains in right shoulder,1.0,1
rheumatic pain in left hip,headaches last until evening,1.0,1
rheumatic pain in left hip,no amount of clothing could overcome coldness,1.0,1
rheumatic pain in left hip,pains shift about,1.0,1
rheumatic pain in left hip,pain through hips,1.0,1
rheumatic pain in left hip,caused by outward applications,1.0,1
rheumatic pain in left hip,headaches increase during day,1.0,1
rheumatic pain in left hip,pain leaves when touching painful part,1.0,1
rheumatic pain in left hip,impossible to move arm without help,1.0,1
rheumatic pain in left hip,metastasis of gout to heart,1.0,1
rheumatic pain in left hip,rheumatism in all joints,1.0,1
rheumatic pain in left hip,stiffness of finger joints,1.0,1
rheumatic pain in left hip,sense of coldness,1.0,1
rheumatic pain in left hip,rheumatic pain extending up from neck,1.0,1
rheumatic pain in left hip,rheumatic pains in all limbs,1.0,1
rheumatic pain in left hip,arthritic rheumatism,1.0,1
rheumatic pain in left hip,rheumatic pain settling over eye,1.0,1
rheumatic pain in left hip,thumb swollen,1.0,1
rheumatic pain in left hip,sharp pain in right ankle,1.0,1
rheumatic pain in left hip,pain in shoulder cap,1.0,1
rheumatic pain in left hip,fever in paroxysms,1.0,1
rheumatic pain in left hip,pain in top of right shoulder,1.0,1
rheumatic pain in left hip,dull pain in inner edge of left scapula,1.0,1
rheumatic pain in left hip,pain in large muscles of back,1.0,1
rheumatic pain in left hip,rheumatic headache running up posterior muscular region,1.0,1
rheumatic pain in left hip,worse from breathing,1.0,1
rheumatic pain in left hip,pain in upper part of right arm,1.0,1
rheumatic pain in left hip,aching pain in ball of right thumb,1.0,1
rheumatic pain in left hip,pain in cervical region,1.0,1
rheumatic pain in left hip,coldness,1.0,1
rheumatic pain in left hip,right arm hangs almost helpless,1.0,1
rheumatic pain in left hip,sharp pain in great toe joint,1.0,1
rheumatic pain in left hip,cannot raise arm,1.0,1
rheumatic pain in left hip,burning of palms of hands,1.0,1
rheumatic pain in left hip,pain in right deltoid muscle,1.0,1
rheumatic pain in left hip,headaches begin in morning,1.0,1
rheumatic pain in left hip,worse on taking a deep breath,1.0,1
rheumatic pain in left hip,lumbago from lifting,1.0,1
rheumatic pain in left hip,rheumatic pains worse in places least covered with flesh,1.0,1
rheumatic pain in left hip,irregularity of heart's action,1.0,1
rheumatic pain in left hip,rheumatic pains in right arm,1.0,1
rheumatic pain in left hip,trapezius painful at every movement,1.0,1
rheumatic pain in left hip,pain appears elsewhere,1.0,1
rheumatic pain in left hip,spasmodic pain,1.0,1
rheumatic pain in left hip,periodical headaches,1.0,1
rheumatic pain in left hip,metastasis of rheumatism to heart,1.0,1
pain in upper part of right arm,pain not felt when swinging arms,1.0,1
pain in upper part of right arm,rheumatic pain in left hip,1.0,1
pain in upper part of right arm,night sweats,1.0,1
pain in upper part of right arm,pain in sacrum when lifting,1.0,1
pain in upper part of right arm,pain extending down right limb,1.0,1
pain in upper part of right arm,circumscribed redness of cheeks,1.0,1
pain in upper part of right arm,rheumatic pain in inside right thigh,1.0,1
pain in upper part of right arm,worse on turning in bed,1.0,1
pain in upper part of right arm,shifting pains in back,1.0,1
pain in upper part of right arm,aching pain extending to wrist,1.0,1
pain in upper part of right arm,trapezius sore under pressure,1.0,1
pain in upper part of right arm,knees are stiff,1.0,1
pain in upper part of right arm,rheumatism of right shoulder,1.0,1
pain in upper part of right arm,pain confined to shoulder,1.0,1
pain in upper part of right arm,soreness down muscles of back,1.0,1
pain in upper part of right arm,rigidity,1.0,1
pain in upper part of right arm,rheumatic pains in right shoulder,1.0,1
pain in upper part of right arm,headaches last until evening,1.0,1
pain in upper part of right arm,no amount of clothing could overcome coldness,1.0,1
pain in upper part of right arm,pains shift about,1.0,1
pain in upper part of right arm,pain through hips,1.0,1
pain in upper part of right arm,caused by outward applications,1.0,1
pain in upper part of right arm,headaches increase during day,1.0,1
pain in upper part of right arm,pain leaves when touching painful part,1.0,1
pain in upper part of right arm,impossible to move arm without help,1.0,1
pain in upper part of right arm,metastasis of gout to heart,1.0,1
pain in upper part of right arm,rheumatism in all joints,1.0,1
pain in upper part of right arm,stiffness of finger joints,1.0,1
pain in upper part of right arm,sense of coldness,1.0,1
pain in upper part of right arm,rheumatic pain extending up from neck,1.0,1
pain in upper part of right arm,rheumatic pains in all limbs,1.0,1
pain in upper part of right arm,arthritic rheumatism,1.0,1
pain in upper part of right arm,rheumatic pain settling over eye,1.0,1
pain in upper part of right arm,thumb swollen,1.0,1
pain in upper part of right arm,sharp pain in right ankle,1.0,1
pain in upper part of right arm,pain in shoulder cap,1.0,1
pain in upper part of right arm,fever in paroxysms,1.0,1
pain in upper part of right arm,pain in top of right shoulder,1.0,1
pain in upper part of right arm,dull pain in inner edge of left scapula,1.0,1
pain in upper part of right arm,pain in large muscles of back,1.0,1
pain in upper part of right arm,rheumatic headache running up posterior muscular region,1.0,1
pain in upper part of right arm,worse from breathing,1.0,1
pain in upper part of right arm,aching pain in ball of right thumb,1.0,1
pain in upper part of right arm,pain in cervical region,1.0,1
pain in upper part of right arm,coldness,1.0,1
pain in upper part of right arm,right arm hangs almost helpless,1.0,1
pain in upper part of right arm,sharp pain in great toe joint,1.0,1
pain in upper part of right arm,cannot raise arm,1.0,1
pain in upper part of right arm,burning of palms of hands,1.0,1
pain in upper part of right arm,pain in right deltoid muscle,1.0,1
pain in upper part of right arm,headaches begin in morning,1.0,1
