### Cluster 73 — Symptoms (37)
Symptom,Frequency
syphilitic rheumatism,2
after mercurial treatment of syphilis,1
stitches in back through into chest,1
tips of fingers feel bruised,1
rheumatism after mercury,1
wrenching excruciating pains in knees,1
tips of fingers feel sore,1
rheumatic pains in joints after gonorrhea,1
painful pressure on breast bone,1
gonorrhea suppressed by mercury,1
worse during damp weather,1
suppressed gonorrheal discharge,1
arthritic tubercles in lungs,1
cracks on skin of hands,1
extreme emaciation,1
rheumatism of lower limbs,1
rheumatic pains at night in feet,1
severe wrenching pain on each side of patella,1
worse after cold bathing,1
bone pains after suppressed gonorrhea,1
sweat on forehead during evening,1
stitches in joints of arms,1
gonorrhea suppressed by wet weather,1
deep antisyphilitic,1
from least motion,1
knees hot,1
severe rheumatism,1
worse when touched,1
severe rheumatic pains in limbs,1
after suppressed gonorrhea,1
gonorrhea suppressed by cold,1
short tearing pains in one place then another,1
bone pains severe after mercury,2
knees tender to touch,1
gouty pains in lower limbs,1
gouty conditions with renal calculi,1
antisycotic,1

### Top Remedies
Remedy,Symptoms_Covered
sarsaparilla,37
syphilinum,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
sweat on forehead during evening,syphilitic rheumatism,1.0,1
sweat on forehead during evening,after mercurial treatment of syphilis,1.0,1
sweat on forehead during evening,stitches in back through into chest,1.0,1
sweat on forehead during evening,tips of fingers feel bruised,1.0,1
sweat on forehead during evening,rheumatism after mercury,1.0,1
sweat on forehead during evening,wrenching excruciating pains in knees,1.0,1
sweat on forehead during evening,tips of fingers feel sore,1.0,1
sweat on forehead during evening,rheumatic pains in joints after gonorrhea,1.0,1
sweat on forehead during evening,painful pressure on breast bone,1.0,1
sweat on forehead during evening,gonorrhea suppressed by mercury,1.0,1
sweat on forehead during evening,worse during damp weather,1.0,1
sweat on forehead during evening,suppressed gonorrheal discharge,1.0,1
sweat on forehead during evening,arthritic tubercles in lungs,1.0,1
sweat on forehead during evening,cracks on skin of hands,1.0,1
sweat on forehead during evening,extreme emaciation,1.0,1
sweat on forehead during evening,rheumatism of lower limbs,1.0,1
sweat on forehead during evening,rheumatic pains at night in feet,1.0,1
sweat on forehead during evening,severe wrenching pain on each side of patella,1.0,1
sweat on forehead during evening,worse after cold bathing,1.0,1
sweat on forehead during evening,bone pains after suppressed gonorrhea,1.0,1
sweat on forehead during evening,stitches in joints of arms,1.0,1
sweat on forehead during evening,gonorrhea suppressed by wet weather,1.0,1
sweat on forehead during evening,deep antisyphilitic,1.0,1
sweat on forehead during evening,from least motion,1.0,1
sweat on forehead during evening,knees hot,1.0,1
sweat on forehead during evening,severe rheumatism,1.0,1
sweat on forehead during evening,worse when touched,1.0,1
sweat on forehead during evening,severe rheumatic pains in limbs,1.0,1
sweat on forehead during evening,after suppressed gonorrhea,1.0,1
sweat on forehead during evening,gonorrhea suppressed by cold,1.0,1
sweat on forehead during evening,short tearing pains in one place then another,1.0,1
sweat on forehead during evening,bone pains severe after mercury,1.0,1
sweat on forehead during evening,knees tender to touch,1.0,1
sweat on forehead during evening,gouty pains in lower limbs,1.0,1
sweat on forehead during evening,gouty conditions with renal calculi,1.0,1
sweat on forehead during evening,antisycotic,1.0,1
cracks on skin of hands,syphilitic rheumatism,1.0,1
cracks on skin of hands,after mercurial treatment of syphilis,1.0,1
cracks on skin of hands,stitches in back through into chest,1.0,1
cracks on skin of hands,tips of fingers feel bruised,1.0,1
cracks on skin of hands,rheumatism after mercury,1.0,1
cracks on skin of hands,wrenching excruciating pains in knees,1.0,1
cracks on skin of hands,tips of fingers feel sore,1.0,1
cracks on skin of hands,rheumatic pains in joints after gonorrhea,1.0,1
cracks on skin of hands,painful pressure on breast bone,1.0,1
cracks on skin of hands,gonorrhea suppressed by mercury,1.0,1
cracks on skin of hands,worse during damp weather,1.0,1
cracks on skin of hands,suppressed gonorrheal discharge,1.0,1
cracks on skin of hands,arthritic tubercles in lungs,1.0,1
cracks on skin of hands,extreme emaciation,1.0,1
cracks on skin of hands,rheumatism of lower limbs,1.0,1
cracks on skin of hands,rheumatic pains at night in feet,1.0,1
cracks on skin of hands,severe wrenching pain on each side of patella,1.0,1
cracks on skin of hands,worse after cold bathing,1.0,1
cracks on skin of hands,bone pains after suppressed gonorrhea,1.0,1
cracks on skin of hands,sweat on forehead during evening,1.0,1
cracks on skin of hands,stitches in joints of arms,1.0,1
cracks on skin of hands,gonorrhea suppressed by wet weather,1.0,1
cracks on skin of hands,deep antisyphilitic,1.0,1
cracks on skin of hands,from least motion,1.0,1
cracks on skin of hands,knees hot,1.0,1
cracks on skin of hands,severe rheumatism,1.0,1
cracks on skin of hands,worse when touched,1.0,1
cracks on skin of hands,severe rheumatic pains in limbs,1.0,1
cracks on skin of hands,after suppressed gonorrhea,1.0,1
cracks on skin of hands,gonorrhea suppressed by cold,1.0,1
cracks on skin of hands,short tearing pains in one place then another,1.0,1
cracks on skin of hands,bone pains severe after mercury,1.0,1
cracks on skin of hands,knees tender to touch,1.0,1
cracks on skin of hands,gouty pains in lower limbs,1.0,1
cracks on skin of hands,gouty conditions with renal calculi,1.0,1
cracks on skin of hands,antisycotic,1.0,1
severe rheumatic pains in limbs,syphilitic rheumatism,1.0,1
severe rheumatic pains in limbs,after mercurial treatment of syphilis,1.0,1
severe rheumatic pains in limbs,stitches in back through into chest,1.0,1
severe rheumatic pains in limbs,tips of fingers feel bruised,1.0,1
severe rheumatic pains in limbs,rheumatism after mercury,1.0,1
severe rheumatic pains in limbs,wrenching excruciating pains in knees,1.0,1
severe rheumatic pains in limbs,tips of fingers feel sore,1.0,1
severe rheumatic pains in limbs,rheumatic pains in joints after gonorrhea,1.0,1
severe rheumatic pains in limbs,painful pressure on breast bone,1.0,1
severe rheumatic pains in limbs,gonorrhea suppressed by mercury,1.0,1
severe rheumatic pains in limbs,worse during damp weather,1.0,1
severe rheumatic pains in limbs,suppressed gonorrheal discharge,1.0,1
severe rheumatic pains in limbs,arthritic tubercles in lungs,1.0,1
severe rheumatic pains in limbs,cracks on skin of hands,1.0,1
severe rheumatic pains in limbs,extreme emaciation,1.0,1
severe rheumatic pains in limbs,rheumatism of lower limbs,1.0,1
severe rheumatic pains in limbs,rheumatic pains at night in feet,1.0,1
severe rheumatic pains in limbs,severe wrenching pain on each side of patella,1.0,1
severe rheumatic pains in limbs,worse after cold bathing,1.0,1
severe rheumatic pains in limbs,bone pains after suppressed gonorrhea,1.0,1
severe rheumatic pains in limbs,sweat on forehead during evening,1.0,1
severe rheumatic pains in limbs,stitches in joints of arms,1.0,1
severe rheumatic pains in limbs,gonorrhea suppressed by wet weather,1.0,1
severe rheumatic pains in limbs,deep antisyphilitic,1.0,1
severe rheumatic pains in limbs,from least motion,1.0,1
severe rheumatic pains in limbs,knees hot,1.0,1
severe rheumatic pains in limbs,severe rheumatism,1.0,1
severe rheumatic pains in limbs,worse when touched,1.0,1
severe rheumatic pains in limbs,after suppressed gonorrhea,1.0,1
severe rheumatic pains in limbs,gonorrhea suppressed by cold,1.0,1
severe rheumatic pains in limbs,short tearing pains in one place then another,1.0,1
severe rheumatic pains in limbs,bone pains severe after mercury,1.0,1
severe rheumatic pains in limbs,knees tender to touch,1.0,1
severe rheumatic pains in limbs,gouty pains in lower limbs,1.0,1
severe rheumatic pains in limbs,gouty conditions with renal calculi,1.0,1
severe rheumatic pains in limbs,antisycotic,1.0,1
stitches in back through into chest,syphilitic rheumatism,1.0,1
stitches in back through into chest,after mercurial treatment of syphilis,1.0,1
stitches in back through into chest,tips of fingers feel bruised,1.0,1
stitches in back through into chest,rheumatism after mercury,1.0,1
stitches in back through into chest,wrenching excruciating pains in knees,1.0,1
stitches in back through into chest,tips of fingers feel sore,1.0,1
stitches in back through into chest,rheumatic pains in joints after gonorrhea,1.0,1
stitches in back through into chest,painful pressure on breast bone,1.0,1
stitches in back through into chest,gonorrhea suppressed by mercury,1.0,1
stitches in back through into chest,worse during damp weather,1.0,1
stitches in back through into chest,suppressed gonorrheal discharge,1.0,1
stitches in back through into chest,arthritic tubercles in lungs,1.0,1
stitches in back through into chest,cracks on skin of hands,1.0,1
stitches in back through into chest,extreme emaciation,1.0,1
