### Cluster 92 — Symptoms (55)
Symptom,Frequency
rheumatic stiffness,1
pains gouty in small joints of hands,1
pain as if broken in small of back,1
pain in morning in bed,1
especially sacral joints,1
lachrymation constant,1
all done after much hard work,1
pain as from a sprain in right shoulder,1
worse on touch,1
stitches in knee,1
pressure in neck,1
chronic gout,1
tearing pain while sitting,1
stitches in knee joints,1
sensation of burning stitches in hollows of knees,1
especially of left index,1
many nodes on parts,1
ailments from mortification,1
crural neuralgic pain stinging,1
nervous weakness,1
tearing pain in muscles of another leg,2
violent pressing in left shoulder joint,1
phalanges of fingers affected,1
crural neuralgic pain during motion,1
paralytic drawing pain in first joints of fingers,1
pains gouty in small joints of feet,1
tearing pain while standing,1
pain only on motion,1
eyes feel as if very dry,1
arthritic nodes on fingers,1
tension in neck,1
pains extend into teeth,1
drawing in neck,1
not improved by any motion,1
dull sticking pain in shoulder joint,1
gouty rheumatic pains,1
skin affections alternating with pains in joints,1
everything is sore,1
eyes burn on least exertion,1
exceedingly severe pain in right leg,1
worse by motion,1
of dissipated men,1
arthritic nodes of joints,1
shifting pains,1
styes,1
especially hip joints,1
aching when walking,1
aching pain around hip joint,1
all limbs affected,1
aching when sitting,1
all joints of back stiff in morning,1
crural neuralgic pain stitching,1
especially shoulder joints,1
of debilitated men,1
pain as after overlifting,1

### Top Remedies
Remedy,Symptoms_Covered
staphisagria,55

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
phalanges of fingers affected,rheumatic stiffness,1.0,1
phalanges of fingers affected,pains gouty in small joints of hands,1.0,1
phalanges of fingers affected,pain as if broken in small of back,1.0,1
phalanges of fingers affected,pain in morning in bed,1.0,1
phalanges of fingers affected,especially sacral joints,1.0,1
phalanges of fingers affected,lachrymation constant,1.0,1
phalanges of fingers affected,all done after much hard work,1.0,1
phalanges of fingers affected,pain as from a sprain in right shoulder,1.0,1
phalanges of fingers affected,worse on touch,1.0,1
phalanges of fingers affected,stitches in knee,1.0,1
phalanges of fingers affected,pressure in neck,1.0,1
phalanges of fingers affected,chronic gout,1.0,1
phalanges of fingers affected,tearing pain while sitting,1.0,1
phalanges of fingers affected,stitches in knee joints,1.0,1
phalanges of fingers affected,sensation of burning stitches in hollows of knees,1.0,1
phalanges of fingers affected,especially of left index,1.0,1
phalanges of fingers affected,many nodes on parts,1.0,1
phalanges of fingers affected,ailments from mortification,1.0,1
phalanges of fingers affected,crural neuralgic pain stinging,1.0,1
phalanges of fingers affected,nervous weakness,1.0,1
phalanges of fingers affected,tearing pain in muscles of another leg,1.0,1
phalanges of fingers affected,violent pressing in left shoulder joint,1.0,1
phalanges of fingers affected,crural neuralgic pain during motion,1.0,1
phalanges of fingers affected,paralytic drawing pain in first joints of fingers,1.0,1
phalanges of fingers affected,pains gouty in small joints of feet,1.0,1
phalanges of fingers affected,tearing pain while standing,1.0,1
phalanges of fingers affected,pain only on motion,1.0,1
phalanges of fingers affected,eyes feel as if very dry,1.0,1
phalanges of fingers affected,arthritic nodes on fingers,1.0,1
phalanges of fingers affected,tension in neck,1.0,1
phalanges of fingers affected,pains extend into teeth,1.0,1
phalanges of fingers affected,drawing in neck,1.0,1
phalanges of fingers affected,not improved by any motion,1.0,1
phalanges of fingers affected,dull sticking pain in shoulder joint,1.0,1
phalanges of fingers affected,gouty rheumatic pains,1.0,1
phalanges of fingers affected,skin affections alternating with pains in joints,1.0,1
phalanges of fingers affected,everything is sore,1.0,1
