### Cluster 41 — Symptoms (46)
Symptom,Frequency
neck muscles seem swollen,1
knee joint very painful,1
sciatic neuralgia of right side,1
spine painful on pressure,1
periodic pain in back,1
heaviness of all limbs,1
back pain extends to head,1
hands cold,1
symptoms occur at same hour daily,1
intermittent neuralgia of supraorbital nerve,2
compare with pulsatilla in erratic pains,1
palpitation after slight exercise,1
painful enlargement of spleen,1
perfectly developed fever,1
profuse debilitating sweats,4
sensitiveness of last cervical vertebra,1
face anxious,1
perfectly developed sweat,1
perfectly developed chill,1
rheumatic pain in right shoulder,3
fear of impending evil,1
joints exquisitely sensitive to touch,1
compare with stannum in supraorbital neuralgia,1
remitting fever,1
back pain returns about midnight,1
buzzing in ears,1
joints painful,1
fever with ankle pain,1
aching in joints,1
knee joint much swollen,1
ankle pain after taking cold,1
intermitting fever,1
neck muscles stiff,1
whirling in head like mill wheel,1
ankles swollen,1
inflammatory articular rheumatism,2
violent pains in lateral neck muscles at 4 p.m.,1
acute rheumatic pain in left ankle joint,2
paralysis of limbs,1
aching of limbs,1
profuse sweat with ankle pain,1
cold sweat on hands,1
right wrist painful on motion,1
cutting pain in feet during chill,1
sensitiveness of first dorsal vertebra,1
first three dorsal vertebrae sensitive to touch,1

### Top Remedies
Remedy,Symptoms_Covered
chininum sulphuricum,46
medorrhinum,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
aching in joints,neck muscles seem swollen,1.0,1
aching in joints,knee joint very painful,1.0,1
aching in joints,sciatic neuralgia of right side,1.0,1
aching in joints,spine painful on pressure,1.0,1
aching in joints,periodic pain in back,1.0,1
aching in joints,heaviness of all limbs,1.0,1
aching in joints,back pain extends to head,1.0,1
aching in joints,hands cold,1.0,1
aching in joints,symptoms occur at same hour daily,1.0,1
aching in joints,intermittent neuralgia of supraorbital nerve,1.0,1
aching in joints,compare with pulsatilla in erratic pains,1.0,1
aching in joints,palpitation after slight exercise,1.0,1
aching in joints,painful enlargement of spleen,1.0,1
aching in joints,perfectly developed fever,1.0,1
aching in joints,profuse debilitating sweats,1.0,1
aching in joints,sensitiveness of last cervical vertebra,1.0,1
aching in joints,face anxious,1.0,1
aching in joints,perfectly developed sweat,1.0,1
aching in joints,perfectly developed chill,1.0,1
aching in joints,rheumatic pain in right shoulder,1.0,1
aching in joints,fear of impending evil,1.0,1
aching in joints,joints exquisitely sensitive to touch,1.0,1
aching in joints,compare with stannum in supraorbital neuralgia,1.0,1
aching in joints,remitting fever,1.0,1
aching in joints,back pain returns about midnight,1.0,1
aching in joints,buzzing in ears,1.0,1
aching in joints,joints painful,1.0,1
aching in joints,fever with ankle pain,1.0,1
aching in joints,knee joint much swollen,1.0,1
aching in joints,ankle pain after taking cold,1.0,1
aching in joints,intermitting fever,1.0,1
aching in joints,neck muscles stiff,1.0,1
aching in joints,whirling in head like mill wheel,1.0,1
aching in joints,ankles swollen,1.0,1
aching in joints,inflammatory articular rheumatism,1.0,1
aching in joints,violent pains in lateral neck muscles at 4 p.m.,1.0,1
aching in joints,acute rheumatic pain in left ankle joint,1.0,1
aching in joints,paralysis of limbs,1.0,1
aching in joints,aching of limbs,1.0,1
aching in joints,profuse sweat with ankle pain,1.0,1
aching in joints,cold sweat on hands,1.0,1
aching in joints,right wrist painful on motion,1.0,1
aching in joints,cutting pain in feet during chill,1.0,1
aching in joints,sensitiveness of first dorsal vertebra,1.0,1
aching in joints,first three dorsal vertebrae sensitive to touch,1.0,1
face anxious,neck muscles seem swollen,1.0,1
face anxious,knee joint very painful,1.0,1
face anxious,sciatic neuralgia of right side,1.0,1
face anxious,spine painful on pressure,1.0,1
face anxious,periodic pain in back,1.0,1
face anxious,heaviness of all limbs,1.0,1
face anxious,back pain extends to head,1.0,1
face anxious,hands cold,1.0,1
face anxious,symptoms occur at same hour daily,1.0,1
face anxious,intermittent neuralgia of supraorbital nerve,1.0,1
face anxious,compare with pulsatilla in erratic pains,1.0,1
face anxious,palpitation after slight exercise,1.0,1
face anxious,painful enlargement of spleen,1.0,1
face anxious,perfectly developed fever,1.0,1
face anxious,profuse debilitating sweats,1.0,1
face anxious,sensitiveness of last cervical vertebra,1.0,1
face anxious,perfectly developed sweat,1.0,1
face anxious,perfectly developed chill,1.0,1
face anxious,rheumatic pain in right shoulder,1.0,1
face anxious,fear of impending evil,1.0,1
face anxious,joints exquisitely sensitive to touch,1.0,1
face anxious,compare with stannum in supraorbital neuralgia,1.0,1
face anxious,remitting fever,1.0,1
face anxious,back pain returns about midnight,1.0,1
face anxious,buzzing in ears,1.0,1
face anxious,joints painful,1.0,1
face anxious,fever with ankle pain,1.0,1
face anxious,aching in joints,1.0,1
face anxious,knee joint much swollen,1.0,1
face anxious,ankle pain after taking cold,1.0,1
face anxious,intermitting fever,1.0,1
face anxious,neck muscles stiff,1.0,1
face anxious,whirling in head like mill wheel,1.0,1
face anxious,ankles swollen,1.0,1
face anxious,inflammatory articular rheumatism,1.0,1
face anxious,violent pains in lateral neck muscles at 4 p.m.,1.0,1
face anxious,acute rheumatic pain in left ankle joint,1.0,1
face anxious,paralysis of limbs,1.0,1
face anxious,aching of limbs,1.0,1
face anxious,profuse sweat with ankle pain,1.0,1
face anxious,cold sweat on hands,1.0,1
face anxious,right wrist painful on motion,1.0,1
face anxious,cutting pain in feet during chill,1.0,1
face anxious,sensitiveness of first dorsal vertebra,1.0,1
face anxious,first three dorsal vertebrae sensitive to touch,1.0,1
intermittent neuralgia of supraorbital nerve,neck muscles seem swollen,1.0,1
intermittent neuralgia of supraorbital nerve,knee joint very painful,1.0,1
intermittent neuralgia of supraorbital nerve,sciatic neuralgia of right side,1.0,1
intermittent neuralgia of supraorbital nerve,spine painful on pressure,1.0,1
intermittent neuralgia of supraorbital nerve,periodic pain in back,1.0,1
intermittent neuralgia of supraorbital nerve,heaviness of all limbs,1.0,1
intermittent neuralgia of supraorbital nerve,back pain extends to head,1.0,1
intermittent neuralgia of supraorbital nerve,hands cold,1.0,1
intermittent neuralgia of supraorbital nerve,symptoms occur at same hour daily,1.0,1
intermittent neuralgia of supraorbital nerve,compare with pulsatilla in erratic pains,1.0,1
intermittent neuralgia of supraorbital nerve,palpitation after slight exercise,1.0,1
intermittent neuralgia of supraorbital nerve,painful enlargement of spleen,1.0,1
intermittent neuralgia of supraorbital nerve,perfectly developed fever,1.0,1
intermittent neuralgia of supraorbital nerve,profuse debilitating sweats,1.0,1
intermittent neuralgia of supraorbital nerve,sensitiveness of last cervical vertebra,1.0,1
intermittent neuralgia of supraorbital nerve,face anxious,1.0,1
intermittent neuralgia of supraorbital nerve,perfectly developed sweat,1.0,1
intermittent neuralgia of supraorbital nerve,perfectly developed chill,1.0,1
intermittent neuralgia of supraorbital nerve,rheumatic pain in right shoulder,1.0,1
intermittent neuralgia of supraorbital nerve,fear of impending evil,1.0,1
intermittent neuralgia of supraorbital nerve,joints exquisitely sensitive to touch,1.0,1
intermittent neuralgia of supraorbital nerve,compare with stannum in supraorbital neuralgia,1.0,1
intermittent neuralgia of supraorbital nerve,remitting fever,1.0,1
intermittent neuralgia of supraorbital nerve,back pain returns about midnight,1.0,1
intermittent neuralgia of supraorbital nerve,buzzing in ears,1.0,1
intermittent neuralgia of supraorbital nerve,joints painful,1.0,1
intermittent neuralgia of supraorbital nerve,fever with ankle pain,1.0,1
intermittent neuralgia of supraorbital nerve,aching in joints,1.0,1
intermittent neuralgia of supraorbital nerve,knee joint much swollen,1.0,1
intermittent neuralgia of supraorbital nerve,ankle pain after taking cold,1.0,1
intermittent neuralgia of supraorbital nerve,intermitting fever,1.0,1
intermittent neuralgia of supraorbital nerve,neck muscles stiff,1.0,1
intermittent neuralgia of supraorbital nerve,whirling in head like mill wheel,1.0,1
intermittent neuralgia of supraorbital nerve,ankles swollen,1.0,1
intermittent neuralgia of supraorbital nerve,inflammatory articular rheumatism,1.0,1
intermittent neuralgia of supraorbital nerve,violent pains in lateral neck muscles at 4 p.m.,1.0,1
intermittent neuralgia of supraorbital nerve,acute rheumatic pain in left ankle joint,1.0,1
intermittent neuralgia of supraorbital nerve,paralysis of limbs,1.0,1
