### Cluster 89 — Symptoms (24)
Symptom,Frequency
uneasy aching about the heart,1
peculiar oppression,1
rheumatic drawing pains in all limbs,1
sensation of choking,1
shooting about precordial region,1
grasps the throat with hand,1
sensation of awful heat through body,1
cutting in nape,1
aching in nape,1
aching in ankles lower part of thighs wrist and shoulder joints,1
shooting pain from inner and upper angles of left scapula to front of chest,1
drawing shooting in left elbow,1
sensation of great weight on chest,1
uneasy distress through mind and body,1
drawing tearing in lower part of tendo achillis,1
rheumatic pains in shoulder joints,2
uneasy distress around heart,1
drawing lacerating in various parts of right arm,1
sensation of a hot iron in chest,1
pain near heart extending to left scapula,1
rheumatic pains in muscles of scapula,1
shooting pains down the legs,1
depressed feeling,1
pains especially anteriorly in thighs,1

### Top Remedies
Remedy,Symptoms_Covered
naja,24
mercurius iodatus ruber,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
sensation of awful heat through body,uneasy aching about the heart,1.0,1
sensation of awful heat through body,peculiar oppression,1.0,1
sensation of awful heat through body,rheumatic drawing pains in all limbs,1.0,1
sensation of awful heat through body,sensation of choking,1.0,1
sensation of awful heat through body,shooting about precordial region,1.0,1
sensation of awful heat through body,grasps the throat with hand,1.0,1
sensation of awful heat through body,cutting in nape,1.0,1
sensation of awful heat through body,aching in nape,1.0,1
sensation of awful heat through body,aching in ankles lower part of thighs wrist and shoulder joints,1.0,1
sensation of awful heat through body,shooting pain from inner and upper angles of left scapula to front of chest,1.0,1
sensation of awful heat through body,drawing shooting in left elbow,1.0,1
sensation of awful heat through body,sensation of great weight on chest,1.0,1
sensation of awful heat through body,uneasy distress through mind and body,1.0,1
sensation of awful heat through body,drawing tearing in lower part of tendo achillis,1.0,1
sensation of awful heat through body,rheumatic pains in shoulder joints,1.0,1
sensation of awful heat through body,uneasy distress around heart,1.0,1
sensation of awful heat through body,drawing lacerating in various parts of right arm,1.0,1
sensation of awful heat through body,sensation of a hot iron in chest,1.0,1
sensation of awful heat through body,pain near heart extending to left scapula,1.0,1
sensation of awful heat through body,rheumatic pains in muscles of scapula,1.0,1
sensation of awful heat through body,shooting pains down the legs,1.0,1
sensation of awful heat through body,depressed feeling,1.0,1
sensation of awful heat through body,pains especially anteriorly in thighs,1.0,1
