### Cluster 103 — Symptoms (15)
Symptom,Frequency
rheumatism of hips,1
compare apis bivonia dulcamara,1
stitching pain worse at night,1
gouty pains in knees,1
severe pains sidewise through pelvis,1
pains darting from right to left,2
pain in sacrum worse at night,1
stitching pain in left elbow,1
gouty affections,2
pain in left shoulder worse in morning,1
severe pain in sacrum,1
pain in left shoulder worse on waking,1
sudden appearance of pains in rheumatic and gouty conditions,1
pain in sacrum worse by motion,1
stitching pain in left forearm,1

### Top Remedies
Remedy,Symptoms_Covered
formica rufa,15
hepar sulphuris,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
sudden appearance of pains in rheumatic and gouty conditions,rheumatism of hips,1.0,1
sudden appearance of pains in rheumatic and gouty conditions,compare apis bivonia dulcamara,1.0,1
sudden appearance of pains in rheumatic and gouty conditions,stitching pain worse at night,1.0,1
sudden appearance of pains in rheumatic and gouty conditions,gouty pains in knees,1.0,1
sudden appearance of pains in rheumatic and gouty conditions,severe pains sidewise through pelvis,1.0,1
sudden appearance of pains in rheumatic and gouty conditions,pains darting from right to left,1.0,1
sudden appearance of pains in rheumatic and gouty conditions,pain in sacrum worse at night,1.0,1
sudden appearance of pains in rheumatic and gouty conditions,stitching pain in left elbow,1.0,1
sudden appearance of pains in rheumatic and gouty conditions,gouty affections,1.0,1
sudden appearance of pains in rheumatic and gouty conditions,pain in left shoulder worse in morning,1.0,1
sudden appearance of pains in rheumatic and gouty conditions,severe pain in sacrum,1.0,1
sudden appearance of pains in rheumatic and gouty conditions,pain in left shoulder worse on waking,1.0,1
sudden appearance of pains in rheumatic and gouty conditions,pain in sacrum worse by motion,1.0,1
sudden appearance of pains in rheumatic and gouty conditions,stitching pain in left forearm,1.0,1
rheumatism of hips,compare apis bivonia dulcamara,1.0,1
rheumatism of hips,stitching pain worse at night,1.0,1
rheumatism of hips,gouty pains in knees,1.0,1
rheumatism of hips,severe pains sidewise through pelvis,1.0,1
rheumatism of hips,pains darting from right to left,1.0,1
rheumatism of hips,pain in sacrum worse at night,1.0,1
rheumatism of hips,stitching pain in left elbow,1.0,1
rheumatism of hips,gouty affections,1.0,1
rheumatism of hips,pain in left shoulder worse in morning,1.0,1
rheumatism of hips,severe pain in sacrum,1.0,1
rheumatism of hips,pain in left shoulder worse on waking,1.0,1
rheumatism of hips,sudden appearance of pains in rheumatic and gouty conditions,1.0,1
rheumatism of hips,pain in sacrum worse by motion,1.0,1
rheumatism of hips,stitching pain in left forearm,1.0,1
stitching pain worse at night,rheumatism of hips,1.0,1
stitching pain worse at night,compare apis bivonia dulcamara,1.0,1
stitching pain worse at night,gouty pains in knees,1.0,1
stitching pain worse at night,severe pains sidewise through pelvis,1.0,1
stitching pain worse at night,pains darting from right to left,1.0,1
stitching pain worse at night,pain in sacrum worse at night,1.0,1
stitching pain worse at night,stitching pain in left elbow,1.0,1
stitching pain worse at night,gouty affections,1.0,1
stitching pain worse at night,pain in left shoulder worse in morning,1.0,1
stitching pain worse at night,severe pain in sacrum,1.0,1
stitching pain worse at night,pain in left shoulder worse on waking,1.0,1
stitching pain worse at night,sudden appearance of pains in rheumatic and gouty conditions,1.0,1
stitching pain worse at night,pain in sacrum worse by motion,1.0,1
stitching pain worse at night,stitching pain in left forearm,1.0,1
pain in sacrum worse by motion,rheumatism of hips,1.0,1
