### Cluster 101 — Symptoms (25)
Symptom,Frequency
aching in lower limbs,2
aching worse in morning,5
fever without thirst,1
severe pain in neck worse on motion,1
desire to lie down,1
complete muscular relaxation,1
headache better by urination,1
drowsiness,1
aversion to motion,1
occipital headache,1
compare baptisia conium,1
aching in shoulder muscles,1
aching in back worse in morning,1
confused mental state,1
great languor,1
muscular soreness after cold or influenza,1
chilliness up and down back,1
dimness of sight,1
blurred vision,1
aching in arm muscles,1
diplopia,1
stupid mental state,1
rheumatic pains after cold or influenza,1
severe pain in neck muscles,1
heaviness of eyelids,1

### Top Remedies
Remedy,Symptoms_Covered
gelsemium,25
fluoricum acidum,1
ignatia amara,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
aching in lower limbs,fever without thirst,0.5,1
aching in lower limbs,severe pain in neck worse on motion,0.5,1
aching in lower limbs,desire to lie down,0.5,1
aching in lower limbs,complete muscular relaxation,0.5,1
aching in lower limbs,headache better by urination,0.5,1
aching in lower limbs,drowsiness,0.5,1
aching in lower limbs,aversion to motion,0.5,1
aching in lower limbs,occipital headache,0.5,1
aching in lower limbs,compare baptisia conium,0.5,1
aching in lower limbs,aching in shoulder muscles,0.5,1
aching in lower limbs,aching in back worse in morning,0.5,1
aching in lower limbs,confused mental state,0.5,1
aching in lower limbs,great languor,0.5,1
aching in lower limbs,muscular soreness after cold or influenza,0.5,1
aching in lower limbs,chilliness up and down back,0.5,1
aching in lower limbs,dimness of sight,0.5,1
aching in lower limbs,aching worse in morning,0.5,1
aching in lower limbs,blurred vision,0.5,1
aching in lower limbs,aching in arm muscles,0.5,1
aching in lower limbs,diplopia,0.5,1
aching in lower limbs,stupid mental state,0.5,1
aching in lower limbs,rheumatic pains after cold or influenza,0.5,1
aching in lower limbs,severe pain in neck muscles,0.5,1
aching in lower limbs,heaviness of eyelids,0.5,1
drowsiness,fever without thirst,1.0,1
drowsiness,severe pain in neck worse on motion,1.0,1
drowsiness,desire to lie down,1.0,1
drowsiness,complete muscular relaxation,1.0,1
drowsiness,headache better by urination,1.0,1
drowsiness,aversion to motion,1.0,1
drowsiness,occipital headache,1.0,1
drowsiness,compare baptisia conium,1.0,1
drowsiness,aching in lower limbs,1.0,1
drowsiness,aching in shoulder muscles,1.0,1
drowsiness,aching in back worse in morning,1.0,1
drowsiness,confused mental state,1.0,1
drowsiness,great languor,1.0,1
drowsiness,muscular soreness after cold or influenza,1.0,1
drowsiness,chilliness up and down back,1.0,1
drowsiness,dimness of sight,1.0,1
drowsiness,aching worse in morning,1.0,1
drowsiness,blurred vision,1.0,1
drowsiness,aching in arm muscles,1.0,1
drowsiness,diplopia,1.0,1
drowsiness,stupid mental state,1.0,1
drowsiness,rheumatic pains after cold or influenza,1.0,1
drowsiness,severe pain in neck muscles,1.0,1
drowsiness,heaviness of eyelids,1.0,1
rheumatic pains after cold or influenza,fever without thirst,1.0,1
rheumatic pains after cold or influenza,severe pain in neck worse on motion,1.0,1
rheumatic pains after cold or influenza,desire to lie down,1.0,1
rheumatic pains after cold or influenza,complete muscular relaxation,1.0,1
rheumatic pains after cold or influenza,headache better by urination,1.0,1
rheumatic pains after cold or influenza,drowsiness,1.0,1
rheumatic pains after cold or influenza,aversion to motion,1.0,1
rheumatic pains after cold or influenza,occipital headache,1.0,1
rheumatic pains after cold or influenza,compare baptisia conium,1.0,1
rheumatic pains after cold or influenza,aching in lower limbs,1.0,1
rheumatic pains after cold or influenza,aching in shoulder muscles,1.0,1
rheumatic pains after cold or influenza,aching in back worse in morning,1.0,1
rheumatic pains after cold or influenza,confused mental state,1.0,1
rheumatic pains after cold or influenza,great languor,1.0,1
rheumatic pains after cold or influenza,muscular soreness after cold or influenza,1.0,1
rheumatic pains after cold or influenza,chilliness up and down back,1.0,1
rheumatic pains after cold or influenza,dimness of sight,1.0,1
rheumatic pains after cold or influenza,aching worse in morning,1.0,1
rheumatic pains after cold or influenza,blurred vision,1.0,1
rheumatic pains after cold or influenza,aching in arm muscles,1.0,1
rheumatic pains after cold or influenza,diplopia,1.0,1
rheumatic pains after cold or influenza,stupid mental state,1.0,1
rheumatic pains after cold or influenza,severe pain in neck muscles,1.0,1
rheumatic pains after cold or influenza,heaviness of eyelids,1.0,1
severe pain in neck muscles,fever without thirst,1.0,1
